,State,Value_2020
0,National**,60.80%
1,Texas,55.00%
2,Alabama,52.20%
3,Alaska,31.50%
4,Arizona,50.20%
5,Arkansas,47.00%
6,California,65.80%
7,Colorado,56.00%
8,Connecticut,68.10%
9,Delaware,65.00%
10,Florida,57.40%
11,Georgia,48.60%
12,Hawaii,53.30%
13,Idaho,47.50%
14,Illinois,62.40%
15,Indiana,61.70%
16,Iowa,68.50%
17,Kansas,53.50%
18,Kentucky,51.00%
19,Louisiana,50.10%
20,Maine,59.70%
21,Maryland,68.30%
22,Massachusetts,73.80%
23,Michigan,62.60%
24,Minnesota,65.00%
25,Mississippi,51.90%
26,Missouri,57.10%
27,Montana,51.20%
28,Nebraska,61.20%
29,Nevada,45.30%
30,New Hampshire,68.30%
31,New Jersey,66.90%
32,New Mexico,44.00%
33,New York,67.00%
34,North Carolina,61.90%
35,North Dakota,52.20%
36,Ohio,58.00%
37,Oklahoma,49.70%
38,Oregon,62.40%
39,Pennsylvania,67.80%
40,Rhode Island,71.50%
41,South Carolina,58.60%
42,South Dakota,51.00%
43,Tennessee,50.80%
44,Utah,55.80%
45,Vermont,67.30%
46,Virginia,67.60%
47,Washington,67.90%
48,West Virginia,47.90%
49,Wisconsin,63.10%
50,Wyoming,58.20%
