State,6 year grad rate (at 4 year)
National**,60.80%
Texas,55.00%
Alabama,52.20%
Alaska,31.50%
Arizona,50.20%
Arkansas,47.00%
California,65.80%
Colorado,56.00%
Connecticut,68.10%
Delaware,65.00%
Florida,57.40%
Georgia,48.60%
Hawaii,53.30%
Idaho,47.50%
Illinois,62.40%
Indiana,61.70%
Iowa,68.50%
Kansas,53.50%
Kentucky,51.00%
Louisiana,50.10%
Maine,59.70%
Maryland,68.30%
Massachusetts,73.80%
Michigan,62.60%
Minnesota,65.00%
Mississippi,51.90%
Missouri,57.10%
Montana,51.20%
Nebraska,61.20%
Nevada,45.30%
New Hampshire,68.30%
New Jersey,66.90%
New Mexico,44.00%
New York,67.00%
North Carolina,61.90%
North Dakota,52.20%
Ohio,58.00%
Oklahoma,49.70%
Oregon,62.40%
Pennsylvania,67.80%
Rhode Island,71.50%
South Carolina,58.60%
South Dakota,51.00%
Tennessee,50.80%
Utah,55.80%
Vermont,67.30%
Virginia,67.60%
Washington,67.90%
West Virginia,47.90%
Wisconsin,63.10%
Wyoming,58.20%
