State,Value_2020
National**,36.30%
Texas,31.30%
Alabama,26.40%
Alaska,27.70%
Arizona,28.80%
Arkansas,26.80%
California,36.90%
Colorado,43.40%
Connecticut,44.40%
Delaware,34.30%
Florida,31.20%
Georgia,33.10%
Hawaii,30.50%
Idaho,27.20%
Illinois,42.80%
Indiana,30.60%
Iowa,34.20%
Kansas,38.10%
Kentucky,29.20%
Louisiana,28.00%
Maine,35.80%
Maryland,43.30%
Massachusetts,53.30%
Michigan,33.20%
Minnesota,44.10%
Mississippi,24.90%
Missouri,34.60%
Montana,30.80%
Nebraska,40.20%
Nevada,23.90%
New Hampshire,39.20%
New Jersey,47.40%
New Mexico,22.60%
New York,46.60%
North Carolina,34.40%
North Dakota,33.40%
Ohio,33.90%
Oklahoma,26.30%
Oregon,35.40%
Pennsylvania,40.20%
Rhode Island,38.70%
South Carolina,31.00%
South Dakota,34.20%
Tennessee,31.40%
Utah,35.80%
Vermont,47.90%
Virginia,41.60%
Washington,39.60%
West Virginia,26.10%
Wisconsin,36.20%
Wyoming,28.50%
