State,Rank_2021,Value_2021,Rank_2020,Value_2020
Alabama,30,4.81,30,4.82
Alaska,1,10,1,10
Arizona,17,5.49,17,5.51
Arkansas,41,4.18,40,4.07
California,49,2.53,49,2.54
Colorado,14,5.84,14,5.85
Connecticut,44,3.87,43,3.88
Delaware,42,4.05,41,4.06
Florida,1,10,1,10
Georgia,36,4.56,36,4.53
Hawaii,47,3.51,47,3.52
Idaho,26,5.01,26,5.03
Illinois,13,5.85,13,5.87
Indiana,15,5.77,15,5.74
Iowa,40,4.29,42,4.03
Kansas,24,5.07,23,5.09
Kentucky,18,5.47,18,5.47
Louisiana,32,4.71,32,4.73
Maine,22,5.13,22,5.14
Maryland,45,3.64,45,3.67
Massachusetts,11,5.94,11,5.96
Michigan,12,5.93,12,5.95
Minnesota,46,3.59,46,3.61
Mississippi,27,4.89,27,4.9
Missouri,23,5.1,24,5.07
Montana,25,5.02,25,5.03
Nebraska,21,5.15,21,5.16
Nevada,5,8.4,5,8.43
New Hampshire,9,6.37,9,6.39
New Jersey,50,1.86,50,1.86
New Mexico,31,4.8,31,4.81
New York,48,3.05,48,3.06
North Carolina,16,5.71,16,5.73
North Dakota,20,5.23,20,5.24
Ohio,43,3.96,44,3.86
Oklahoma,33,4.64,33,4.66
Oregon,38,4.42,38,4.43
Pennsylvania,19,5.41,19,5.38
Rhode Island,29,4.86,29,4.88
South Carolina,34,4.62,34,4.63
South Dakota,1,10,1,10
Tennessee,8,7.07,8,7.09
Texas,6,7.88,6,7.9
Utah,10,6.08,10,6.1
Vermont,39,4.36,39,4.37
Virginia,35,4.6,35,4.62
Washington,6,7.88,6,7.9
West Virginia,28,4.88,28,4.9
Wisconsin,37,4.5,37,4.51
Wyoming,1,10,1,10
District of Columbia,45,3.67,45,3.68
