State,Rank_2020,Value_2020
Utah,1,51.00%
Minnesota,2,45.10%
Oregon,3,43.20%
Iowa,4,41.50%
Alaska,5,40.60%
Nebraska,6,40.20%
Montana,7,38.80%
Maine,8,38.70%
Idaho,9,37.90%
North Dakota,10,37.40%
Wisconsin,10,37.40%
Kansas,12,36.50%
Maryland,13,36.30%
South Dakota,13,36.30%
Vermont,15,36.00%
New Hampshire,16,35.70%
Washington,16,35.70%
North Carolina,18,35.10%
Indiana,19,34.90%
Pennsylvania,20,34.20%
Virginia,21,34.00%
Ohio,22,33.20%
Wyoming,23,32.70%
Massachusetts,24,32.60%
Colorado,25,32.40%
Oklahoma,26,32.00%
Missouri,27,31.90%
Connecticut,28,31.80%
Delaware,28,31.80%
Tennessee,30,31.30%
South Carolina,31,30.80%
Rhode Island,32,30.70%
Arizona,33,30.00%
Arkansas,33,30.00%
Michigan,35,29.40%
Texas,36,28.40%
Illinois,37,28.10%
Kentucky,37,28.10%
West Virginia,37,28.10%
Hawaii,40,28.00%
Alabama,41,27.40%
New Mexico,42,27.10%
Georgia,43,26.50%
New Jersey,44,26.10%
Louisiana,45,25.80%
California,46,25.40%
New York,47,25.30%
Nevada,48,24.40%
Mississippi,49,23.80%
Florida,50,22.80%
United States,•,30.30%
District of Columbia,•,39.80%
