,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
48672,2020,2020 Annual,Volunteerism,Alaska,5.0,40.6,1.74,,,AHR data,
48673,2020,2020 Annual,Volunteerism,Alabama,41.0,27.4,-0.49,,,AHR data,
48674,2020,2020 Annual,Volunteerism,United States,,30.3,,,,AHR data,
48675,2020,2020 Annual,Volunteerism,Arkansas,33.0,30.0,-0.05,,,AHR data,
48676,2020,2020 Annual,Volunteerism,Arizona,33.0,30.0,-0.05,,,AHR data,
48677,2020,2020 Annual,Volunteerism,California,46.0,25.4,-0.83,,,AHR data,
48678,2020,2020 Annual,Volunteerism,Colorado,25.0,32.4,0.36,,,AHR data,
48679,2020,2020 Annual,Volunteerism,Connecticut,28.0,31.8,0.25,,,AHR data,
48680,2020,2020 Annual,Volunteerism,District of Columbia,,39.8,,,,AHR data,
48681,2020,2020 Annual,Volunteerism,Delaware,28.0,31.8,0.25,,,AHR data,
48682,2020,2020 Annual,Volunteerism,Florida,50.0,22.8,-1.27,,,AHR data,
48683,2020,2020 Annual,Volunteerism,Georgia,43.0,26.5,-0.64,,,AHR data,
48684,2020,2020 Annual,Volunteerism,Hawaii,40.0,28.0,-0.39,,,AHR data,
48685,2020,2020 Annual,Volunteerism,Iowa,4.0,41.5,1.9,,,AHR data,
48686,2020,2020 Annual,Volunteerism,Idaho,9.0,37.9,1.29,,,AHR data,
48687,2020,2020 Annual,Volunteerism,Illinois,37.0,28.1,-0.37,,,AHR data,
48688,2020,2020 Annual,Volunteerism,Indiana,19.0,34.9,0.78,,,AHR data,
48689,2020,2020 Annual,Volunteerism,Kansas,12.0,36.5,1.05,,,AHR data,
48690,2020,2020 Annual,Volunteerism,Kentucky,37.0,28.1,-0.37,,,AHR data,
48691,2020,2020 Annual,Volunteerism,Louisiana,45.0,25.8,-0.76,,,AHR data,
48692,2020,2020 Annual,Volunteerism,Massachusetts,24.0,32.6,0.39,,,AHR data,
48693,2020,2020 Annual,Volunteerism,Maryland,13.0,36.3,1.02,,,AHR data,
48694,2020,2020 Annual,Volunteerism,Maine,8.0,38.7,1.42,,,AHR data,
48695,2020,2020 Annual,Volunteerism,Michigan,35.0,29.4,-0.15,,,AHR data,
48696,2020,2020 Annual,Volunteerism,Minnesota,2.0,45.1,2.0,,,AHR data,
48697,2020,2020 Annual,Volunteerism,Missouri,27.0,31.9,0.27,,,AHR data,
48698,2020,2020 Annual,Volunteerism,Mississippi,49.0,23.8,-1.1,,,AHR data,
48699,2020,2020 Annual,Volunteerism,Montana,7.0,38.8,1.44,,,AHR data,
48700,2020,2020 Annual,Volunteerism,North Carolina,18.0,35.1,0.81,,,AHR data,
48701,2020,2020 Annual,Volunteerism,North Dakota,10.0,37.4,1.2,,,AHR data,
48702,2020,2020 Annual,Volunteerism,Nebraska,6.0,40.2,1.68,,,AHR data,
48703,2020,2020 Annual,Volunteerism,New Hampshire,16.0,35.7,0.91,,,AHR data,
48704,2020,2020 Annual,Volunteerism,New Jersey,44.0,26.1,-0.71,,,AHR data,
48705,2020,2020 Annual,Volunteerism,New Mexico,42.0,27.1,-0.54,,,AHR data,
48706,2020,2020 Annual,Volunteerism,Nevada,48.0,24.4,-1.0,,,AHR data,
48707,2020,2020 Annual,Volunteerism,New York,47.0,25.3,-0.85,,,AHR data,
48708,2020,2020 Annual,Volunteerism,Ohio,22.0,33.2,0.49,,,AHR data,
48709,2020,2020 Annual,Volunteerism,Oklahoma,26.0,32.0,0.29,,,AHR data,
48710,2020,2020 Annual,Volunteerism,Oregon,3.0,43.2,2.0,,,AHR data,
48711,2020,2020 Annual,Volunteerism,Pennsylvania,20.0,34.2,0.66,,,AHR data,
48712,2020,2020 Annual,Volunteerism,Rhode Island,32.0,30.7,0.07,,,AHR data,
48713,2020,2020 Annual,Volunteerism,South Carolina,31.0,30.8,0.08,,,AHR data,
48714,2020,2020 Annual,Volunteerism,South Dakota,13.0,36.3,1.02,,,AHR data,
48715,2020,2020 Annual,Volunteerism,Tennessee,30.0,31.3,0.17,,,AHR data,
48716,2020,2020 Annual,Volunteerism,Texas,36.0,28.4,-0.32,,,AHR data,
48717,2020,2020 Annual,Volunteerism,Utah,1.0,51.0,2.0,,,AHR data,
48718,2020,2020 Annual,Volunteerism,Virginia,21.0,34.0,0.63,,,AHR data,
48719,2020,2020 Annual,Volunteerism,Vermont,15.0,36.0,0.97,,,AHR data,
48720,2020,2020 Annual,Volunteerism,Washington,16.0,35.7,0.91,,,AHR data,
48721,2020,2020 Annual,Volunteerism,Wisconsin,10.0,37.4,1.2,,,AHR data,
48722,2020,2020 Annual,Volunteerism,West Virginia,37.0,28.1,-0.37,,,AHR data,
48723,2020,2020 Annual,Volunteerism,Wyoming,23.0,32.7,0.41,,,AHR data,
