State,Value_2020,Value_2016
ALABAMA,59.6,56.4
ALASKA,62.4,59.4
ARIZONA,64.7,53.3
ARKANSAS,51.9,56
CALIFORNIA,55.7,48.2
COLORADO,62.7,63.8
CONNECTICUT,60.5,57.5
DELAWARE,63.8,57.2
FLORIDA,56.4,52.9
GEORGIA,60.9,55.7
HAWAII,59.7,43.3
IDAHO,61.6,58.3
ILLINOIS,62.7,58.8
INDIANA,58.9,56
IOWA,68.5,60.7
KANSAS,60.1,58
KENTUCKY,65.3,55.3
LOUISIANA,59.4,59.7
MAINE,70.5,71.3
MARYLAND,68.7,59.2
MASSACHUSETTS,58.9,61.7
MICHIGAN,64.1,61.8
MINNESOTA,74.3,65.3
MISSISSIPPI,69.2,66.7
MISSOURI,64.5,62.8
MONTANA,72.6,65.2
NEBRASKA,62.2,63.4
NEVADA,56.3,53.5
NEW HAMPSHIRE,72.4,66.9
NEW JERSEY,68.2,53.4
NEW MEXICO,58.3,49.4
NEW YORK,57,50.7
NORTH CAROLINA,58.9,61.6
NORTH DAKOTA,65.3,62.1
OHIO,68.5,61.4
OKLAHOMA,55.5,53.2
OREGON,71.3,61
PENNSYLVANIA,68.2,60.2
RHODE ISLAND,61.3,55.5
SOUTH CAROLINA,61.3,59.8
SOUTH DAKOTA,57.7,57.3
TENNESSEE,63.3,52
TEXAS,55.3,47.7
UTAH,59.7,58.9
VERMONT,67.5,61
VIRGINIA,66,62.6
WASHINGTON,64.3,60.5
WEST VIRGINIA,55.3,50.4
WISCONSIN,71.7,68.7
WYOMING,64.1,63.5
