State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
Alaska,52.8,27,52.8,27
Alabama,50.7,37,50.7,37
United States,53.4,,53.4,
Arkansas,42.6,50,42.6,50
Arizona,58.9,10,58.9,10
California,51.9,32,51.9,32
Colorado,58.1,11,58.1,11
Connecticut,54,23,54,23
District of Columbia,61.1,,61.1,
Delaware,51.8,34,51.8,34
Florida,52.6,28,52.6,28
Georgia,55.9,16,55.9,16
Hawaii,44,49,44,49
Iowa,59.6,8,59.6,8
Idaho,47.9,47,47.9,47
Illinois,53,26,53,26
Indiana,49.3,42,49.3,42
Kansas,56.9,14,56.9,14
Kentucky,53.8,25,53.8,25
Louisiana,49.8,38,49.8,38
Massachusetts,55.5,17,55.5,17
Maryland,54.2,21,54.2,21
Maine,65.6,1,65.6,1
Michigan,59.5,9,59.5,9
Minnesota,63,4,63,4
Missouri,55,18,55,18
Mississippi,54.2,21,54.2,21
Montana,63.8,3,63.8,3
North Carolina,52.4,30,52.4,30
North Dakota,61.9,5,61.9,5
Nebraska,50.8,36,50.8,36
New Hampshire,56.2,15,56.2,15
New Jersey,54,23,54,23
New Mexico,48.1,46,48.1,46
Nevada,48.7,43,48.7,43
New York,49.5,40,49.5,40
Ohio,52.5,29,52.5,29
Oklahoma,49.4,41,49.4,41
Oregon,61.1,7,61.1,7
Pennsylvania,54.6,20,54.6,20
Rhode Island,51.6,35,51.6,35
South Carolina,48.7,43,48.7,43
South Dakota,51.9,32,51.9,32
Tennessee,49.6,39,49.6,39
Texas,48.4,45,48.4,45
Utah,57.6,12,57.6,12
Virginia,57.5,13,57.5,13
Vermont,54.9,19,54.9,19
Washington,61.9,5,61.9,5
Wisconsin,64.6,2,64.6,2
West Virginia,44.1,48,44.1,48
Wyoming,52.1,31,52.1,31
