,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
49348,2020,2020 Annual,Voter Participation (Presidential),Alaska,31.0,61.3,0.0,64.6,58.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49349,2020,2020 Annual,Voter Participation (Presidential),Alabama,42.0,57.4,-0.8,60.6,54.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49350,2020,2020 Annual,Voter Participation (Presidential),United States,,61.4,,61.8,61.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49351,2020,2020 Annual,Voter Participation (Presidential),Arkansas,39.0,58.7,-0.5,62.0,55.4,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49352,2020,2020 Annual,Voter Participation (Presidential),Arizona,35.0,60.4,-0.2,63.3,57.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49353,2020,2020 Annual,Voter Participation (Presidential),California,41.0,57.9,-0.7,59.1,56.7,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49354,2020,2020 Annual,Voter Participation (Presidential),Colorado,3.0,69.5,1.6,72.5,66.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49355,2020,2020 Annual,Voter Participation (Presidential),Connecticut,19.0,63.9,0.5,67.2,60.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49356,2020,2020 Annual,Voter Participation (Presidential),District of Columbia,,74.3,,77.3,71.3,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49357,2020,2020 Annual,Voter Participation (Presidential),Delaware,26.0,62.3,0.2,65.6,59.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49358,2020,2020 Annual,Voter Participation (Presidential),Florida,37.0,59.5,-0.4,61.0,58.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49359,2020,2020 Annual,Voter Participation (Presidential),Georgia,36.0,60.2,-0.2,62.5,57.9,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49360,2020,2020 Annual,Voter Participation (Presidential),Hawaii,50.0,47.3,-2.0,50.6,44.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49361,2020,2020 Annual,Voter Participation (Presidential),Iowa,22.0,63.4,0.4,66.6,60.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49362,2020,2020 Annual,Voter Participation (Presidential),Idaho,27.0,62.1,0.1,65.4,58.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49363,2020,2020 Annual,Voter Participation (Presidential),Illinois,20.0,63.8,0.5,65.8,61.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49364,2020,2020 Annual,Voter Participation (Presidential),Indiana,40.0,58.3,-0.6,61.0,55.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49365,2020,2020 Annual,Voter Participation (Presidential),Kansas,31.0,61.3,0.0,64.9,57.7,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49366,2020,2020 Annual,Voter Participation (Presidential),Kentucky,44.0,57.0,-0.9,60.5,53.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49367,2020,2020 Annual,Voter Participation (Presidential),Louisiana,29.0,61.6,0.0,64.8,58.4,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49368,2020,2020 Annual,Voter Participation (Presidential),Massachusetts,10.0,66.7,1.1,69.3,64.1,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49369,2020,2020 Annual,Voter Participation (Presidential),Maryland,14.0,65.8,0.9,68.8,62.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49370,2020,2020 Annual,Voter Participation (Presidential),Maine,1.0,72.7,2.0,76.0,69.4,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49371,2020,2020 Annual,Voter Participation (Presidential),Michigan,17.0,64.3,0.6,66.4,62.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49372,2020,2020 Annual,Voter Participation (Presidential),Minnesota,5.0,68.7,1.4,71.6,65.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49373,2020,2020 Annual,Voter Participation (Presidential),Missouri,15.0,64.8,0.7,67.7,61.9,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
49374,2020,2020 Annual,Voter Participation (Presidential),Mississippi,7.0,67.7,1.3,70.8,64.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018.0
