,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
60209,2019,2019 Annual,Voter Participation (Midterm),Alaska,27.0,52.8,-0.1,56.3,49.3,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60210,2019,2019 Annual,Voter Participation (Midterm),Alabama,37.0,50.7,-0.5,53.9,47.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60211,2019,2019 Annual,Voter Participation (Midterm),United States,,53.4,,53.8,53.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60212,2019,2019 Annual,Voter Participation (Midterm),Arkansas,50.0,42.6,-2.0,45.9,39.3,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60213,2019,2019 Annual,Voter Participation (Midterm),Arizona,10.0,58.9,1.0,61.8,56.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60214,2019,2019 Annual,Voter Participation (Midterm),California,32.0,51.9,-0.3,53.1,50.7,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60215,2019,2019 Annual,Voter Participation (Midterm),Colorado,11.0,58.1,0.9,61.2,55.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60216,2019,2019 Annual,Voter Participation (Midterm),Connecticut,23.0,54.0,0.1,57.5,50.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60217,2019,2019 Annual,Voter Participation (Midterm),District of Columbia,,61.1,,64.4,57.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60218,2019,2019 Annual,Voter Participation (Midterm),Delaware,34.0,51.8,-0.3,55.1,48.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60219,2019,2019 Annual,Voter Participation (Midterm),Florida,28.0,52.6,-0.2,54.1,51.1,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60220,2019,2019 Annual,Voter Participation (Midterm),Georgia,16.0,55.9,0.5,58.2,53.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60221,2019,2019 Annual,Voter Participation (Midterm),Hawaii,49.0,44.0,-1.8,47.3,40.7,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60222,2019,2019 Annual,Voter Participation (Midterm),Iowa,8.0,59.6,1.2,62.9,56.3,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60223,2019,2019 Annual,Voter Participation (Midterm),Idaho,47.0,47.9,-1.0,51.2,44.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60224,2019,2019 Annual,Voter Participation (Midterm),Illinois,26.0,53.0,-0.1,55.0,51.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60225,2019,2019 Annual,Voter Participation (Midterm),Indiana,42.0,49.3,-0.8,52.2,46.4,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60226,2019,2019 Annual,Voter Participation (Midterm),Kansas,14.0,56.9,0.7,60.5,53.3,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60227,2019,2019 Annual,Voter Participation (Midterm),Kentucky,25.0,53.8,0.1,57.3,50.3,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60228,2019,2019 Annual,Voter Participation (Midterm),Louisiana,38.0,49.8,-0.7,53.0,46.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60229,2019,2019 Annual,Voter Participation (Midterm),Massachusetts,17.0,55.5,0.4,58.2,52.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60230,2019,2019 Annual,Voter Participation (Midterm),Maryland,21.0,54.2,0.2,57.3,51.1,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60231,2019,2019 Annual,Voter Participation (Midterm),Maine,1.0,65.6,2.0,69.1,62.1,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60232,2019,2019 Annual,Voter Participation (Midterm),Michigan,9.0,59.5,1.2,61.8,57.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60233,2019,2019 Annual,Voter Participation (Midterm),Minnesota,4.0,63.0,1.8,66.0,60.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60234,2019,2019 Annual,Voter Participation (Midterm),Missouri,18.0,55.0,0.3,58.0,52.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60235,2019,2019 Annual,Voter Participation (Midterm),Mississippi,21.0,54.2,0.2,57.5,50.9,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60236,2019,2019 Annual,Voter Participation (Midterm),Montana,3.0,63.8,2.0,66.7,60.9,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60237,2019,2019 Annual,Voter Participation (Midterm),North Carolina,30.0,52.4,-0.2,54.7,50.1,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60238,2019,2019 Annual,Voter Participation (Midterm),North Dakota,5.0,61.9,1.6,65.1,58.7,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60239,2019,2019 Annual,Voter Participation (Midterm),Nebraska,36.0,50.8,-0.5,54.4,47.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60240,2019,2019 Annual,Voter Participation (Midterm),New Hampshire,15.0,56.2,0.5,59.5,52.9,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60241,2019,2019 Annual,Voter Participation (Midterm),New Jersey,23.0,54.0,0.1,56.5,51.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60242,2019,2019 Annual,Voter Participation (Midterm),New Mexico,46.0,48.1,-1.0,51.2,45.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60243,2019,2019 Annual,Voter Participation (Midterm),Nevada,43.0,48.7,-0.9,52.2,45.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60244,2019,2019 Annual,Voter Participation (Midterm),New York,40.0,49.5,-0.7,51.2,47.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60245,2019,2019 Annual,Voter Participation (Midterm),Ohio,29.0,52.5,-0.2,54.6,50.4,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
