,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
60469,2019,2019 Annual,Voter Participation (Presidential),Alaska,31.0,61.3,0.0,64.6,58.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60470,2019,2019 Annual,Voter Participation (Presidential),Alabama,42.0,57.4,-0.8,60.6,54.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60471,2019,2019 Annual,Voter Participation (Presidential),United States,,61.4,,61.8,61.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60472,2019,2019 Annual,Voter Participation (Presidential),Arkansas,39.0,58.7,-0.5,62.0,55.4,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60473,2019,2019 Annual,Voter Participation (Presidential),Arizona,35.0,60.4,-0.2,63.3,57.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60474,2019,2019 Annual,Voter Participation (Presidential),California,41.0,57.9,-0.7,59.1,56.7,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60475,2019,2019 Annual,Voter Participation (Presidential),Colorado,3.0,69.5,1.6,72.5,66.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60476,2019,2019 Annual,Voter Participation (Presidential),Connecticut,19.0,63.9,0.5,67.2,60.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60477,2019,2019 Annual,Voter Participation (Presidential),District of Columbia,,74.3,,77.3,71.3,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60478,2019,2019 Annual,Voter Participation (Presidential),Delaware,26.0,62.3,0.2,65.6,59.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60479,2019,2019 Annual,Voter Participation (Presidential),Florida,37.0,59.5,-0.4,61.0,58.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60480,2019,2019 Annual,Voter Participation (Presidential),Georgia,36.0,60.2,-0.2,62.5,57.9,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60481,2019,2019 Annual,Voter Participation (Presidential),Hawaii,50.0,47.3,-2.0,50.6,44.0,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60482,2019,2019 Annual,Voter Participation (Presidential),Iowa,22.0,63.4,0.4,66.6,60.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60483,2019,2019 Annual,Voter Participation (Presidential),Idaho,27.0,62.1,0.1,65.4,58.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60484,2019,2019 Annual,Voter Participation (Presidential),Illinois,20.0,63.8,0.5,65.8,61.8,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60485,2019,2019 Annual,Voter Participation (Presidential),Indiana,40.0,58.3,-0.6,61.0,55.6,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60486,2019,2019 Annual,Voter Participation (Presidential),Kansas,31.0,61.3,0.0,64.9,57.7,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60487,2019,2019 Annual,Voter Participation (Presidential),Kentucky,44.0,57.0,-0.9,60.5,53.5,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
60488,2019,2019 Annual,Voter Participation (Presidential),Louisiana,29.0,61.6,0.0,64.8,58.4,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement",2018
