State,Value_2020
Michigan,A
Missouri,A
Ohio,A
Utah,A
Georgia,A
Arizona,A-
California,A-
Indiana,A-
Minnesota,A-
New York,A-
North Carolina,A-
North Dakota,A-
Texas,A-
Virginia,A-
Washington,A-
Wisconsin,A-
Colorado,B+
Connecticut,B+
Delaware,B+
Hawaii,B+
Idaho,B+
Illinois,B+
Maine,B+
Maryland,B+
Massachusetts,B+
Mississippi,B+
Montana,B+
Pennsylvania,B+
Rhode Island,B+
Tennessee,B+
Arkansas,B
Florida,B
Iowa,B
Kentucky,B
Nebraska,B
New Hampshire,B
New Jersey,B
New Mexico,B
Oklahoma,B
Oregon,B
South Carolina,B
Vermont,B
West Virginia,B
Alabama,B-
Kansas,B-
Louisiana,B-
South Dakota,B-
Nevada,C+
Wyoming,C+
Alaska,C
