,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,15.6,45.0,17.5,47.0
1,Alaska,11.0,5.0,12.0,11.0
2,Arizona,12.5,27.0,14.4,36.0
3,Arkansas,16.0,47.0,17.8,48.0
4,California,11.4,12.0,11.9,10.0
5,Colorado,11.1,8.0,12.3,13.0
6,Connecticut,11.0,5.0,11.3,3.0
7,Delaware,12.4,26.0,13.5,21.0
8,Florida,12.8,29.0,13.8,25.0
9,Georgia,13.1,31.0,15.4,40.0
10,Hawaii,9.9,2.0,11.1,2.0
11,Idaho,11.9,17.0,13.5,21.0
12,Illinois,11.4,12.0,12.4,15.0
13,Indiana,14.3,34.0,14.3,35.0
14,Iowa,10.2,3.0,12.3,13.0
15,Kansas,12.5,27.0,13.9,27.0
16,Kentucky,16.7,49.0,17.2,45.0
17,Louisiana,15.7,46.0,18.5,49.0
18,Maine,14.3,34.0,14.2,33.0
19,Maryland,11.1,8.0,11.8,8.0
20,Massachusetts,12.8,29.0,12.5,16.0
21,Michigan,14.3,34.0,16.2,43.0
22,Minnesota,10.5,4.0,11.6,7.0
23,Mississippi,15.5,44.0,17.3,46.0
24,Missouri,14.4,39.0,14.9,38.0
25,Montana,11.8,16.0,13.9,27.0
26,Nebraska,11.2,10.0,11.3,3.0
27,Nevada,13.1,31.0,14.9,38.0
28,New Hampshire,13.8,33.0,13.9,27.0
29,New Jersey,11.3,11.0,11.3,3.0
30,New Mexico,14.3,34.0,14.8,37.0
31,New York,11.0,5.0,11.8,8.0
32,North Carolina,12.3,24.0,13.8,25.0
33,North Dakota,11.5,14.0,11.3,3.0
34,Ohio,14.9,42.0,16.3,44.0
35,Oklahoma,15.4,43.0,15.6,41.0
36,Oregon,14.3,34.0,14.1,32.0
37,Pennsylvania,14.4,39.0,13.7,24.0
38,Rhode Island,12.3,24.0,13.9,27.0
39,South Carolina,14.8,41.0,13.0,20.0
40,South Dakota,9.3,1.0,10.6,1.0
41,Tennessee,16.0,47.0,15.8,42.0
42,Texas,11.7,15.0,12.2,12.0
43,Utah,12.2,21.0,14.2,33.0
44,Vermont,12.1,19.0,14.0,31.0
45,Virginia,12.1,19.0,12.7,18.0
46,Washington,12.0,18.0,13.6,23.0
47,West Virginia,18.9,50.0,20.6,50.0
48,Wisconsin,12.2,21.0,12.7,18.0
49,Wyoming,12.2,21.0,12.6,17.0
50,District of Columbia,12.6,,11.5,
51,United States,12.4,,13.8,
