,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
22204,2020,2020 Annual,Frequent Mental Distress,Alabama,47.0,17.5,1.72,18.8,16.2,AHR data,
22205,2020,2020 Annual,Frequent Mental Distress,Alaska,11.0,12.0,-0.84,14.0,10.0,AHR data,
22206,2020,2020 Annual,Frequent Mental Distress,Arizona,36.0,14.4,0.28,15.8,13.1,AHR data,
22207,2020,2020 Annual,Frequent Mental Distress,Arkansas,48.0,17.8,1.86,19.4,16.2,AHR data,
22208,2020,2020 Annual,Frequent Mental Distress,California,10.0,11.9,-0.89,12.7,11.1,AHR data,
22209,2020,2020 Annual,Frequent Mental Distress,Colorado,13.0,12.3,-0.7,13.1,11.4,AHR data,
22210,2020,2020 Annual,Frequent Mental Distress,Connecticut,3.0,11.3,-1.17,12.3,10.4,AHR data,
22211,2020,2020 Annual,Frequent Mental Distress,Delaware,21.0,13.5,-0.14,15.2,11.8,AHR data,
22212,2020,2020 Annual,Frequent Mental Distress,Florida,25.0,13.8,0.0,14.9,12.6,AHR data,
22213,2020,2020 Annual,Frequent Mental Distress,Georgia,40.0,15.4,0.75,16.8,14.0,AHR data,
22214,2020,2020 Annual,Frequent Mental Distress,Hawaii,2.0,11.1,-1.26,12.1,10.1,AHR data,
22215,2020,2020 Annual,Frequent Mental Distress,Idaho,21.0,13.5,-0.14,15.0,12.0,AHR data,
22216,2020,2020 Annual,Frequent Mental Distress,Illinois,15.0,12.4,-0.65,13.5,11.3,AHR data,
22217,2020,2020 Annual,Frequent Mental Distress,Indiana,35.0,14.3,0.23,15.3,13.3,AHR data,
22218,2020,2020 Annual,Frequent Mental Distress,Iowa,13.0,12.3,-0.7,13.2,11.5,AHR data,
22219,2020,2020 Annual,Frequent Mental Distress,Kansas,27.0,13.9,0.05,14.8,13.0,AHR data,
22220,2020,2020 Annual,Frequent Mental Distress,Kentucky,45.0,17.2,1.59,18.5,15.8,AHR data,
22221,2020,2020 Annual,Frequent Mental Distress,Louisiana,49.0,18.5,2.0,19.9,17.0,AHR data,
22222,2020,2020 Annual,Frequent Mental Distress,Maine,33.0,14.2,0.19,15.4,13.1,AHR data,
22223,2020,2020 Annual,Frequent Mental Distress,Maryland,8.0,11.8,-0.93,12.6,11.0,AHR data,
22224,2020,2020 Annual,Frequent Mental Distress,Massachusetts,16.0,12.5,-0.61,13.6,11.5,AHR data,
22225,2020,2020 Annual,Frequent Mental Distress,Michigan,43.0,16.2,1.12,17.2,15.2,AHR data,
22226,2020,2020 Annual,Frequent Mental Distress,Minnesota,7.0,11.6,-1.03,12.3,10.9,AHR data,
22227,2020,2020 Annual,Frequent Mental Distress,Mississippi,46.0,17.3,1.63,18.7,15.8,AHR data,
22228,2020,2020 Annual,Frequent Mental Distress,Missouri,38.0,14.9,0.51,16.2,13.7,AHR data,
22229,2020,2020 Annual,Frequent Mental Distress,Montana,27.0,13.9,0.05,15.0,12.8,AHR data,
22230,2020,2020 Annual,Frequent Mental Distress,Nebraska,3.0,11.3,-1.17,12.0,10.5,AHR data,
22231,2020,2020 Annual,Frequent Mental Distress,Nevada,38.0,14.9,0.51,16.8,12.9,AHR data,
22232,2020,2020 Annual,Frequent Mental Distress,New Hampshire,27.0,13.9,0.05,15.3,12.5,AHR data,
22233,2020,2020 Annual,Frequent Mental Distress,New Jersey,3.0,11.3,-1.17,13.0,9.6,AHR data,
22234,2020,2020 Annual,Frequent Mental Distress,New Mexico,37.0,14.8,0.47,16.1,13.5,AHR data,
22235,2020,2020 Annual,Frequent Mental Distress,New York,8.0,11.8,-0.93,12.6,11.0,AHR data,
22236,2020,2020 Annual,Frequent Mental Distress,North Carolina,25.0,13.8,0.0,15.1,12.5,AHR data,
22237,2020,2020 Annual,Frequent Mental Distress,North Dakota,3.0,11.3,-1.17,12.7,9.8,AHR data,
22238,2020,2020 Annual,Frequent Mental Distress,Ohio,44.0,16.3,1.17,17.4,15.3,AHR data,
22239,2020,2020 Annual,Frequent Mental Distress,Oklahoma,41.0,15.6,0.84,16.8,14.4,AHR data,
22240,2020,2020 Annual,Frequent Mental Distress,Oregon,32.0,14.1,0.14,15.2,13.0,AHR data,
22241,2020,2020 Annual,Frequent Mental Distress,Pennsylvania,24.0,13.7,-0.05,14.9,12.6,AHR data,
22242,2020,2020 Annual,Frequent Mental Distress,Rhode Island,27.0,13.9,0.05,15.3,12.5,AHR data,
22243,2020,2020 Annual,Frequent Mental Distress,South Carolina,20.0,13.0,-0.37,14.1,12.0,AHR data,
22244,2020,2020 Annual,Frequent Mental Distress,South Dakota,1.0,10.6,-1.49,12.3,8.9,AHR data,
22245,2020,2020 Annual,Frequent Mental Distress,Tennessee,42.0,15.8,0.93,17.1,14.5,AHR data,
22246,2020,2020 Annual,Frequent Mental Distress,Texas,12.0,12.2,-0.75,13.4,11.0,AHR data,
22247,2020,2020 Annual,Frequent Mental Distress,Utah,33.0,14.2,0.19,15.0,13.3,AHR data,
22248,2020,2020 Annual,Frequent Mental Distress,Vermont,31.0,14.0,0.09,15.5,12.4,AHR data,
22249,2020,2020 Annual,Frequent Mental Distress,Virginia,18.0,12.7,-0.51,13.7,11.8,AHR data,
22250,2020,2020 Annual,Frequent Mental Distress,Washington,23.0,13.6,-0.09,14.4,12.8,AHR data,
22251,2020,2020 Annual,Frequent Mental Distress,West Virginia,50.0,20.6,2.0,22.1,19.0,AHR data,
22252,2020,2020 Annual,Frequent Mental Distress,Wisconsin,18.0,12.7,-0.51,14.1,11.4,AHR data,
22253,2020,2020 Annual,Frequent Mental Distress,Wyoming,17.0,12.6,-0.56,14.1,11.0,AHR data,
22254,2020,2020 Annual,Frequent Mental Distress,District of Columbia,,11.5,,13.3,9.8,AHR data,
22255,2020,2020 Annual,Frequent Mental Distress,United States,,13.8,,,,AHR data,
