,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
24383,2019,2019 Annual,Frequent Mental Distress,Alabama,45.0,15.6,1.61,16.8,14.3,"CDC, Behavioral Risk Factor Surveillance System",2018
24384,2019,2019 Annual,Frequent Mental Distress,Alaska,5.0,11.0,-0.71,12.6,9.3,"CDC, Behavioral Risk Factor Surveillance System",2018
24385,2019,2019 Annual,Frequent Mental Distress,Arizona,27.0,12.5,0.05,13.8,11.3,"CDC, Behavioral Risk Factor Surveillance System",2018
24386,2019,2019 Annual,Frequent Mental Distress,Arkansas,47.0,16.0,1.81,17.6,14.4,"CDC, Behavioral Risk Factor Surveillance System",2018
24387,2019,2019 Annual,Frequent Mental Distress,California,12.0,11.4,-0.5,12.1,10.6,"CDC, Behavioral Risk Factor Surveillance System",2018
24388,2019,2019 Annual,Frequent Mental Distress,Colorado,8.0,11.1,-0.65,11.9,10.3,"CDC, Behavioral Risk Factor Surveillance System",2018
24389,2019,2019 Annual,Frequent Mental Distress,Connecticut,5.0,11.0,-0.71,11.9,10.1,"CDC, Behavioral Risk Factor Surveillance System",2018
24390,2019,2019 Annual,Frequent Mental Distress,Delaware,26.0,12.4,0.0,13.7,11.1,"CDC, Behavioral Risk Factor Surveillance System",2018
24391,2019,2019 Annual,Frequent Mental Distress,Florida,29.0,12.8,0.2,13.9,11.8,"CDC, Behavioral Risk Factor Surveillance System",2018
24392,2019,2019 Annual,Frequent Mental Distress,Georgia,31.0,13.1,0.35,14.0,12.2,"CDC, Behavioral Risk Factor Surveillance System",2018
24393,2019,2019 Annual,Frequent Mental Distress,Hawaii,2.0,9.9,-1.26,10.8,9.0,"CDC, Behavioral Risk Factor Surveillance System",2018
24394,2019,2019 Annual,Frequent Mental Distress,Idaho,17.0,11.9,-0.25,13.4,10.3,"CDC, Behavioral Risk Factor Surveillance System",2018
24395,2019,2019 Annual,Frequent Mental Distress,Illinois,12.0,11.4,-0.5,12.5,10.3,"CDC, Behavioral Risk Factor Surveillance System",2018
24396,2019,2019 Annual,Frequent Mental Distress,Indiana,34.0,14.3,0.96,15.4,13.2,"CDC, Behavioral Risk Factor Surveillance System",2018
24397,2019,2019 Annual,Frequent Mental Distress,Iowa,3.0,10.2,-1.11,10.9,9.4,"CDC, Behavioral Risk Factor Surveillance System",2018
24398,2019,2019 Annual,Frequent Mental Distress,Kansas,27.0,12.5,0.05,13.3,11.6,"CDC, Behavioral Risk Factor Surveillance System",2018
24399,2019,2019 Annual,Frequent Mental Distress,Kentucky,49.0,16.7,2.0,18.1,15.3,"CDC, Behavioral Risk Factor Surveillance System",2018
24400,2019,2019 Annual,Frequent Mental Distress,Louisiana,46.0,15.7,1.66,17.1,14.4,"CDC, Behavioral Risk Factor Surveillance System",2018
24401,2019,2019 Annual,Frequent Mental Distress,Maine,34.0,14.3,0.96,15.6,13.0,"CDC, Behavioral Risk Factor Surveillance System",2018
24402,2019,2019 Annual,Frequent Mental Distress,Maryland,8.0,11.1,-0.65,11.9,10.3,"CDC, Behavioral Risk Factor Surveillance System",2018
