,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,15.1,44.0,16.0,47.0
1,Alaska,12.0,23.0,9.8,2.0
2,Arizona,14.2,38.0,13.2,31.0
3,Arkansas,16.1,49.0,17.4,49.0
4,California,12.2,27.0,11.6,16.0
5,Colorado,9.8,3.0,10.0,5.0
6,Connecticut,10.5,8.0,10.6,9.0
7,Delaware,12.1,26.0,12.5,25.0
8,Florida,13.8,36.0,13.8,36.0
9,Georgia,12.7,29.0,13.3,32.0
10,Hawaii,10.5,8.0,10.6,9.0
11,Idaho,11.5,17.0,12.9,27.0
12,Illinois,11.0,11.0,11.5,15.0
13,Indiana,13.0,32.0,13.8,36.0
14,Iowa,9.6,1.0,9.9,3.0
15,Kansas,11.5,17.0,11.6,16.0
16,Kentucky,15.3,45.0,16.6,48.0
17,Louisiana,14.2,38.0,14.9,45.0
18,Maine,13.7,35.0,14.0,40.0
19,Maryland,10.5,8.0,10.0,5.0
20,Massachusetts,11.4,16.0,10.5,8.0
21,Michigan,14.3,40.0,13.9,38.0
22,Minnesota,9.8,3.0,9.9,3.0
23,Mississippi,15.4,46.0,14.0,40.0
24,Missouri,13.8,36.0,13.3,32.0
25,Montana,11.9,21.0,13.4,34.0
26,Nebraska,10.2,6.0,10.4,7.0
27,Nevada,14.5,41.0,14.2,42.0
28,New Hampshire,11.3,15.0,13.0,28.0
29,New Jersey,11.9,21.0,11.9,21.0
30,New Mexico,14.5,41.0,14.4,43.0
31,New York,11.2,13.0,11.7,18.0
32,North Carolina,12.2,27.0,12.7,26.0
33,North Dakota,9.8,3.0,9.3,1.0
34,Ohio,13.1,33.0,13.9,38.0
35,Oklahoma,14.9,43.0,14.8,44.0
36,Oregon,15.6,47.0,12.4,24.0
37,Pennsylvania,12.9,31.0,13.0,28.0
38,Rhode Island,12.7,29.0,13.0,28.0
39,South Carolina,13.2,34.0,13.5,35.0
40,South Dakota,9.6,1.0,10.8,12.0
41,Tennessee,16.0,48.0,15.1,46.0
42,Texas,11.8,19.0,10.9,13.0
43,Utah,10.3,7.0,10.7,11.0
44,Vermont,12.0,23.0,12.3,23.0
45,Virginia,11.1,12.0,11.7,18.0
46,Washington,11.8,19.0,12.2,22.0
47,West Virginia,19.2,50.0,19.0,50.0
48,Wisconsin,12.0,23.0,11.3,14.0
49,Wyoming,11.2,13.0,11.8,20.0
50,District of Columbia,8.8,,9.2,
51,United States,12.0,,12.5,
