,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
25527,2019,2019 Annual,Frequent Physical Distress,Alabama,44.0,15.1,1.51,16.3,14.0,"CDC, Behavioral Risk Factor Surveillance System",2018
25528,2019,2019 Annual,Frequent Physical Distress,Alaska,23.0,12.0,0.0,13.7,10.3,"CDC, Behavioral Risk Factor Surveillance System",2018
25529,2019,2019 Annual,Frequent Physical Distress,Arizona,38.0,14.2,1.07,15.4,12.9,"CDC, Behavioral Risk Factor Surveillance System",2018
25530,2019,2019 Annual,Frequent Physical Distress,Arkansas,49.0,16.1,1.99,17.5,14.8,"CDC, Behavioral Risk Factor Surveillance System",2018
25531,2019,2019 Annual,Frequent Physical Distress,California,27.0,12.2,0.1,12.9,11.4,"CDC, Behavioral Risk Factor Surveillance System",2018
25532,2019,2019 Annual,Frequent Physical Distress,Colorado,3.0,9.8,-1.07,10.5,9.1,"CDC, Behavioral Risk Factor Surveillance System",2018
25533,2019,2019 Annual,Frequent Physical Distress,Connecticut,8.0,10.5,-0.73,11.2,9.7,"CDC, Behavioral Risk Factor Surveillance System",2018
25534,2019,2019 Annual,Frequent Physical Distress,Delaware,26.0,12.1,0.05,13.2,10.9,"CDC, Behavioral Risk Factor Surveillance System",2018
25535,2019,2019 Annual,Frequent Physical Distress,Florida,36.0,13.8,0.88,14.9,12.7,"CDC, Behavioral Risk Factor Surveillance System",2018
25536,2019,2019 Annual,Frequent Physical Distress,Georgia,29.0,12.7,0.34,13.6,11.9,"CDC, Behavioral Risk Factor Surveillance System",2018
25537,2019,2019 Annual,Frequent Physical Distress,Hawaii,8.0,10.5,-0.73,11.3,9.6,"CDC, Behavioral Risk Factor Surveillance System",2018
25538,2019,2019 Annual,Frequent Physical Distress,Idaho,17.0,11.5,-0.24,12.9,10.2,"CDC, Behavioral Risk Factor Surveillance System",2018
25539,2019,2019 Annual,Frequent Physical Distress,Illinois,11.0,11.0,-0.49,12.1,10.0,"CDC, Behavioral Risk Factor Surveillance System",2018
25540,2019,2019 Annual,Frequent Physical Distress,Indiana,32.0,13.0,0.49,13.9,12.0,"CDC, Behavioral Risk Factor Surveillance System",2018
