,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
23348,2020,2020 Annual,Frequent Physical Distress,Alabama,47.0,16.0,1.7,17.1,14.9,AHR data,
23349,2020,2020 Annual,Frequent Physical Distress,Alaska,2.0,9.8,-1.31,11.4,8.3,AHR data,
23350,2020,2020 Annual,Frequent Physical Distress,Arizona,31.0,13.2,0.34,14.4,12.0,AHR data,
23351,2020,2020 Annual,Frequent Physical Distress,Arkansas,49.0,17.4,2.0,18.8,16.0,AHR data,
23352,2020,2020 Annual,Frequent Physical Distress,California,16.0,11.6,-0.44,12.3,10.8,AHR data,
23353,2020,2020 Annual,Frequent Physical Distress,Colorado,5.0,10.0,-1.21,10.7,9.3,AHR data,
23354,2020,2020 Annual,Frequent Physical Distress,Connecticut,9.0,10.6,-0.92,11.4,9.7,AHR data,
23355,2020,2020 Annual,Frequent Physical Distress,Delaware,25.0,12.5,0.0,13.9,11.1,AHR data,
23356,2020,2020 Annual,Frequent Physical Distress,Florida,36.0,13.8,0.63,14.9,12.7,AHR data,
23357,2020,2020 Annual,Frequent Physical Distress,Georgia,32.0,13.3,0.39,14.5,12.2,AHR data,
23358,2020,2020 Annual,Frequent Physical Distress,Hawaii,9.0,10.6,-0.92,11.4,9.7,AHR data,
23359,2020,2020 Annual,Frequent Physical Distress,Idaho,27.0,12.9,0.19,14.2,11.6,AHR data,
23360,2020,2020 Annual,Frequent Physical Distress,Illinois,15.0,11.5,-0.48,12.5,10.5,AHR data,
23361,2020,2020 Annual,Frequent Physical Distress,Indiana,36.0,13.8,0.63,14.6,12.9,AHR data,
23362,2020,2020 Annual,Frequent Physical Distress,Iowa,3.0,9.9,-1.26,10.6,9.3,AHR data,
23363,2020,2020 Annual,Frequent Physical Distress,Kansas,16.0,11.6,-0.44,12.3,10.8,AHR data,
23364,2020,2020 Annual,Frequent Physical Distress,Kentucky,48.0,16.6,1.99,17.9,15.3,AHR data,
23365,2020,2020 Annual,Frequent Physical Distress,Louisiana,45.0,14.9,1.16,16.2,13.7,AHR data,
23366,2020,2020 Annual,Frequent Physical Distress,Maine,40.0,14.0,0.73,15.0,13.0,AHR data,
23367,2020,2020 Annual,Frequent Physical Distress,Maryland,5.0,10.0,-1.21,10.6,9.3,AHR data,
23368,2020,2020 Annual,Frequent Physical Distress,Massachusetts,8.0,10.5,-0.97,11.3,9.6,AHR data,
23369,2020,2020 Annual,Frequent Physical Distress,Michigan,38.0,13.9,0.68,14.8,13.0,AHR data,
