,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
40456,2020,2020 Annual,Physical Inactivity,Alabama,46.0,31.5,1.23,33.0,30.0,AHR data,
40457,2020,2020 Annual,Physical Inactivity,Alaska,7.0,21.7,-1.13,24.2,19.1,AHR data,
40458,2020,2020 Annual,Physical Inactivity,Arizona,15.0,24.1,-0.55,25.7,22.5,AHR data,
40459,2020,2020 Annual,Physical Inactivity,Arkansas,44.0,31.2,1.15,33.0,29.4,AHR data,
40460,2020,2020 Annual,Physical Inactivity,California,9.0,22.4,-0.96,23.4,21.4,AHR data,
40461,2020,2020 Annual,Physical Inactivity,Colorado,2.0,18.7,-1.85,19.7,17.7,AHR data,
40462,2020,2020 Annual,Physical Inactivity,Connecticut,12.0,23.5,-0.7,24.8,22.2,AHR data,
40463,2020,2020 Annual,Physical Inactivity,Delaware,29.0,26.6,0.05,28.6,24.6,AHR data,
40464,2020,2020 Annual,Physical Inactivity,Florida,26.0,26.5,0.02,28.0,25.0,AHR data,
40465,2020,2020 Annual,Physical Inactivity,Georgia,34.0,27.9,0.36,29.5,26.2,AHR data,
40466,2020,2020 Annual,Physical Inactivity,Hawaii,16.0,24.4,-0.48,25.7,23.0,AHR data,
40467,2020,2020 Annual,Physical Inactivity,Idaho,13.0,23.8,-0.63,25.5,22.0,AHR data,
40468,2020,2020 Annual,Physical Inactivity,Illinois,21.0,25.6,-0.19,27.0,24.2,AHR data,
40469,2020,2020 Annual,Physical Inactivity,Indiana,43.0,30.9,1.08,32.2,29.7,AHR data,
40470,2020,2020 Annual,Physical Inactivity,Iowa,26.0,26.5,0.02,27.5,25.4,AHR data,
40471,2020,2020 Annual,Physical Inactivity,Kansas,31.0,27.1,0.17,28.2,26.1,AHR data,
40472,2020,2020 Annual,Physical Inactivity,Kentucky,48.0,32.8,1.54,34.5,31.1,AHR data,
40473,2020,2020 Annual,Physical Inactivity,Louisiana,47.0,31.9,1.32,33.6,30.1,AHR data,
40474,2020,2020 Annual,Physical Inactivity,Maine,40.0,30.1,0.89,31.5,28.7,AHR data,
40475,2020,2020 Annual,Physical Inactivity,Maryland,11.0,23.4,-0.72,24.4,22.3,AHR data,
40476,2020,2020 Annual,Physical Inactivity,Massachusetts,25.0,26.4,0.0,27.7,25.1,AHR data,
40477,2020,2020 Annual,Physical Inactivity,Michigan,19.0,25.4,-0.24,26.6,24.3,AHR data,
40478,2020,2020 Annual,Physical Inactivity,Minnesota,5.0,19.9,-1.56,20.7,19.1,AHR data,
40479,2020,2020 Annual,Physical Inactivity,Mississippi,50.0,37.7,2.0,39.5,36.0,AHR data,
40480,2020,2020 Annual,Physical Inactivity,Missouri,42.0,30.6,1.01,32.1,29.1,AHR data,
40481,2020,2020 Annual,Physical Inactivity,Montana,4.0,19.7,-1.61,20.8,18.5,AHR data,
40482,2020,2020 Annual,Physical Inactivity,Nebraska,30.0,26.9,0.12,27.9,25.9,AHR data,
40483,2020,2020 Annual,Physical Inactivity,Nevada,23.0,25.8,-0.14,28.2,23.4,AHR data,
40484,2020,2020 Annual,Physical Inactivity,New Hampshire,7.0,21.7,-1.13,23.3,20.2,AHR data,
40485,2020,2020 Annual,Physical Inactivity,New Jersey,37.0,28.5,0.51,31.2,25.9,AHR data,
40486,2020,2020 Annual,Physical Inactivity,New Mexico,19.0,25.4,-0.24,27.0,23.8,AHR data,
40487,2020,2020 Annual,Physical Inactivity,New York,32.0,27.2,0.19,28.4,26.1,AHR data,
40488,2020,2020 Annual,Physical Inactivity,North Carolina,24.0,26.3,-0.02,27.9,24.7,AHR data,
40489,2020,2020 Annual,Physical Inactivity,North Dakota,35.0,28.0,0.38,29.8,26.3,AHR data,
40490,2020,2020 Annual,Physical Inactivity,Ohio,36.0,28.3,0.46,29.5,27.0,AHR data,
40491,2020,2020 Annual,Physical Inactivity,Oklahoma,49.0,34.0,1.83,35.5,32.5,AHR data,
40492,2020,2020 Annual,Physical Inactivity,Oregon,14.0,23.9,-0.6,25.3,22.6,AHR data,
40493,2020,2020 Annual,Physical Inactivity,Pennsylvania,21.0,25.6,-0.19,26.9,24.2,AHR data,
40494,2020,2020 Annual,Physical Inactivity,Rhode Island,26.0,26.5,0.02,28.3,24.7,AHR data,
40495,2020,2020 Annual,Physical Inactivity,South Carolina,38.0,28.8,0.58,30.3,27.3,AHR data,
40496,2020,2020 Annual,Physical Inactivity,South Dakota,39.0,30.0,0.87,32.3,27.8,AHR data,
40497,2020,2020 Annual,Physical Inactivity,Tennessee,40.0,30.1,0.89,31.7,28.4,AHR data,
40498,2020,2020 Annual,Physical Inactivity,Texas,32.0,27.2,0.19,28.8,25.6,AHR data,
40499,2020,2020 Annual,Physical Inactivity,Utah,1.0,18.5,-1.9,19.4,17.6,AHR data,
40500,2020,2020 Annual,Physical Inactivity,Vermont,6.0,20.0,-1.54,21.5,18.5,AHR data,
40501,2020,2020 Annual,Physical Inactivity,Virginia,18.0,25.3,-0.26,26.5,24.1,AHR data,
40502,2020,2020 Annual,Physical Inactivity,Washington,3.0,19.2,-1.73,20.1,18.3,AHR data,
40503,2020,2020 Annual,Physical Inactivity,West Virginia,44.0,31.2,1.15,32.8,29.5,AHR data,
40504,2020,2020 Annual,Physical Inactivity,Wisconsin,10.0,23.2,-0.77,24.8,21.6,AHR data,
40505,2020,2020 Annual,Physical Inactivity,Wyoming,17.0,24.6,-0.43,26.4,22.8,AHR data,
40506,2020,2020 Annual,Physical Inactivity,District of Columbia,,19.0,,21.1,16.9,AHR data,
40507,2020,2020 Annual,Physical Inactivity,United States,,26.4,,,,AHR data,
