,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,21.9,33.0,19.3,31.0
1,Alabama,27.0,42.0,25.2,41.0
2,Arkansas,32.9,50.0,30.4,50.0
3,Arizona,21.9,33.0,20.1,33.0
4,California,15.1,15.0,13.6,14.0
5,Colorado,16.1,18.0,14.3,17.0
6,Connecticut,8.8,3.0,8.3,3.0
7,Delaware,18.6,26.0,16.7,24.0
8,Florida,18.2,23.0,16.7,24.0
9,Georgia,21.9,33.0,20.6,36.0
10,Hawaii,19.1,27.0,17.2,27.0
11,Iowa,16.1,18.0,15.3,19.0
12,Idaho,18.4,25.0,16.0,22.0
13,Illinois,17.4,22.0,15.8,20.0
14,Indiana,22.9,39.0,21.8,39.0
15,Kansas,21.3,31.0,20.0,32.0
16,Kentucky,29.0,46.0,27.3,47.0
17,Louisiana,29.2,47.0,27.5,48.0
18,Massachusetts,8.0,1.0,7.2,1.0
19,Maryland,14.2,11.0,14.1,15.0
20,Maine,13.2,9.0,11.1,7.0
21,Michigan,16.4,21.0,15.8,20.0
22,Minnesota,12.1,7.0,10.2,5.0
23,Missouri,22.5,38.0,21.6,38.0
24,Mississippi,30.9,49.0,27.8,49.0
25,Montana,21.0,30.0,17.2,27.0
26,North Carolina,20.5,28.0,18.7,29.0
27,North Dakota,16.3,20.0,16.4,23.0
28,Nebraska,18.2,23.0,16.7,24.0
29,New Hampshire,8.4,2.0,8.0,2.0
30,New Jersey,10.4,5.0,10.3,6.0
31,New Mexico,27.8,45.0,25.3,42.0
32,Nevada,22.1,36.0,20.5,35.0
33,New York,12.7,8.0,11.7,9.0
34,Ohio,20.8,29.0,18.9,30.0
35,Oklahoma,29.6,48.0,27.2,46.0
36,Oregon,15.1,15.0,13.3,13.0
37,Pennsylvania,14.8,13.0,14.1,15.0
38,Rhode Island,11.4,6.0,11.5,8.0
39,South Carolina,21.6,32.0,22.0,40.0
40,South Dakota,22.4,37.0,20.4,34.0
41,Tennessee,26.6,41.0,25.3,42.0
42,Texas,27.5,44.0,25.3,42.0
43,Utah,15.1,15.0,13.1,12.0
44,Virginia,15.0,14.0,14.3,17.0
45,Vermont,10.0,4.0,8.8,4.0
46,Washington,14.7,12.0,12.7,10.0
47,Wisconsin,13.8,10.0,13.0,11.0
48,West Virginia,27.1,43.0,25.4,45.0
49,Wyoming,24.5,40.0,20.8,37.0
50,United States,18.8,,17.4,
51,District of Columbia,20.9,,19.3,
