,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
56621,2019,2019 Annual,Teen Births,Alaska,33.0,21.9,0.49,,,"CDC WONDER Online Database, Natality public-use data",2017
56622,2019,2019 Annual,Teen Births,Alabama,42.0,27.0,1.29,,,"CDC WONDER Online Database, Natality public-use data",2017
56623,2019,2019 Annual,Teen Births,Arkansas,50.0,32.9,2.0,,,"CDC WONDER Online Database, Natality public-use data",2017
56624,2019,2019 Annual,Teen Births,Arizona,33.0,21.9,0.49,,,"CDC WONDER Online Database, Natality public-use data",2017
56625,2019,2019 Annual,Teen Births,California,15.0,15.1,-0.58,,,"CDC WONDER Online Database, Natality public-use data",2017
56626,2019,2019 Annual,Teen Births,Colorado,18.0,16.1,-0.43,,,"CDC WONDER Online Database, Natality public-use data",2017
56627,2019,2019 Annual,Teen Births,Connecticut,3.0,8.8,-1.58,,,"CDC WONDER Online Database, Natality public-use data",2017
56628,2019,2019 Annual,Teen Births,Delaware,26.0,18.6,-0.03,,,"CDC WONDER Online Database, Natality public-use data",2017
56629,2019,2019 Annual,Teen Births,Florida,23.0,18.2,-0.09,,,"CDC WONDER Online Database, Natality public-use data",2017
56630,2019,2019 Annual,Teen Births,Georgia,33.0,21.9,0.49,,,"CDC WONDER Online Database, Natality public-use data",2017
56631,2019,2019 Annual,Teen Births,Hawaii,27.0,19.1,0.05,,,"CDC WONDER Online Database, Natality public-use data",2017
56632,2019,2019 Annual,Teen Births,Iowa,18.0,16.1,-0.43,,,"CDC WONDER Online Database, Natality public-use data",2017
56633,2019,2019 Annual,Teen Births,Idaho,25.0,18.4,-0.06,,,"CDC WONDER Online Database, Natality public-use data",2017
56634,2019,2019 Annual,Teen Births,Illinois,22.0,17.4,-0.22,,,"CDC WONDER Online Database, Natality public-use data",2017
56635,2019,2019 Annual,Teen Births,Indiana,39.0,22.9,0.65,,,"CDC WONDER Online Database, Natality public-use data",2017
56636,2019,2019 Annual,Teen Births,Kansas,31.0,21.3,0.39,,,"CDC WONDER Online Database, Natality public-use data",2017
56637,2019,2019 Annual,Teen Births,Kentucky,46.0,29.0,1.61,,,"CDC WONDER Online Database, Natality public-use data",2017
56638,2019,2019 Annual,Teen Births,Louisiana,47.0,29.2,1.64,,,"CDC WONDER Online Database, Natality public-use data",2017
56639,2019,2019 Annual,Teen Births,Massachusetts,1.0,8.0,-1.71,,,"CDC WONDER Online Database, Natality public-use data",2017
56640,2019,2019 Annual,Teen Births,Maryland,11.0,14.2,-0.73,,,"CDC WONDER Online Database, Natality public-use data",2017
56641,2019,2019 Annual,Teen Births,Maine,9.0,13.2,-0.88,,,"CDC WONDER Online Database, Natality public-use data",2017
56642,2019,2019 Annual,Teen Births,Michigan,21.0,16.4,-0.38,,,"CDC WONDER Online Database, Natality public-use data",2017
56643,2019,2019 Annual,Teen Births,Minnesota,7.0,12.1,-1.06,,,"CDC WONDER Online Database, Natality public-use data",2017
56644,2019,2019 Annual,Teen Births,Missouri,38.0,22.5,0.58,,,"CDC WONDER Online Database, Natality public-use data",2017
56645,2019,2019 Annual,Teen Births,Mississippi,49.0,30.9,1.91,,,"CDC WONDER Online Database, Natality public-use data",2017
56646,2019,2019 Annual,Teen Births,Montana,30.0,21.0,0.35,,,"CDC WONDER Online Database, Natality public-use data",2017
56647,2019,2019 Annual,Teen Births,North Carolina,28.0,20.5,0.27,,,"CDC WONDER Online Database, Natality public-use data",2017
56648,2019,2019 Annual,Teen Births,North Dakota,20.0,16.3,-0.39,,,"CDC WONDER Online Database, Natality public-use data",2017
56649,2019,2019 Annual,Teen Births,Nebraska,23.0,18.2,-0.09,,,"CDC WONDER Online Database, Natality public-use data",2017
56650,2019,2019 Annual,Teen Births,New Hampshire,2.0,8.4,-1.64,,,"CDC WONDER Online Database, Natality public-use data",2017
56651,2019,2019 Annual,Teen Births,New Jersey,5.0,10.4,-1.33,,,"CDC WONDER Online Database, Natality public-use data",2017
56652,2019,2019 Annual,Teen Births,New Mexico,45.0,27.8,1.42,,,"CDC WONDER Online Database, Natality public-use data",2017
56653,2019,2019 Annual,Teen Births,Nevada,36.0,22.1,0.52,,,"CDC WONDER Online Database, Natality public-use data",2017
