,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
45396,2020,2020 Annual,Teen Births,Alaska,31.0,19.3,0.32,,,AHR data,
45397,2020,2020 Annual,Teen Births,Alabama,41.0,25.2,1.32,,,AHR data,
45398,2020,2020 Annual,Teen Births,Arkansas,50.0,30.4,2.0,,,AHR data,
45399,2020,2020 Annual,Teen Births,Arizona,33.0,20.1,0.46,,,AHR data,
45400,2020,2020 Annual,Teen Births,California,14.0,13.6,-0.64,,,AHR data,
45401,2020,2020 Annual,Teen Births,Colorado,17.0,14.3,-0.53,,,AHR data,
45402,2020,2020 Annual,Teen Births,Connecticut,3.0,8.3,-1.54,,,AHR data,
45403,2020,2020 Annual,Teen Births,Delaware,24.0,16.7,-0.12,,,AHR data,
45404,2020,2020 Annual,Teen Births,Florida,24.0,16.7,-0.12,,,AHR data,
45405,2020,2020 Annual,Teen Births,Georgia,36.0,20.6,0.54,,,AHR data,
45406,2020,2020 Annual,Teen Births,Hawaii,27.0,17.2,-0.03,,,AHR data,
45407,2020,2020 Annual,Teen Births,Iowa,19.0,15.3,-0.36,,,AHR data,
45408,2020,2020 Annual,Teen Births,Idaho,22.0,16.0,-0.24,,,AHR data,
45409,2020,2020 Annual,Teen Births,Illinois,20.0,15.8,-0.27,,,AHR data,
45410,2020,2020 Annual,Teen Births,Indiana,39.0,21.8,0.75,,,AHR data,
45411,2020,2020 Annual,Teen Births,Kansas,32.0,20.0,0.44,,,AHR data,
45412,2020,2020 Annual,Teen Births,Kentucky,47.0,27.3,1.68,,,AHR data,
45413,2020,2020 Annual,Teen Births,Louisiana,48.0,27.5,1.71,,,AHR data,
45414,2020,2020 Annual,Teen Births,Massachusetts,1.0,7.2,-1.73,,,AHR data,
45415,2020,2020 Annual,Teen Births,Maryland,15.0,14.1,-0.56,,,AHR data,
45416,2020,2020 Annual,Teen Births,Maine,7.0,11.1,-1.07,,,AHR data,
45417,2020,2020 Annual,Teen Births,Michigan,20.0,15.8,-0.27,,,AHR data,
45418,2020,2020 Annual,Teen Births,Minnesota,5.0,10.2,-1.22,,,AHR data,
45419,2020,2020 Annual,Teen Births,Missouri,38.0,21.6,0.71,,,AHR data,
45420,2020,2020 Annual,Teen Births,Mississippi,49.0,27.8,1.76,,,AHR data,
45421,2020,2020 Annual,Teen Births,Montana,27.0,17.2,-0.03,,,AHR data,
45422,2020,2020 Annual,Teen Births,North Carolina,29.0,18.7,0.22,,,AHR data,
45423,2020,2020 Annual,Teen Births,North Dakota,23.0,16.4,-0.17,,,AHR data,
45424,2020,2020 Annual,Teen Births,Nebraska,24.0,16.7,-0.12,,,AHR data,
45425,2020,2020 Annual,Teen Births,New Hampshire,2.0,8.0,-1.59,,,AHR data,
45426,2020,2020 Annual,Teen Births,New Jersey,6.0,10.3,-1.2,,,AHR data,
45427,2020,2020 Annual,Teen Births,New Mexico,42.0,25.3,1.34,,,AHR data,
45428,2020,2020 Annual,Teen Births,Nevada,35.0,20.5,0.53,,,AHR data,
45429,2020,2020 Annual,Teen Births,New York,9.0,11.7,-0.97,,,AHR data,
45430,2020,2020 Annual,Teen Births,Ohio,30.0,18.9,0.25,,,AHR data,
45431,2020,2020 Annual,Teen Births,Oklahoma,46.0,27.2,1.66,,,AHR data,
45432,2020,2020 Annual,Teen Births,Oregon,13.0,13.3,-0.69,,,AHR data,
45433,2020,2020 Annual,Teen Births,Pennsylvania,15.0,14.1,-0.56,,,AHR data,
45434,2020,2020 Annual,Teen Births,Rhode Island,8.0,11.5,-1.0,,,AHR data,
45435,2020,2020 Annual,Teen Births,South Carolina,40.0,22.0,0.78,,,AHR data,
45436,2020,2020 Annual,Teen Births,South Dakota,34.0,20.4,0.51,,,AHR data,
45437,2020,2020 Annual,Teen Births,Tennessee,42.0,25.3,1.34,,,AHR data,
45438,2020,2020 Annual,Teen Births,Texas,42.0,25.3,1.34,,,AHR data,
45439,2020,2020 Annual,Teen Births,Utah,12.0,13.1,-0.73,,,AHR data,
45440,2020,2020 Annual,Teen Births,Virginia,17.0,14.3,-0.53,,,AHR data,
45441,2020,2020 Annual,Teen Births,Vermont,4.0,8.8,-1.46,,,AHR data,
45442,2020,2020 Annual,Teen Births,Washington,10.0,12.7,-0.8,,,AHR data,
45443,2020,2020 Annual,Teen Births,Wisconsin,11.0,13.0,-0.75,,,AHR data,
45444,2020,2020 Annual,Teen Births,West Virginia,45.0,25.4,1.36,,,AHR data,
45445,2020,2020 Annual,Teen Births,Wyoming,37.0,20.8,0.58,,,AHR data,
45446,2020,2020 Annual,Teen Births,United States,,17.4,,,,AHR data,
45447,2020,2020 Annual,Teen Births,District of Columbia,,19.3,,,,AHR data,
