,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,17.1,18.0,16.1,19.0
1,Alaska,19.9,23.0,14.7,14.0
2,Arizona,21.8,29.0,23.9,31.0
3,Arkansas,14.8,16.0,15.2,17.0
4,California,12.3,10.0,13.5,13.0
5,Colorado,18.1,20.0,17.1,21.0
6,Connecticut,29.9,40.0,29.9,42.0
7,Delaware,35.1,45.0,42.4,49.0
8,Florida,24.2,35.0,22.4,28.0
9,Georgia,14.7,15.0,13.3,12.0
10,Hawaii,14.2,14.0,15.1,16.0
11,Idaho,13.7,13.0,14.9,15.0
12,Illinois,21.7,28.0,21.2,25.0
13,Indiana,27.8,38.0,24.9,33.0
14,Iowa,10.8,5.0,9.5,3.0
15,Kansas,11.4,7.0,12.3,10.0
16,Kentucky,35.2,46.0,29.8,41.0
17,Louisiana,23.7,34.0,24.7,32.0
18,Maine,31.7,43.0,26.6,37.0
19,Maryland,37.1,47.0,37.7,48.0
20,Massachusetts,31.6,42.0,31.8,43.0
21,Michigan,27.0,37.0,26.3,35.0
22,Minnesota,13.1,12.0,11.5,7.0
23,Mississippi,11.9,8.0,10.6,5.0
24,Missouri,22.4,30.0,26.8,38.0
25,Montana,11.3,6.0,12.1,9.0
26,Nebraska,7.9,1.0,7.4,2.0
27,Nevada,22.5,31.0,22.4,28.0
28,New Hampshire,34.8,44.0,34.1,45.0
29,New Jersey,29.8,39.0,32.4,44.0
30,New Mexico,23.6,33.0,26.4,36.0
31,New York,19.8,22.0,18.5,22.0
32,North Carolina,23.5,32.0,21.8,27.0
33,North Dakota,9.0,3.0,9.5,3.0
34,Ohio,43.8,49.0,34.8,46.0
35,Oklahoma,19.7,21.0,18.8,23.0
36,Oregon,12.8,11.0,12.9,11.0
37,Pennsylvania,42.1,48.0,35.0,47.0
38,Rhode Island,30.2,41.0,29.7,40.0
39,South Carolina,20.1,24.0,22.4,28.0
40,South Dakota,8.4,2.0,6.8,1.0
41,Tennessee,26.4,36.0,26.9,39.0
42,Texas,10.6,4.0,10.7,6.0
43,Utah,21.0,26.0,21.6,26.0
44,Vermont,21.5,27.0,25.7,34.0
45,Virginia,17.8,19.0,16.8,20.0
46,Washington,15.8,17.0,15.2,17.0
47,West Virginia,53.6,50.0,49.1,50.0
48,Wisconsin,20.3,25.0,18.9,24.0
49,Wyoming,11.9,8.0,11.6,8.0
50,United States,21.6,,20.6,
51,District of Columbia,44.7,,40.9,
