,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
16484,2020,2020 Annual,Drug Deaths (1-year),Alabama,19.0,16.1,-0.47,17.2,15.0,AHR data,
16485,2020,2020 Annual,Drug Deaths (1-year),Alaska,14.0,14.7,-0.62,17.5,12.0,AHR data,
16486,2020,2020 Annual,Drug Deaths (1-year),Arizona,31.0,23.9,0.35,25.0,22.7,AHR data,
16487,2020,2020 Annual,Drug Deaths (1-year),Arkansas,17.0,15.2,-0.57,16.6,13.8,AHR data,
16488,2020,2020 Annual,Drug Deaths (1-year),California,13.0,13.5,-0.75,13.9,13.2,AHR data,
16489,2020,2020 Annual,Drug Deaths (1-year),Colorado,21.0,17.1,-0.37,18.2,16.0,AHR data,
16490,2020,2020 Annual,Drug Deaths (1-year),Connecticut,42.0,29.9,0.98,31.8,28.1,AHR data,
16491,2020,2020 Annual,Drug Deaths (1-year),Delaware,49.0,42.4,2.0,46.6,38.3,AHR data,
16492,2020,2020 Annual,Drug Deaths (1-year),Florida,28.0,22.4,0.19,23.0,21.7,AHR data,
16493,2020,2020 Annual,Drug Deaths (1-year),Georgia,12.0,13.3,-0.77,14.0,12.6,AHR data,
16494,2020,2020 Annual,Drug Deaths (1-year),Hawaii,16.0,15.1,-0.58,17.2,13.1,AHR data,
16495,2020,2020 Annual,Drug Deaths (1-year),Idaho,15.0,14.9,-0.6,16.7,13.0,AHR data,
16496,2020,2020 Annual,Drug Deaths (1-year),Illinois,25.0,21.2,0.06,22.0,20.4,AHR data,
16497,2020,2020 Annual,Drug Deaths (1-year),Indiana,33.0,24.9,0.45,26.1,23.7,AHR data,
16498,2020,2020 Annual,Drug Deaths (1-year),Iowa,3.0,9.5,-1.17,10.6,8.4,AHR data,
16499,2020,2020 Annual,Drug Deaths (1-year),Kansas,10.0,12.3,-0.88,13.6,11.0,AHR data,
16500,2020,2020 Annual,Drug Deaths (1-year),Kentucky,41.0,29.8,0.97,31.4,28.2,AHR data,
16501,2020,2020 Annual,Drug Deaths (1-year),Louisiana,32.0,24.7,0.43,26.1,23.2,AHR data,
16502,2020,2020 Annual,Drug Deaths (1-year),Maine,37.0,26.6,0.63,29.4,23.8,AHR data,
16503,2020,2020 Annual,Drug Deaths (1-year),Maryland,48.0,37.7,1.8,39.3,36.2,AHR data,
16504,2020,2020 Annual,Drug Deaths (1-year),Massachusetts,43.0,31.8,1.18,33.1,30.5,AHR data,
16505,2020,2020 Annual,Drug Deaths (1-year),Michigan,35.0,26.3,0.6,27.3,25.3,AHR data,
16506,2020,2020 Annual,Drug Deaths (1-year),Minnesota,7.0,11.5,-0.96,12.4,10.6,AHR data,
16507,2020,2020 Annual,Drug Deaths (1-year),Mississippi,5.0,10.6,-1.05,11.8,9.5,AHR data,
16508,2020,2020 Annual,Drug Deaths (1-year),Missouri,38.0,26.8,0.65,28.1,25.5,AHR data,
16509,2020,2020 Annual,Drug Deaths (1-year),Montana,9.0,12.1,-0.9,14.2,9.9,AHR data,
16510,2020,2020 Annual,Drug Deaths (1-year),Nebraska,2.0,7.4,-1.39,8.7,6.2,AHR data,
16511,2020,2020 Annual,Drug Deaths (1-year),Nevada,28.0,22.4,0.19,24.1,20.8,AHR data,
16512,2020,2020 Annual,Drug Deaths (1-year),New Hampshire,45.0,34.1,1.42,37.2,30.9,AHR data,
16513,2020,2020 Annual,Drug Deaths (1-year),New Jersey,44.0,32.4,1.24,33.6,31.2,AHR data,
16514,2020,2020 Annual,Drug Deaths (1-year),New Mexico,36.0,26.4,0.61,28.6,24.2,AHR data,
16515,2020,2020 Annual,Drug Deaths (1-year),New York,22.0,18.5,-0.22,19.1,17.9,AHR data,
16516,2020,2020 Annual,Drug Deaths (1-year),North Carolina,27.0,21.8,0.13,22.7,20.9,AHR data,
16517,2020,2020 Annual,Drug Deaths (1-year),North Dakota,3.0,9.5,-1.17,12.0,7.4,AHR data,
16518,2020,2020 Annual,Drug Deaths (1-year),Ohio,46.0,34.8,1.5,35.8,33.7,AHR data,
16519,2020,2020 Annual,Drug Deaths (1-year),Oklahoma,23.0,18.8,-0.19,20.2,17.4,AHR data,
16520,2020,2020 Annual,Drug Deaths (1-year),Oregon,11.0,12.9,-0.81,13.9,11.8,AHR data,
16521,2020,2020 Annual,Drug Deaths (1-year),Pennsylvania,47.0,35.0,1.52,36.1,34.0,AHR data,
16522,2020,2020 Annual,Drug Deaths (1-year),Rhode Island,40.0,29.7,0.96,33.0,26.4,AHR data,
16523,2020,2020 Annual,Drug Deaths (1-year),South Carolina,28.0,22.4,0.19,23.7,21.1,AHR data,
16524,2020,2020 Annual,Drug Deaths (1-year),South Dakota,1.0,6.8,-1.46,8.8,5.1,AHR data,
16525,2020,2020 Annual,Drug Deaths (1-year),Tennessee,39.0,26.9,0.66,28.2,25.7,AHR data,
16526,2020,2020 Annual,Drug Deaths (1-year),Texas,6.0,10.7,-1.04,11.1,10.3,AHR data,
16527,2020,2020 Annual,Drug Deaths (1-year),Utah,26.0,21.6,0.11,23.4,19.9,AHR data,
16528,2020,2020 Annual,Drug Deaths (1-year),Vermont,34.0,25.7,0.54,29.8,21.6,AHR data,
16529,2020,2020 Annual,Drug Deaths (1-year),Virginia,20.0,16.8,-0.4,17.6,15.9,AHR data,
16530,2020,2020 Annual,Drug Deaths (1-year),Washington,17.0,15.2,-0.57,16.1,14.4,AHR data,
16531,2020,2020 Annual,Drug Deaths (1-year),West Virginia,50.0,49.1,2.0,52.4,45.8,AHR data,
16532,2020,2020 Annual,Drug Deaths (1-year),Wisconsin,24.0,18.9,-0.18,20.1,17.8,AHR data,
16533,2020,2020 Annual,Drug Deaths (1-year),Wyoming,8.0,11.6,-0.95,14.8,9.0,AHR data,
16534,2020,2020 Annual,Drug Deaths (1-year),United States,,20.6,,20.8,20.4,AHR data,
16535,2020,2020 Annual,Drug Deaths (1-year),District of Columbia,,40.9,,46.0,35.8,AHR data,
