State,Rank_2020,Value_2020,Rank_2019,Value_2019
Massachusetts,1,3.8,3,4.1
New Hampshire,2,3.9,1,3.9
Vermont,3,4.1,2,4
Washington,3,4.1,6,4.6
California,5,4.2,4,4.3
New Jersey,5,4.2,5,4.4
Colorado,7,4.6,8,4.7
New York,7,4.6,6,4.6
Connecticut,9,4.7,12,5.2
Wyoming,10,4.8,10,5
Minnesota,11,5,12,5.2
Oregon,11,5,9,4.9
Idaho,13,5.2,15,5.3
North Dakota,14,5.4,37,6.8
Alaska,15,5.5,26,6.1
Arizona,15,5.5,16,5.4
Iowa,17,5.6,11,5.1
Hawaii,18,5.7,21,5.8
Montana,18,5.7,21,5.8
Utah,18,5.7,12,5.2
Maine,21,5.8,29,6.2
Nebraska,21,5.8,23,5.9
Nevada,21,5.8,17,5.5
Texas,21,5.8,19,5.7
Rhode Island,25,5.9,19,5.7
Virginia,25,5.9,23,5.9
Kansas,27,6,25,6
New Mexico,27,6,18,5.6
Florida,29,6.1,29,6.2
Pennsylvania,29,6.1,29,6.2
Illinois,31,6.3,29,6.2
South Dakota,31,6.3,26,6.1
Missouri,33,6.4,33,6.5
Wisconsin,33,6.4,26,6.1
Maryland,35,6.5,35,6.6
Michigan,36,6.6,33,6.5
Kentucky,37,6.7,36,6.7
South Carolina,38,6.8,38,7
Delaware,39,7.1,48,8.5
North Carolina,39,7.1,41,7.3
West Virginia,39,7.1,40,7.2
Georgia,42,7.3,45,7.6
Indiana,42,7.3,43,7.4
Ohio,42,7.3,41,7.3
Tennessee,42,7.3,39,7.1
Louisiana,46,7.5,46,7.8
Oklahoma,47,7.6,43,7.4
Alabama,48,8.2,49,8.7
Arkansas,48,8.2,47,7.9
Mississippi,50,8.7,50,9.1
United States,•,5.8,•,5.9
District of Columbia,•,7.7,•,8
