State,Value_2018,Value_2010
Hawaii,82.3,81.4
California,81.7,80.6
New York,81.4,80.3
Minnesota,80.9,80.8
Connecticut,80.9,80.7
Massachusetts,80.6,80.5
Colorado,80.6,80.1
New Jersey,80.5,80
Washington,80.4,80.1
Florida,80.2,79
Utah,80.1,79.8
Arizona,80,79.3
Oregon,79.9,79.5
Rhode Island,79.8,79.5
Vermont,79.8,80.1
North Dakota,79.7,79.7
New Hampshire,79.7,80.3
Nebraska,79.6,79.7
Virginia,79.5,79.1
Wisconsin,79.5,79.6
Iowa,79.4,79.6
Idaho,79.4,79.4
Illinois,79.4,79
Texas,79.2,78.4
Maryland,79.2,79
Alaska,79,78
South Dakota,78.9,79.3
Wyoming,78.9,78.1
Montana,78.9,78.5
Maine,78.7,79.1
Nevada,78.7,77.8
Kansas,78.5,78.6
Delaware,78.5,78.3
Pennsylvania,78.4,78.5
North Carolina,78.1,77.8
New Mexico,78,78.2
Michigan,78.1,78
Georgia,77.9,77.3
Missouri,77.3,77.4
South Carolina,77.1,76.8
Indiana,77.1,77.5
Ohio,77,77.7
Louisiana,76.1,75.8
Tennessee,76,76.2
Oklahoma,76,75.7
Arkansas,76,76
Kentucky,75.6,75.9
Alabama,75.5,75.4
Mississippi,74.9,74.8
West Virginia,74.8,75.5
