,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
34008,2020,2020 Annual,Mortality - Annual,Alaska,47.0,-0.98,-0.98,,,AHR data,
34009,2020,2020 Annual,Mortality - Annual,Alabama,42.0,-0.745,-0.745,,,AHR data,
34010,2020,2020 Annual,Mortality - Annual,Arkansas,38.0,-0.6,-0.6,,,AHR data,
34011,2020,2020 Annual,Mortality - Annual,Arizona,36.0,-0.57,-0.57,,,AHR data,
34012,2020,2020 Annual,Mortality - Annual,California,6.0,0.57,0.57,,,AHR data,
34013,2020,2020 Annual,Mortality - Annual,Colorado,9.0,0.365,0.365,,,AHR data,
34014,2020,2020 Annual,Mortality - Annual,Connecticut,5.0,0.61,0.61,,,AHR data,
34015,2020,2020 Annual,Mortality - Annual,Delaware,23.0,-0.06,-0.06,,,AHR data,
34016,2020,2020 Annual,Mortality - Annual,Florida,13.0,0.27,0.27,,,AHR data,
34017,2020,2020 Annual,Mortality - Annual,Georgia,20.0,0.07,0.07,,,AHR data,
34018,2020,2020 Annual,Mortality - Annual,Hawaii,1.0,0.835,0.835,,,AHR data,
34019,2020,2020 Annual,Mortality - Annual,Iowa,16.0,0.165,0.165,,,AHR data,
34020,2020,2020 Annual,Mortality - Annual,Idaho,17.0,0.105,0.105,,,AHR data,
34021,2020,2020 Annual,Mortality - Annual,Illinois,27.0,-0.195,-0.195,,,AHR data,
34022,2020,2020 Annual,Mortality - Annual,Indiana,30.0,-0.365,-0.365,,,AHR data,
34023,2020,2020 Annual,Mortality - Annual,Kansas,26.0,-0.105,-0.105,,,AHR data,
34024,2020,2020 Annual,Mortality - Annual,Kentucky,37.0,-0.58,-0.58,,,AHR data,
34025,2020,2020 Annual,Mortality - Annual,Louisiana,41.0,-0.73,-0.73,,,AHR data,
34026,2020,2020 Annual,Mortality - Annual,Massachusetts,3.0,0.805,0.805,,,AHR data,
34027,2020,2020 Annual,Mortality - Annual,Maryland,17.0,0.105,0.105,,,AHR data,
34028,2020,2020 Annual,Mortality - Annual,Maine,8.0,0.475,0.475,,,AHR data,
34029,2020,2020 Annual,Mortality - Annual,Michigan,29.0,-0.325,-0.325,,,AHR data,
34030,2020,2020 Annual,Mortality - Annual,Minnesota,34.0,-0.43,-0.43,,,AHR data,
34031,2020,2020 Annual,Mortality - Annual,Missouri,40.0,-0.675,-0.675,,,AHR data,
34032,2020,2020 Annual,Mortality - Annual,Mississippi,48.0,-1.0,-1.0,,,AHR data,
34033,2020,2020 Annual,Mortality - Annual,Montana,49.0,-1.005,-1.005,,,AHR data,
34034,2020,2020 Annual,Mortality - Annual,North Carolina,25.0,-0.075,-0.075,,,AHR data,
34035,2020,2020 Annual,Mortality - Annual,North Dakota,45.0,-0.85,-0.85,,,AHR data,
34036,2020,2020 Annual,Mortality - Annual,Nebraska,31.0,-0.37,-0.37,,,AHR data,
34037,2020,2020 Annual,Mortality - Annual,New Hampshire,14.0,0.18,0.18,,,AHR data,
34038,2020,2020 Annual,Mortality - Annual,New Jersey,11.0,0.33,0.33,,,AHR data,
34039,2020,2020 Annual,Mortality - Annual,New Mexico,46.0,-0.905,-0.905,,,AHR data,
34040,2020,2020 Annual,Mortality - Annual,Nevada,21.0,0.045,0.045,,,AHR data,
34041,2020,2020 Annual,Mortality - Annual,New York,4.0,0.69,0.69,,,AHR data,
34042,2020,2020 Annual,Mortality - Annual,Ohio,33.0,-0.42,-0.42,,,AHR data,
34043,2020,2020 Annual,Mortality - Annual,Oklahoma,35.0,-0.535,-0.535,,,AHR data,
34044,2020,2020 Annual,Mortality - Annual,Oregon,7.0,0.535,0.535,,,AHR data,
34045,2020,2020 Annual,Mortality - Annual,Pennsylvania,24.0,-0.07,-0.07,,,AHR data,
34046,2020,2020 Annual,Mortality - Annual,Rhode Island,2.0,0.82,0.82,,,AHR data,
34047,2020,2020 Annual,Mortality - Annual,South Carolina,32.0,-0.405,-0.405,,,AHR data,
34048,2020,2020 Annual,Mortality - Annual,South Dakota,50.0,-1.015,-1.015,,,AHR data,
34049,2020,2020 Annual,Mortality - Annual,Tennessee,39.0,-0.63,-0.63,,,AHR data,
34050,2020,2020 Annual,Mortality - Annual,Texas,11.0,0.33,0.33,,,AHR data,
34051,2020,2020 Annual,Mortality - Annual,Utah,21.0,0.045,0.045,,,AHR data,
34052,2020,2020 Annual,Mortality - Annual,Virginia,10.0,0.335,0.335,,,AHR data,
34053,2020,2020 Annual,Mortality - Annual,Vermont,15.0,0.17,0.17,,,AHR data,
34054,2020,2020 Annual,Mortality - Annual,Washington,19.0,0.085,0.085,,,AHR data,
34055,2020,2020 Annual,Mortality - Annual,Wisconsin,28.0,-0.285,-0.285,,,AHR data,
34056,2020,2020 Annual,Mortality - Annual,West Virginia,42.0,-0.745,-0.745,,,AHR data,
34057,2020,2020 Annual,Mortality - Annual,Wyoming,44.0,-0.845,-0.845,,,AHR data,
34058,2020,2020 Annual,Mortality - Annual,United States,,,,,,AHR data,
34059,2020,2020 Annual,Mortality - Annual,District of Columbia,,,,,,AHR data,
