,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,70.4,20.0,70.4,20.0
1,Alaska,60.0,48.0,60.0,48.0
2,Arizona,67.4,36.0,67.4,36.0
3,Arkansas,66.6,42.0,66.6,42.0
4,California,71.6,17.0,71.6,17.0
5,Colorado,68.9,30.0,68.9,30.0
6,Connecticut,75.4,4.0,75.4,4.0
7,Delaware,73.0,10.0,73.0,10.0
8,Florida,70.4,20.0,70.4,20.0
9,Georgia,68.3,32.0,68.3,32.0
10,Hawaii,75.1,7.0,75.1,7.0
11,Idaho,67.0,39.0,67.0,39.0
12,Illinois,66.7,41.0,66.7,41.0
13,Indiana,68.2,33.0,68.2,33.0
14,Iowa,71.5,18.0,71.5,18.0
15,Kansas,67.3,37.0,67.3,37.0
16,Kentucky,69.6,26.0,69.6,26.0
17,Louisiana,69.3,27.0,69.3,27.0
18,Maine,75.8,2.0,75.8,2.0
19,Maryland,72.5,11.0,72.5,11.0
20,Massachusetts,77.1,1.0,77.1,1.0
21,Michigan,74.6,8.0,74.6,8.0
22,Minnesota,73.6,9.0,73.6,9.0
23,Mississippi,62.6,46.0,62.6,46.0
24,Missouri,69.7,25.0,69.7,25.0
25,Montana,64.4,44.0,64.4,44.0
26,Nebraska,68.7,31.0,68.7,31.0
27,Nevada,60.6,47.0,60.6,47.0
28,New Hampshire,75.2,5.0,75.2,5.0
29,New Jersey,67.6,35.0,67.6,35.0
30,New Mexico,64.7,43.0,64.7,43.0
31,New York,70.0,22.0,70.0,22.0
32,North Carolina,71.7,16.0,71.7,16.0
33,North Dakota,67.0,39.0,67.0,39.0
34,Ohio,67.2,38.0,67.2,38.0
35,Oklahoma,62.7,45.0,62.7,45.0
36,Oregon,72.4,12.0,72.4,12.0
37,Pennsylvania,71.9,14.0,71.9,14.0
38,Rhode Island,75.7,3.0,75.7,3.0
39,South Carolina,70.9,19.0,70.9,19.0
40,South Dakota,69.1,28.0,69.1,28.0
41,Tennessee,69.1,28.0,69.1,28.0
42,Texas,59.7,49.0,59.7,49.0
43,Utah,70.0,22.0,70.0,22.0
44,Vermont,71.8,15.0,71.8,15.0
45,Virginia,70.0,22.0,70.0,22.0
46,Washington,72.1,13.0,72.1,13.0
47,West Virginia,68.1,34.0,68.1,34.0
48,Wisconsin,75.2,5.0,75.2,5.0
49,Wyoming,58.8,50.0,58.8,50.0
50,District of Columbia,73.8,,73.8,
51,United States,69.7,,69.7,
