,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
11332,2019,2019 Annual,Colorectal Cancer Screening,Alabama,20.0,70.4,0.16,72.4,68.3,"CDC, Behavioral Risk Factor Surveillance System",2018
11333,2019,2019 Annual,Colorectal Cancer Screening,Alaska,48.0,60.0,-2.0,63.8,56.2,"CDC, Behavioral Risk Factor Surveillance System",2018
11334,2019,2019 Annual,Colorectal Cancer Screening,Arizona,36.0,67.4,-0.52,69.9,64.9,"CDC, Behavioral Risk Factor Surveillance System",2018
11335,2019,2019 Annual,Colorectal Cancer Screening,Arkansas,42.0,66.6,-0.7,69.1,64.1,"CDC, Behavioral Risk Factor Surveillance System",2018
11336,2019,2019 Annual,Colorectal Cancer Screening,California,17.0,71.6,0.43,73.5,69.6,"CDC, Behavioral Risk Factor Surveillance System",2018
11337,2019,2019 Annual,Colorectal Cancer Screening,Colorado,30.0,68.9,-0.18,70.6,67.1,"CDC, Behavioral Risk Factor Surveillance System",2018
11338,2019,2019 Annual,Colorectal Cancer Screening,Connecticut,4.0,75.4,1.29,77.0,73.8,"CDC, Behavioral Risk Factor Surveillance System",2018
11339,2019,2019 Annual,Colorectal Cancer Screening,Delaware,10.0,73.0,0.75,75.2,70.8,"CDC, Behavioral Risk Factor Surveillance System",2018
11340,2019,2019 Annual,Colorectal Cancer Screening,Florida,20.0,70.4,0.16,72.6,68.1,"CDC, Behavioral Risk Factor Surveillance System",2018
11341,2019,2019 Annual,Colorectal Cancer Screening,Georgia,32.0,68.3,-0.32,70.1,66.5,"CDC, Behavioral Risk Factor Surveillance System",2018
11342,2019,2019 Annual,Colorectal Cancer Screening,Hawaii,7.0,75.1,1.23,77.1,73.2,"CDC, Behavioral Risk Factor Surveillance System",2018
11343,2019,2019 Annual,Colorectal Cancer Screening,Idaho,39.0,67.0,-0.61,70.1,64.0,"CDC, Behavioral Risk Factor Surveillance System",2018
11344,2019,2019 Annual,Colorectal Cancer Screening,Illinois,41.0,66.7,-0.68,69.1,64.4,"CDC, Behavioral Risk Factor Surveillance System",2018
11345,2019,2019 Annual,Colorectal Cancer Screening,Indiana,33.0,68.2,-0.34,70.1,66.3,"CDC, Behavioral Risk Factor Surveillance System",2018
11346,2019,2019 Annual,Colorectal Cancer Screening,Iowa,18.0,71.5,0.41,73.0,69.9,"CDC, Behavioral Risk Factor Surveillance System",2018
11347,2019,2019 Annual,Colorectal Cancer Screening,Kansas,37.0,67.3,-0.55,68.8,65.7,"CDC, Behavioral Risk Factor Surveillance System",2018
11348,2019,2019 Annual,Colorectal Cancer Screening,Kentucky,26.0,69.6,-0.02,72.1,67.1,"CDC, Behavioral Risk Factor Surveillance System",2018
11349,2019,2019 Annual,Colorectal Cancer Screening,Louisiana,27.0,69.3,-0.09,71.9,66.7,"CDC, Behavioral Risk Factor Surveillance System",2018
11350,2019,2019 Annual,Colorectal Cancer Screening,Maine,2.0,75.8,1.39,77.4,74.1,"CDC, Behavioral Risk Factor Surveillance System",2018
11351,2019,2019 Annual,Colorectal Cancer Screening,Maryland,11.0,72.5,0.64,73.9,71.1,"CDC, Behavioral Risk Factor Surveillance System",2018
11352,2019,2019 Annual,Colorectal Cancer Screening,Massachusetts,1.0,77.1,1.68,79.1,75.1,"CDC, Behavioral Risk Factor Surveillance System",2018
11353,2019,2019 Annual,Colorectal Cancer Screening,Michigan,8.0,74.6,1.11,76.3,73.0,"CDC, Behavioral Risk Factor Surveillance System",2018
11354,2019,2019 Annual,Colorectal Cancer Screening,Minnesota,9.0,73.6,0.89,74.8,72.4,"CDC, Behavioral Risk Factor Surveillance System",2018
11355,2019,2019 Annual,Colorectal Cancer Screening,Mississippi,46.0,62.6,-1.61,64.9,60.2,"CDC, Behavioral Risk Factor Surveillance System",2018
11356,2019,2019 Annual,Colorectal Cancer Screening,Missouri,25.0,69.7,0.0,72.0,67.4,"CDC, Behavioral Risk Factor Surveillance System",2018
11357,2019,2019 Annual,Colorectal Cancer Screening,Montana,44.0,64.4,-1.2,66.9,61.9,"CDC, Behavioral Risk Factor Surveillance System",2018
11358,2019,2019 Annual,Colorectal Cancer Screening,Nebraska,31.0,68.7,-0.23,70.3,67.1,"CDC, Behavioral Risk Factor Surveillance System",2018
11359,2019,2019 Annual,Colorectal Cancer Screening,Nevada,47.0,60.6,-2.0,64.7,56.5,"CDC, Behavioral Risk Factor Surveillance System",2018
