,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,36.2,45.0,36.1,44.0
1,Alaska,29.5,15.0,30.5,18.0
2,Arizona,29.5,15.0,31.4,20.0
3,Arkansas,37.1,48.0,37.4,48.0
4,California,25.8,5.0,26.1,5.0
5,Colorado,22.9,1.0,23.8,1.0
6,Connecticut,27.4,7.0,29.1,12.0
7,Delaware,33.5,33.0,34.4,35.0
8,Florida,30.7,24.0,27.0,7.0
9,Georgia,32.5,30.0,33.1,28.0
10,Hawaii,24.9,2.0,25.0,2.0
11,Idaho,28.4,12.0,29.4,14.0
12,Illinois,31.8,27.0,31.6,21.0
13,Indiana,34.1,35.0,35.3,40.0
14,Iowa,35.3,44.0,33.9,30.0
15,Kansas,34.4,38.0,35.2,39.0
16,Kentucky,36.6,46.0,36.5,45.0
17,Louisiana,36.8,47.0,35.9,42.0
18,Maine,30.4,23.0,31.7,22.0
19,Maryland,30.9,25.0,32.2,26.0
20,Massachusetts,25.7,4.0,25.2,3.0
21,Michigan,33.0,31.0,36.0,43.0
22,Minnesota,30.1,20.0,30.1,17.0
23,Mississippi,39.5,49.0,40.8,50.0
24,Missouri,35.0,42.0,34.8,36.0
25,Montana,26.9,6.0,28.3,9.0
26,Nebraska,34.1,35.0,34.1,33.0
27,Nevada,29.5,15.0,30.6,19.0
28,New Hampshire,29.6,18.0,31.8,24.0
29,New Jersey,25.6,3.0,25.6,4.0
30,New Mexico,32.3,29.0,31.7,22.0
31,New York,27.6,9.0,27.1,8.0
32,North Carolina,33.0,31.0,34.0,31.0
33,North Dakota,35.1,43.0,34.8,36.0
34,Ohio,34.0,34.0,34.8,36.0
35,Oklahoma,34.8,40.0,36.8,47.0
36,Oregon,29.9,19.0,29.0,11.0
37,Pennsylvania,30.9,25.0,33.2,29.0
38,Rhode Island,27.7,10.0,30.0,16.0
39,South Carolina,34.3,37.0,35.3,40.0
40,South Dakota,30.1,20.0,33.0,27.0
41,Tennessee,34.4,38.0,36.5,45.0
42,Texas,34.8,40.0,34.0,31.0
43,Utah,27.7,10.0,29.2,13.0
44,Vermont,27.5,8.0,26.6,6.0
45,Virginia,30.3,22.0,31.9,25.0
46,Washington,28.7,13.0,28.3,9.0
47,West Virginia,39.5,49.0,39.7,49.0
48,Wisconsin,32.0,28.0,34.2,34.0
49,Wyoming,29.0,14.0,29.7,15.0
50,District of Columbia,24.7,,23.8,
51,United States,30.9,,31.9,
