,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
38896,2020,2020 Annual,Obesity,Alabama,44.0,36.1,1.07,37.7,34.6,AHR data,
38897,2020,2020 Annual,Obesity,Alaska,18.0,30.5,-0.36,33.3,27.7,AHR data,
38898,2020,2020 Annual,Obesity,Arizona,20.0,31.4,-0.13,33.1,29.6,AHR data,
38899,2020,2020 Annual,Obesity,Arkansas,48.0,37.4,1.4,39.4,35.4,AHR data,
38900,2020,2020 Annual,Obesity,California,5.0,26.1,-1.48,27.2,25.1,AHR data,
38901,2020,2020 Annual,Obesity,Colorado,1.0,23.8,-2.0,24.9,22.7,AHR data,
38902,2020,2020 Annual,Obesity,Connecticut,12.0,29.1,-0.71,30.5,27.7,AHR data,
38903,2020,2020 Annual,Obesity,Delaware,35.0,34.4,0.64,36.6,32.1,AHR data,
38904,2020,2020 Annual,Obesity,Florida,7.0,27.0,-1.25,28.5,25.6,AHR data,
38905,2020,2020 Annual,Obesity,Georgia,28.0,33.1,0.31,35.0,31.2,AHR data,
38906,2020,2020 Annual,Obesity,Hawaii,2.0,25.0,-1.76,26.3,23.7,AHR data,
38907,2020,2020 Annual,Obesity,Idaho,14.0,29.4,-0.64,31.4,27.5,AHR data,
38908,2020,2020 Annual,Obesity,Illinois,21.0,31.6,-0.08,33.1,30.1,AHR data,
38909,2020,2020 Annual,Obesity,Indiana,40.0,35.3,0.87,36.6,34.0,AHR data,
38910,2020,2020 Annual,Obesity,Iowa,30.0,33.9,0.51,35.1,32.8,AHR data,
38911,2020,2020 Annual,Obesity,Kansas,39.0,35.2,0.84,36.4,34.1,AHR data,
38912,2020,2020 Annual,Obesity,Kentucky,45.0,36.5,1.17,38.2,34.7,AHR data,
38913,2020,2020 Annual,Obesity,Louisiana,42.0,35.9,1.02,37.7,34.1,AHR data,
38914,2020,2020 Annual,Obesity,Maine,22.0,31.7,-0.05,33.1,30.2,AHR data,
38915,2020,2020 Annual,Obesity,Maryland,26.0,32.2,0.08,33.4,31.1,AHR data,
38916,2020,2020 Annual,Obesity,Massachusetts,3.0,25.2,-1.7,26.5,23.8,AHR data,
38917,2020,2020 Annual,Obesity,Michigan,43.0,36.0,1.04,37.2,34.7,AHR data,
38918,2020,2020 Annual,Obesity,Minnesota,17.0,30.1,-0.46,31.0,29.2,AHR data,
38919,2020,2020 Annual,Obesity,Mississippi,50.0,40.8,2.0,42.7,39.0,AHR data,
38920,2020,2020 Annual,Obesity,Missouri,36.0,34.8,0.74,36.4,33.2,AHR data,
38921,2020,2020 Annual,Obesity,Montana,9.0,28.3,-0.92,29.7,27.0,AHR data,
38922,2020,2020 Annual,Obesity,Nebraska,33.0,34.1,0.56,35.2,33.0,AHR data,
38923,2020,2020 Annual,Obesity,Nevada,19.0,30.6,-0.33,33.0,28.1,AHR data,
38924,2020,2020 Annual,Obesity,New Hampshire,24.0,31.8,-0.03,33.6,29.9,AHR data,
38925,2020,2020 Annual,Obesity,New Jersey,4.0,25.6,-1.6,28.1,23.2,AHR data,
38926,2020,2020 Annual,Obesity,New Mexico,22.0,31.7,-0.05,33.5,30.0,AHR data,
38927,2020,2020 Annual,Obesity,New York,8.0,27.1,-1.22,28.2,26.0,AHR data,
38928,2020,2020 Annual,Obesity,North Carolina,31.0,34.0,0.53,35.8,32.2,AHR data,
38929,2020,2020 Annual,Obesity,North Dakota,36.0,34.8,0.74,36.7,32.9,AHR data,
38930,2020,2020 Annual,Obesity,Ohio,36.0,34.8,0.74,36.1,33.5,AHR data,
38931,2020,2020 Annual,Obesity,Oklahoma,47.0,36.8,1.25,38.4,35.2,AHR data,
38932,2020,2020 Annual,Obesity,Oregon,11.0,29.0,-0.74,30.4,27.5,AHR data,
38933,2020,2020 Annual,Obesity,Pennsylvania,29.0,33.2,0.33,34.7,31.7,AHR data,
38934,2020,2020 Annual,Obesity,Rhode Island,16.0,30.0,-0.48,31.8,28.2,AHR data,
38935,2020,2020 Annual,Obesity,South Carolina,40.0,35.3,0.87,36.9,33.8,AHR data,
38936,2020,2020 Annual,Obesity,South Dakota,27.0,33.0,0.28,35.4,30.5,AHR data,
38937,2020,2020 Annual,Obesity,Tennessee,45.0,36.5,1.17,38.3,34.7,AHR data,
38938,2020,2020 Annual,Obesity,Texas,31.0,34.0,0.53,35.7,32.2,AHR data,
38939,2020,2020 Annual,Obesity,Utah,13.0,29.2,-0.69,30.3,28.2,AHR data,
38940,2020,2020 Annual,Obesity,Vermont,6.0,26.6,-1.35,28.3,24.9,AHR data,
38941,2020,2020 Annual,Obesity,Virginia,25.0,31.9,0.0,33.2,30.6,AHR data,
38942,2020,2020 Annual,Obesity,Washington,9.0,28.3,-0.92,29.4,27.3,AHR data,
38943,2020,2020 Annual,Obesity,West Virginia,49.0,39.7,1.98,41.5,37.9,AHR data,
38944,2020,2020 Annual,Obesity,Wisconsin,34.0,34.2,0.59,36.1,32.3,AHR data,
38945,2020,2020 Annual,Obesity,Wyoming,15.0,29.7,-0.56,31.6,27.7,AHR data,
38946,2020,2020 Annual,Obesity,District of Columbia,,23.8,,25.9,21.7,AHR data,
38947,2020,2020 Annual,Obesity,United States,,31.9,,,,AHR data,
