,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,24.0,45.0,24.1,43.0
1,Alaska,20.2,30.0,17.4,16.0
2,Arizona,16.7,14.0,16.8,9.0
3,Arkansas,22.5,39.0,25.0,47.0
4,California,15.4,4.0,14.6,4.0
5,Colorado,15.7,8.0,17.2,12.0
6,Connecticut,15.5,6.0,14.4,3.0
7,Delaware,16.9,15.0,18.8,22.0
8,Florida,15.6,7.0,17.7,17.0
9,Georgia,17.1,16.0,17.0,10.0
10,Hawaii,12.6,2.0,12.8,2.0
11,Idaho,19.5,23.0,22.7,37.0
12,Illinois,17.7,20.0,18.3,20.0
13,Indiana,19.7,26.0,21.0,33.0
14,Iowa,16.4,11.0,16.2,7.0
15,Kansas,20.7,31.0,19.9,26.0
16,Kentucky,24.0,45.0,25.7,49.0
17,Louisiana,23.2,41.0,23.9,42.0
18,Maine,22.8,40.0,23.5,41.0
19,Maryland,15.4,4.0,15.8,6.0
20,Massachusetts,18.1,22.0,18.5,21.0
21,Michigan,23.2,41.0,21.4,34.0
22,Minnesota,17.6,19.0,20.2,29.0
23,Mississippi,21.7,36.0,20.6,32.0
24,Missouri,22.2,38.0,22.8,38.0
25,Montana,21.9,37.0,24.1,43.0
26,Nebraska,17.3,18.0,16.2,7.0
27,Nevada,15.7,8.0,17.7,17.0
28,New Hampshire,20.7,31.0,20.0,27.0
29,New Jersey,11.8,1.0,11.8,1.0
30,New Mexico,17.2,17.0,17.3,14.0
31,New York,15.1,3.0,15.3,5.0
32,North Carolina,19.8,27.0,21.6,35.0
33,North Dakota,19.6,24.0,17.9,19.0
34,Ohio,20.0,29.0,20.3,30.0
35,Oklahoma,23.3,43.0,23.0,39.0
36,Oregon,26.2,49.0,24.6,46.0
37,Pennsylvania,21.6,35.0,19.6,24.0
38,Rhode Island,20.8,33.0,19.6,24.0
39,South Carolina,19.9,28.0,20.0,27.0
40,South Dakota,16.3,10.0,17.3,14.0
41,Tennessee,25.2,48.0,25.0,47.0
42,Texas,16.5,12.0,17.2,12.0
43,Utah,24.3,47.0,23.1,40.0
44,Vermont,21.2,34.0,22.1,36.0
45,Virginia,16.6,13.0,17.0,10.0
46,Washington,23.6,44.0,24.2,45.0
47,West Virginia,26.6,50.0,28.8,50.0
48,Wisconsin,19.6,24.0,20.5,31.0
49,Wyoming,17.9,21.0,19.2,23.0
50,District of Columbia,19.4,,20.5,
51,United States,19.6,,19.9,
