,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
13312,2020,2020 Annual,Depression,Alabama,43.0,24.1,1.16,25.4,22.7,AHR data,
13313,2020,2020 Annual,Depression,Alaska,16.0,17.4,-0.69,19.6,15.2,AHR data,
13314,2020,2020 Annual,Depression,Arizona,9.0,16.8,-0.86,18.1,15.5,AHR data,
13315,2020,2020 Annual,Depression,Arkansas,47.0,25.0,1.41,26.7,23.3,AHR data,
13316,2020,2020 Annual,Depression,California,4.0,14.6,-1.47,15.5,13.8,AHR data,
13317,2020,2020 Annual,Depression,Colorado,12.0,17.2,-0.75,18.1,16.2,AHR data,
13318,2020,2020 Annual,Depression,Connecticut,3.0,14.4,-1.52,15.4,13.4,AHR data,
13319,2020,2020 Annual,Depression,Delaware,22.0,18.8,-0.3,20.6,17.0,AHR data,
13320,2020,2020 Annual,Depression,Florida,17.0,17.7,-0.61,18.9,16.4,AHR data,
13321,2020,2020 Annual,Depression,Georgia,10.0,17.0,-0.8,18.4,15.7,AHR data,
13322,2020,2020 Annual,Depression,Hawaii,2.0,12.8,-1.97,13.8,11.8,AHR data,
13323,2020,2020 Annual,Depression,Idaho,37.0,22.7,0.78,24.5,20.9,AHR data,
13324,2020,2020 Annual,Depression,Illinois,20.0,18.3,-0.44,19.5,17.1,AHR data,
13325,2020,2020 Annual,Depression,Indiana,33.0,21.0,0.3,22.1,19.9,AHR data,
13326,2020,2020 Annual,Depression,Iowa,7.0,16.2,-1.03,17.1,15.4,AHR data,
13327,2020,2020 Annual,Depression,Kansas,26.0,19.9,0.0,20.8,18.9,AHR data,
13328,2020,2020 Annual,Depression,Kentucky,49.0,25.7,1.61,27.2,24.1,AHR data,
13329,2020,2020 Annual,Depression,Louisiana,42.0,23.9,1.11,25.4,22.3,AHR data,
13330,2020,2020 Annual,Depression,Maine,41.0,23.5,1.0,24.8,22.1,AHR data,
13331,2020,2020 Annual,Depression,Maryland,6.0,15.8,-1.14,16.6,15.0,AHR data,
13332,2020,2020 Annual,Depression,Massachusetts,21.0,18.5,-0.39,19.7,17.4,AHR data,
13333,2020,2020 Annual,Depression,Michigan,34.0,21.4,0.42,22.5,20.3,AHR data,
13334,2020,2020 Annual,Depression,Minnesota,29.0,20.2,0.08,21.0,19.5,AHR data,
13335,2020,2020 Annual,Depression,Mississippi,32.0,20.6,0.19,22.1,19.2,AHR data,
13336,2020,2020 Annual,Depression,Missouri,38.0,22.8,0.8,24.2,21.4,AHR data,
13337,2020,2020 Annual,Depression,Montana,43.0,24.1,1.16,25.4,22.8,AHR data,
13338,2020,2020 Annual,Depression,Nebraska,7.0,16.2,-1.03,17.1,15.4,AHR data,
13339,2020,2020 Annual,Depression,Nevada,17.0,17.7,-0.61,19.7,15.7,AHR data,
13340,2020,2020 Annual,Depression,New Hampshire,27.0,20.0,0.03,21.5,18.5,AHR data,
13341,2020,2020 Annual,Depression,New Jersey,1.0,11.8,-2.0,13.5,10.0,AHR data,
13342,2020,2020 Annual,Depression,New Mexico,14.0,17.3,-0.72,18.7,16.0,AHR data,
13343,2020,2020 Annual,Depression,New York,5.0,15.3,-1.27,16.2,14.4,AHR data,
13344,2020,2020 Annual,Depression,North Carolina,35.0,21.6,0.47,23.0,20.1,AHR data,
13345,2020,2020 Annual,Depression,North Dakota,19.0,17.9,-0.55,19.5,16.3,AHR data,
13346,2020,2020 Annual,Depression,Ohio,30.0,20.3,0.11,21.4,19.2,AHR data,
13347,2020,2020 Annual,Depression,Oklahoma,39.0,23.0,0.86,24.3,21.6,AHR data,
13348,2020,2020 Annual,Depression,Oregon,46.0,24.6,1.3,26.0,23.3,AHR data,
13349,2020,2020 Annual,Depression,Pennsylvania,24.0,19.6,-0.08,20.9,18.4,AHR data,
13350,2020,2020 Annual,Depression,Rhode Island,24.0,19.6,-0.08,21.2,18.1,AHR data,
13351,2020,2020 Annual,Depression,South Carolina,27.0,20.0,0.03,21.3,18.7,AHR data,
13352,2020,2020 Annual,Depression,South Dakota,14.0,17.3,-0.72,19.2,15.4,AHR data,
13353,2020,2020 Annual,Depression,Tennessee,47.0,25.0,1.41,26.5,23.4,AHR data,
13354,2020,2020 Annual,Depression,Texas,12.0,17.2,-0.75,18.4,15.9,AHR data,
13355,2020,2020 Annual,Depression,Utah,40.0,23.1,0.89,24.1,22.1,AHR data,
13356,2020,2020 Annual,Depression,Vermont,36.0,22.1,0.61,23.8,20.5,AHR data,
13357,2020,2020 Annual,Depression,Virginia,10.0,17.0,-0.8,18.0,16.0,AHR data,
13358,2020,2020 Annual,Depression,Washington,45.0,24.2,1.19,25.2,23.2,AHR data,
13359,2020,2020 Annual,Depression,West Virginia,50.0,28.8,2.0,30.4,27.1,AHR data,
13360,2020,2020 Annual,Depression,Wisconsin,31.0,20.5,0.17,22.0,18.9,AHR data,
13361,2020,2020 Annual,Depression,Wyoming,23.0,19.2,-0.19,20.9,17.4,AHR data,
13362,2020,2020 Annual,Depression,District of Columbia,,20.5,,22.5,18.4,AHR data,
13363,2020,2020 Annual,Depression,United States,,19.9,,,,AHR data,
