,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
15283,2019,2019 Annual,Depression,Alabama,45.0,24.0,1.26,25.5,22.6,"CDC, Behavioral Risk Factor Surveillance System",2018
15284,2019,2019 Annual,Depression,Alaska,30.0,20.2,0.17,22.4,17.9,"CDC, Behavioral Risk Factor Surveillance System",2018
15285,2019,2019 Annual,Depression,Arizona,14.0,16.7,-0.83,18.0,15.4,"CDC, Behavioral Risk Factor Surveillance System",2018
15286,2019,2019 Annual,Depression,Arkansas,39.0,22.5,0.83,24.2,20.7,"CDC, Behavioral Risk Factor Surveillance System",2018
15287,2019,2019 Annual,Depression,California,4.0,15.4,-1.2,16.2,14.6,"CDC, Behavioral Risk Factor Surveillance System",2018
15288,2019,2019 Annual,Depression,Colorado,8.0,15.7,-1.11,16.6,14.7,"CDC, Behavioral Risk Factor Surveillance System",2018
15289,2019,2019 Annual,Depression,Connecticut,6.0,15.5,-1.17,16.5,14.5,"CDC, Behavioral Risk Factor Surveillance System",2018
15290,2019,2019 Annual,Depression,Delaware,15.0,16.9,-0.77,18.3,15.5,"CDC, Behavioral Risk Factor Surveillance System",2018
15291,2019,2019 Annual,Depression,Florida,7.0,15.6,-1.14,16.7,14.5,"CDC, Behavioral Risk Factor Surveillance System",2018
15292,2019,2019 Annual,Depression,Georgia,16.0,17.1,-0.71,18.1,16.1,"CDC, Behavioral Risk Factor Surveillance System",2018
15293,2019,2019 Annual,Depression,Hawaii,2.0,12.6,-2.0,13.6,11.6,"CDC, Behavioral Risk Factor Surveillance System",2018
15294,2019,2019 Annual,Depression,Idaho,23.0,19.5,-0.03,21.3,17.6,"CDC, Behavioral Risk Factor Surveillance System",2018
15295,2019,2019 Annual,Depression,Illinois,20.0,17.7,-0.54,18.9,16.4,"CDC, Behavioral Risk Factor Surveillance System",2018
15296,2019,2019 Annual,Depression,Indiana,26.0,19.7,0.03,20.9,18.5,"CDC, Behavioral Risk Factor Surveillance System",2018
15297,2019,2019 Annual,Depression,Iowa,11.0,16.4,-0.91,17.3,15.5,"CDC, Behavioral Risk Factor Surveillance System",2018
15298,2019,2019 Annual,Depression,Kansas,31.0,20.7,0.31,21.7,19.7,"CDC, Behavioral Risk Factor Surveillance System",2018
15299,2019,2019 Annual,Depression,Kentucky,45.0,24.0,1.26,25.5,22.4,"CDC, Behavioral Risk Factor Surveillance System",2018
15300,2019,2019 Annual,Depression,Louisiana,41.0,23.2,1.03,24.9,21.5,"CDC, Behavioral Risk Factor Surveillance System",2018
15301,2019,2019 Annual,Depression,Maine,40.0,22.8,0.91,24.2,21.5,"CDC, Behavioral Risk Factor Surveillance System",2018
15302,2019,2019 Annual,Depression,Maryland,4.0,15.4,-1.2,16.3,14.6,"CDC, Behavioral Risk Factor Surveillance System",2018
15303,2019,2019 Annual,Depression,Massachusetts,22.0,18.1,-0.43,19.4,16.9,"CDC, Behavioral Risk Factor Surveillance System",2018
15304,2019,2019 Annual,Depression,Michigan,41.0,23.2,1.03,24.2,22.1,"CDC, Behavioral Risk Factor Surveillance System",2018
15305,2019,2019 Annual,Depression,Minnesota,19.0,17.6,-0.57,18.3,16.9,"CDC, Behavioral Risk Factor Surveillance System",2018
15306,2019,2019 Annual,Depression,Mississippi,36.0,21.7,0.6,23.1,20.3,"CDC, Behavioral Risk Factor Surveillance System",2018
15307,2019,2019 Annual,Depression,Missouri,38.0,22.2,0.74,23.7,20.7,"CDC, Behavioral Risk Factor Surveillance System",2018
15308,2019,2019 Annual,Depression,Montana,37.0,21.9,0.66,23.5,20.4,"CDC, Behavioral Risk Factor Surveillance System",2018
15309,2019,2019 Annual,Depression,Nebraska,18.0,17.3,-0.66,18.2,16.3,"CDC, Behavioral Risk Factor Surveillance System",2018
15310,2019,2019 Annual,Depression,Nevada,8.0,15.7,-1.11,17.5,14.0,"CDC, Behavioral Risk Factor Surveillance System",2018
