,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,78.1,22.0,77.3,26.0
1,Alaska,63.0,50.0,68.1,47.0
2,Arizona,73.6,40.0,71.1,44.0
3,Arkansas,81.3,16.0,78.9,21.0
4,California,74.7,35.0,74.8,34.0
5,Colorado,74.0,37.0,73.4,39.0
6,Connecticut,84.2,9.0,83.4,10.0
7,Delaware,81.7,14.0,82.3,12.0
8,Florida,73.8,39.0,72.0,43.0
9,Georgia,71.8,44.0,73.7,37.0
10,Hawaii,85.0,7.0,83.6,9.0
11,Idaho,71.1,45.0,72.1,42.0
12,Illinois,82.0,13.0,79.7,16.0
13,Indiana,79.8,19.0,77.9,25.0
14,Iowa,82.5,12.0,82.8,11.0
15,Kansas,77.7,25.0,78.2,24.0
16,Kentucky,81.0,17.0,81.7,14.0
17,Louisiana,76.7,27.0,76.4,27.0
18,Maine,85.2,5.0,85.4,5.0
19,Maryland,83.6,10.0,84.8,7.0
20,Massachusetts,86.7,1.0,87.3,2.0
21,Michigan,85.1,6.0,85.5,4.0
22,Minnesota,75.8,32.0,74.8,34.0
23,Mississippi,74.0,37.0,73.6,38.0
24,Missouri,76.6,28.0,78.8,22.0
25,Montana,72.8,41.0,73.0,40.0
26,Nebraska,77.7,25.0,79.6,17.0
27,Nevada,69.5,46.0,66.3,50.0
28,New Hampshire,86.2,2.0,88.4,1.0
29,New Jersey,79.6,21.0,79.6,17.0
30,New Mexico,68.9,47.0,69.8,45.0
31,New York,80.4,18.0,79.4,20.0
32,North Carolina,78.0,23.0,76.0,28.0
33,North Dakota,72.6,42.0,69.5,46.0
34,Ohio,79.7,20.0,79.6,17.0
35,Oklahoma,75.8,32.0,75.5,30.0
36,Oregon,75.0,34.0,75.4,32.0
37,Pennsylvania,84.9,8.0,83.8,8.0
38,Rhode Island,86.1,3.0,85.4,5.0
39,South Carolina,76.1,30.0,75.3,33.0
40,South Dakota,74.7,35.0,75.7,29.0
41,Tennessee,76.4,29.0,74.2,36.0
42,Texas,68.2,48.0,68.1,47.0
43,Utah,72.6,42.0,72.9,41.0
44,Vermont,85.7,4.0,86.2,3.0
45,Virginia,77.8,24.0,78.3,23.0
46,Washington,76.0,31.0,75.5,30.0
47,West Virginia,81.4,15.0,81.7,14.0
48,Wisconsin,82.6,11.0,82.3,12.0
49,Wyoming,67.8,49.0,67.0,49.0
50,District of Columbia,78.0,,76.6,
51,United States,77.7,,77.3,
