,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
11856,2020,2020 Annual,Dedicated Health Care Provider,Alabama,26.0,77.3,0.0,78.8,75.9,AHR data,
11857,2020,2020 Annual,Dedicated Health Care Provider,Alaska,47.0,68.1,-1.63,71.0,65.3,AHR data,
11858,2020,2020 Annual,Dedicated Health Care Provider,Arizona,44.0,71.1,-1.1,72.9,69.4,AHR data,
11859,2020,2020 Annual,Dedicated Health Care Provider,Arkansas,21.0,78.9,0.28,80.7,77.1,AHR data,
11860,2020,2020 Annual,Dedicated Health Care Provider,California,34.0,74.8,-0.44,75.8,73.8,AHR data,
11861,2020,2020 Annual,Dedicated Health Care Provider,Colorado,39.0,73.4,-0.69,74.5,72.3,AHR data,
11862,2020,2020 Annual,Dedicated Health Care Provider,Connecticut,10.0,83.4,1.08,84.5,82.2,AHR data,
11863,2020,2020 Annual,Dedicated Health Care Provider,Delaware,12.0,82.3,0.89,84.0,80.5,AHR data,
11864,2020,2020 Annual,Dedicated Health Care Provider,Florida,43.0,72.0,-0.94,73.5,70.5,AHR data,
11865,2020,2020 Annual,Dedicated Health Care Provider,Georgia,37.0,73.7,-0.64,75.5,72.0,AHR data,
11866,2020,2020 Annual,Dedicated Health Care Provider,Hawaii,9.0,83.6,1.12,84.7,82.4,AHR data,
11867,2020,2020 Annual,Dedicated Health Care Provider,Idaho,42.0,72.1,-0.92,74.1,70.2,AHR data,
11868,2020,2020 Annual,Dedicated Health Care Provider,Illinois,16.0,79.7,0.43,81.0,78.4,AHR data,
11869,2020,2020 Annual,Dedicated Health Care Provider,Indiana,25.0,77.9,0.11,79.1,76.7,AHR data,
11870,2020,2020 Annual,Dedicated Health Care Provider,Iowa,11.0,82.8,0.98,83.7,81.8,AHR data,
11871,2020,2020 Annual,Dedicated Health Care Provider,Kansas,24.0,78.2,0.16,79.2,77.1,AHR data,
