,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
13723,2019,2019 Annual,Dedicated Health Care Provider,Alabama,22.0,78.1,0.07,79.6,76.6,"CDC, Behavioral Risk Factor Surveillance System",2018
13724,2019,2019 Annual,Dedicated Health Care Provider,Alaska,50.0,63.0,-2.0,65.7,60.3,"CDC, Behavioral Risk Factor Surveillance System",2018
13725,2019,2019 Annual,Dedicated Health Care Provider,Arizona,40.0,73.6,-0.74,75.3,71.9,"CDC, Behavioral Risk Factor Surveillance System",2018
13726,2019,2019 Annual,Dedicated Health Care Provider,Arkansas,16.0,81.3,0.65,83.2,79.5,"CDC, Behavioral Risk Factor Surveillance System",2018
13727,2019,2019 Annual,Dedicated Health Care Provider,California,35.0,74.7,-0.54,75.7,73.6,"CDC, Behavioral Risk Factor Surveillance System",2018
13728,2019,2019 Annual,Dedicated Health Care Provider,Colorado,37.0,74.0,-0.66,75.2,72.9,"CDC, Behavioral Risk Factor Surveillance System",2018
13729,2019,2019 Annual,Dedicated Health Care Provider,Connecticut,9.0,84.2,1.17,85.3,83.1,"CDC, Behavioral Risk Factor Surveillance System",2018
13730,2019,2019 Annual,Dedicated Health Care Provider,Delaware,14.0,81.7,0.72,83.2,80.2,"CDC, Behavioral Risk Factor Surveillance System",2018
13731,2019,2019 Annual,Dedicated Health Care Provider,Florida,39.0,73.8,-0.7,75.3,72.3,"CDC, Behavioral Risk Factor Surveillance System",2018
13732,2019,2019 Annual,Dedicated Health Care Provider,Georgia,44.0,71.8,-1.06,73.0,70.6,"CDC, Behavioral Risk Factor Surveillance System",2018
13733,2019,2019 Annual,Dedicated Health Care Provider,Hawaii,7.0,85.0,1.31,86.1,83.9,"CDC, Behavioral Risk Factor Surveillance System",2018
13734,2019,2019 Annual,Dedicated Health Care Provider,Idaho,45.0,71.1,-1.18,73.2,69.0,"CDC, Behavioral Risk Factor Surveillance System",2018
13735,2019,2019 Annual,Dedicated Health Care Provider,Illinois,13.0,82.0,0.77,83.3,80.7,"CDC, Behavioral Risk Factor Surveillance System",2018
13736,2019,2019 Annual,Dedicated Health Care Provider,Indiana,19.0,79.8,0.38,81.1,78.4,"CDC, Behavioral Risk Factor Surveillance System",2018
13737,2019,2019 Annual,Dedicated Health Care Provider,Iowa,12.0,82.5,0.86,83.5,81.5,"CDC, Behavioral Risk Factor Surveillance System",2018
13738,2019,2019 Annual,Dedicated Health Care Provider,Kansas,25.0,77.7,0.0,78.8,76.6,"CDC, Behavioral Risk Factor Surveillance System",2018
13739,2019,2019 Annual,Dedicated Health Care Provider,Kentucky,17.0,81.0,0.59,82.5,79.5,"CDC, Behavioral Risk Factor Surveillance System",2018
13740,2019,2019 Annual,Dedicated Health Care Provider,Louisiana,27.0,76.7,-0.18,78.3,75.0,"CDC, Behavioral Risk Factor Surveillance System",2018
13741,2019,2019 Annual,Dedicated Health Care Provider,Maine,5.0,85.2,1.34,86.5,83.9,"CDC, Behavioral Risk Factor Surveillance System",2018
13742,2019,2019 Annual,Dedicated Health Care Provider,Maryland,10.0,83.6,1.06,84.6,82.6,"CDC, Behavioral Risk Factor Surveillance System",2018
13743,2019,2019 Annual,Dedicated Health Care Provider,Massachusetts,1.0,86.7,1.61,87.8,85.6,"CDC, Behavioral Risk Factor Surveillance System",2018
13744,2019,2019 Annual,Dedicated Health Care Provider,Michigan,6.0,85.1,1.33,86.0,84.1,"CDC, Behavioral Risk Factor Surveillance System",2018
13745,2019,2019 Annual,Dedicated Health Care Provider,Minnesota,32.0,75.8,-0.34,76.6,75.0,"CDC, Behavioral Risk Factor Surveillance System",2018
13746,2019,2019 Annual,Dedicated Health Care Provider,Mississippi,37.0,74.0,-0.66,75.6,72.3,"CDC, Behavioral Risk Factor Surveillance System",2018
13747,2019,2019 Annual,Dedicated Health Care Provider,Missouri,28.0,76.6,-0.2,78.3,74.9,"CDC, Behavioral Risk Factor Surveillance System",2018
13748,2019,2019 Annual,Dedicated Health Care Provider,Montana,41.0,72.8,-0.88,74.5,71.1,"CDC, Behavioral Risk Factor Surveillance System",2018
13749,2019,2019 Annual,Dedicated Health Care Provider,Nebraska,25.0,77.7,0.0,78.8,76.6,"CDC, Behavioral Risk Factor Surveillance System",2018
13750,2019,2019 Annual,Dedicated Health Care Provider,Nevada,46.0,69.5,-1.47,71.9,67.1,"CDC, Behavioral Risk Factor Surveillance System",2018
