,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,16.2,46.0,18.1,49.0
1,Alaska,13.6,36.0,13.5,31.0
2,Arizona,13.3,34.0,13.9,34.0
3,Arkansas,14.9,39.0,15.7,43.0
4,California,11.9,23.0,11.9,19.0
5,Colorado,12.2,25.0,12.1,21.0
6,Connecticut,9.2,5.0,9.9,8.0
7,Delaware,10.6,14.0,10.6,12.0
8,Florida,16.2,46.0,16.0,45.0
9,Georgia,18.2,50.0,17.8,48.0
10,Hawaii,7.3,1.0,8.2,1.0
11,Idaho,15.0,42.0,14.5,38.0
12,Illinois,11.5,19.0,13.3,29.0
13,Indiana,12.2,25.0,12.6,25.0
14,Iowa,7.7,3.0,8.5,2.0
15,Kansas,12.1,24.0,13.1,27.0
16,Kentucky,12.6,27.0,12.1,21.0
17,Louisiana,14.8,38.0,14.8,39.0
18,Maine,11.8,20.0,12.3,24.0
19,Maryland,11.2,18.0,10.9,14.0
20,Massachusetts,8.8,4.0,8.7,4.0
21,Michigan,11.8,20.0,11.7,18.0
22,Minnesota,10.0,9.0,10.0,9.0
23,Mississippi,17.6,49.0,17.2,47.0
24,Missouri,13.3,34.0,14.3,36.0
25,Montana,10.1,10.0,10.3,11.0
26,Nebraska,11.8,20.0,12.6,25.0
27,Nevada,14.5,37.0,15.1,42.0
28,New Hampshire,10.6,14.0,11.4,15.0
29,New Jersey,13.1,32.0,13.1,27.0
30,New Mexico,13.0,29.0,13.9,34.0
31,New York,11.0,16.0,11.5,16.0
32,North Carolina,15.1,43.0,15.9,44.0
33,North Dakota,9.3,6.0,9.2,5.0
34,Ohio,10.2,11.0,12.1,21.0
35,Oklahoma,14.9,39.0,16.2,46.0
36,Oregon,12.6,27.0,13.5,31.0
37,Pennsylvania,9.4,7.0,10.0,9.0
38,Rhode Island,10.5,12.0,8.6,3.0
39,South Carolina,15.8,44.0,14.9,40.0
40,South Dakota,10.5,12.0,9.8,7.0
41,Tennessee,15.8,44.0,14.9,40.0
42,Texas,16.8,48.0,18.8,50.0
43,Utah,13.0,29.0,14.3,36.0
44,Vermont,7.6,2.0,9.3,6.0
45,Virginia,13.0,29.0,12.0,20.0
46,Washington,11.0,16.0,11.5,16.0
47,West Virginia,14.9,39.0,13.4,30.0
48,Wisconsin,9.9,8.0,10.6,12.0
49,Wyoming,13.2,33.0,13.5,31.0
50,District of Columbia,7.9,,10.4,
51,United States,12.2,,12.6,
