,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2494,2019,2019 Annual,Avoided Care Due to Cost,Alabama,46.0,16.2,1.53,17.5,14.9,"CDC, Behavioral Risk Factor Surveillance System",2018
2495,2019,2019 Annual,Avoided Care Due to Cost,Alaska,36.0,13.6,0.53,15.5,11.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2496,2019,2019 Annual,Avoided Care Due to Cost,Arizona,34.0,13.3,0.42,14.6,12.0,"CDC, Behavioral Risk Factor Surveillance System",2018
2497,2019,2019 Annual,Avoided Care Due to Cost,Arkansas,39.0,14.9,1.03,16.5,13.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2498,2019,2019 Annual,Avoided Care Due to Cost,California,23.0,11.9,-0.11,12.6,11.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2499,2019,2019 Annual,Avoided Care Due to Cost,Colorado,25.0,12.2,0.0,13.0,11.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2500,2019,2019 Annual,Avoided Care Due to Cost,Connecticut,5.0,9.2,-1.14,10.0,8.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2501,2019,2019 Annual,Avoided Care Due to Cost,Delaware,14.0,10.6,-0.61,11.8,9.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2502,2019,2019 Annual,Avoided Care Due to Cost,Florida,46.0,16.2,1.53,17.4,14.9,"CDC, Behavioral Risk Factor Surveillance System",2018
2503,2019,2019 Annual,Avoided Care Due to Cost,Georgia,50.0,18.2,2.0,19.2,17.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2504,2019,2019 Annual,Avoided Care Due to Cost,Hawaii,1.0,7.3,-1.87,8.1,6.6,"CDC, Behavioral Risk Factor Surveillance System",2018
2505,2019,2019 Annual,Avoided Care Due to Cost,Idaho,42.0,15.0,1.07,16.7,13.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2506,2019,2019 Annual,Avoided Care Due to Cost,Illinois,19.0,11.5,-0.27,12.6,10.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2507,2019,2019 Annual,Avoided Care Due to Cost,Indiana,25.0,12.2,0.0,13.2,11.2,"CDC, Behavioral Risk Factor Surveillance System",2018
2508,2019,2019 Annual,Avoided Care Due to Cost,Iowa,3.0,7.7,-1.72,8.4,7.1,"CDC, Behavioral Risk Factor Surveillance System",2018
2509,2019,2019 Annual,Avoided Care Due to Cost,Kansas,24.0,12.1,-0.04,13.0,11.3,"CDC, Behavioral Risk Factor Surveillance System",2018
2510,2019,2019 Annual,Avoided Care Due to Cost,Kentucky,27.0,12.6,0.15,13.9,11.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2511,2019,2019 Annual,Avoided Care Due to Cost,Louisiana,38.0,14.8,0.99,16.1,13.5,"CDC, Behavioral Risk Factor Surveillance System",2018
2512,2019,2019 Annual,Avoided Care Due to Cost,Maine,20.0,11.8,-0.15,12.9,10.7,"CDC, Behavioral Risk Factor Surveillance System",2018
2513,2019,2019 Annual,Avoided Care Due to Cost,Maryland,18.0,11.2,-0.38,12.1,10.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2514,2019,2019 Annual,Avoided Care Due to Cost,Massachusetts,4.0,8.8,-1.3,9.7,7.8,"CDC, Behavioral Risk Factor Surveillance System",2018
2515,2019,2019 Annual,Avoided Care Due to Cost,Michigan,20.0,11.8,-0.15,12.6,11.0,"CDC, Behavioral Risk Factor Surveillance System",2018
2516,2019,2019 Annual,Avoided Care Due to Cost,Minnesota,9.0,10.0,-0.84,10.6,9.4,"CDC, Behavioral Risk Factor Surveillance System",2018
2517,2019,2019 Annual,Avoided Care Due to Cost,Mississippi,49.0,17.6,2.0,18.9,16.2,"CDC, Behavioral Risk Factor Surveillance System",2018
