,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2548,2020,2020 Annual,Avoided Care Due to Cost,Alabama,49.0,18.1,2.0,19.4,16.8,AHR data,
2549,2020,2020 Annual,Avoided Care Due to Cost,Alaska,31.0,13.5,0.34,15.8,11.2,AHR data,
2550,2020,2020 Annual,Avoided Care Due to Cost,Arizona,34.0,13.9,0.49,15.3,12.5,AHR data,
2551,2020,2020 Annual,Avoided Care Due to Cost,Arkansas,43.0,15.7,1.18,17.3,14.1,AHR data,
2552,2020,2020 Annual,Avoided Care Due to Cost,California,19.0,11.9,-0.27,12.6,11.1,AHR data,
2553,2020,2020 Annual,Avoided Care Due to Cost,Colorado,21.0,12.1,-0.19,12.9,11.3,AHR data,
2554,2020,2020 Annual,Avoided Care Due to Cost,Connecticut,8.0,9.9,-1.02,10.8,9.0,AHR data,
2555,2020,2020 Annual,Avoided Care Due to Cost,Delaware,12.0,10.6,-0.76,12.0,9.2,AHR data,
2556,2020,2020 Annual,Avoided Care Due to Cost,Florida,45.0,16.0,1.29,17.3,14.8,AHR data,
2557,2020,2020 Annual,Avoided Care Due to Cost,Georgia,48.0,17.8,1.97,19.2,16.3,AHR data,
2558,2020,2020 Annual,Avoided Care Due to Cost,Hawaii,1.0,8.2,-1.67,9.1,7.3,AHR data,
2559,2020,2020 Annual,Avoided Care Due to Cost,Idaho,38.0,14.5,0.72,16.1,13.0,AHR data,
2560,2020,2020 Annual,Avoided Care Due to Cost,Illinois,29.0,13.3,0.27,14.4,12.2,AHR data,
2561,2020,2020 Annual,Avoided Care Due to Cost,Indiana,25.0,12.6,0.0,13.5,11.7,AHR data,
2562,2020,2020 Annual,Avoided Care Due to Cost,Iowa,2.0,8.5,-1.56,9.2,7.8,AHR data,
2563,2020,2020 Annual,Avoided Care Due to Cost,Kansas,27.0,13.1,0.19,14.0,12.3,AHR data,
2564,2020,2020 Annual,Avoided Care Due to Cost,Kentucky,21.0,12.1,-0.19,13.3,11.0,AHR data,
2565,2020,2020 Annual,Avoided Care Due to Cost,Louisiana,39.0,14.8,0.84,16.2,13.5,AHR data,
2566,2020,2020 Annual,Avoided Care Due to Cost,Maine,24.0,12.3,-0.11,13.4,11.2,AHR data,
2567,2020,2020 Annual,Avoided Care Due to Cost,Maryland,14.0,10.9,-0.65,11.7,10.1,AHR data,
2568,2020,2020 Annual,Avoided Care Due to Cost,Massachusetts,4.0,8.7,-1.48,9.5,7.8,AHR data,
2569,2020,2020 Annual,Avoided Care Due to Cost,Michigan,18.0,11.7,-0.34,12.6,10.8,AHR data,
2570,2020,2020 Annual,Avoided Care Due to Cost,Minnesota,9.0,10.0,-0.99,10.6,9.4,AHR data,
2571,2020,2020 Annual,Avoided Care Due to Cost,Mississippi,47.0,17.2,1.75,18.7,15.8,AHR data,
2572,2020,2020 Annual,Avoided Care Due to Cost,Missouri,36.0,14.3,0.65,15.5,13.1,AHR data,
2573,2020,2020 Annual,Avoided Care Due to Cost,Montana,11.0,10.3,-0.87,11.2,9.3,AHR data,
2574,2020,2020 Annual,Avoided Care Due to Cost,Nebraska,25.0,12.6,0.0,13.4,11.8,AHR data,
2575,2020,2020 Annual,Avoided Care Due to Cost,Nevada,42.0,15.1,0.95,17.1,13.2,AHR data,
2576,2020,2020 Annual,Avoided Care Due to Cost,New Hampshire,15.0,11.4,-0.46,12.7,10.1,AHR data,
2577,2020,2020 Annual,Avoided Care Due to Cost,New Jersey,27.0,13.1,0.19,15.0,11.1,AHR data,
2578,2020,2020 Annual,Avoided Care Due to Cost,New Mexico,34.0,13.9,0.49,15.2,12.5,AHR data,
2579,2020,2020 Annual,Avoided Care Due to Cost,New York,16.0,11.5,-0.42,12.3,10.7,AHR data,
2580,2020,2020 Annual,Avoided Care Due to Cost,North Carolina,44.0,15.9,1.25,17.3,14.6,AHR data,
2581,2020,2020 Annual,Avoided Care Due to Cost,North Dakota,5.0,9.2,-1.29,10.5,7.9,AHR data,
2582,2020,2020 Annual,Avoided Care Due to Cost,Ohio,21.0,12.1,-0.19,13.1,11.1,AHR data,
2583,2020,2020 Annual,Avoided Care Due to Cost,Oklahoma,46.0,16.2,1.37,17.4,15.0,AHR data,
2584,2020,2020 Annual,Avoided Care Due to Cost,Oregon,31.0,13.5,0.34,14.6,12.3,AHR data,
2585,2020,2020 Annual,Avoided Care Due to Cost,Pennsylvania,9.0,10.0,-0.99,10.9,9.1,AHR data,
2586,2020,2020 Annual,Avoided Care Due to Cost,Rhode Island,3.0,8.6,-1.52,9.7,7.6,AHR data,
2587,2020,2020 Annual,Avoided Care Due to Cost,South Carolina,40.0,14.9,0.87,16.1,13.7,AHR data,
2588,2020,2020 Annual,Avoided Care Due to Cost,South Dakota,7.0,9.8,-1.06,11.4,8.2,AHR data,
2589,2020,2020 Annual,Avoided Care Due to Cost,Tennessee,40.0,14.9,0.87,16.2,13.6,AHR data,
2590,2020,2020 Annual,Avoided Care Due to Cost,Texas,50.0,18.8,2.0,20.2,17.4,AHR data,
2591,2020,2020 Annual,Avoided Care Due to Cost,Utah,36.0,14.3,0.65,15.2,13.5,AHR data,
2592,2020,2020 Annual,Avoided Care Due to Cost,Vermont,6.0,9.3,-1.25,10.5,8.1,AHR data,
2593,2020,2020 Annual,Avoided Care Due to Cost,Virginia,20.0,12.0,-0.23,12.9,11.1,AHR data,
2594,2020,2020 Annual,Avoided Care Due to Cost,Washington,16.0,11.5,-0.42,12.2,10.7,AHR data,
2595,2020,2020 Annual,Avoided Care Due to Cost,West Virginia,30.0,13.4,0.3,14.7,12.1,AHR data,
2596,2020,2020 Annual,Avoided Care Due to Cost,Wisconsin,12.0,10.6,-0.76,11.9,9.3,AHR data,
2597,2020,2020 Annual,Avoided Care Due to Cost,Wyoming,31.0,13.5,0.34,15.0,11.9,AHR data,
2598,2020,2020 Annual,Avoided Care Due to Cost,District of Columbia,,10.4,,12.0,8.8,AHR data,
2599,2020,2020 Annual,Avoided Care Due to Cost,United States,,12.6,,,,AHR data,
