,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,13.8,3.0,13.6,3.0
1,Alaska,17.7,24.0,18.2,22.0
2,Arizona,17.2,21.0,16.5,13.0
3,Arkansas,15.8,10.0,14.9,6.0
4,California,17.6,23.0,18.3,24.0
5,Colorado,20.8,42.0,19.6,35.0
6,Connecticut,19.0,35.0,17.7,18.0
7,Delaware,18.1,25.0,18.9,30.0
8,Florida,18.2,26.0,18.0,19.0
9,Georgia,16.1,12.0,17.1,17.0
10,Hawaii,21.3,43.0,19.3,33.0
11,Idaho,16.5,14.0,18.7,27.0
12,Illinois,20.4,41.0,21.6,43.0
13,Indiana,17.5,22.0,16.5,13.0
14,Iowa,23.7,49.0,22.5,46.0
15,Kansas,17.1,20.0,18.7,27.0
16,Kentucky,15.9,11.0,16.8,16.0
17,Louisiana,18.8,34.0,20.8,40.0
18,Maine,19.4,38.0,19.9,37.0
19,Maryland,14.6,6.0,15.1,7.0
20,Massachusetts,22.4,46.0,21.3,42.0
21,Michigan,19.5,39.0,19.1,32.0
22,Minnesota,21.8,44.0,22.0,45.0
23,Mississippi,13.8,3.0,14.6,5.0
24,Missouri,19.2,37.0,18.1,21.0
25,Montana,20.1,40.0,22.7,48.0
26,Nebraska,22.3,45.0,21.9,44.0
27,Nevada,17.0,18.0,18.4,25.0
28,New Hampshire,18.3,27.0,18.6,26.0
29,New Jersey,15.2,7.0,15.2,8.0
30,New Mexico,15.7,8.0,16.3,12.0
31,New York,18.4,28.0,18.2,22.0
32,North Carolina,16.4,13.0,15.4,9.0
33,North Dakota,22.8,47.0,23.3,49.0
34,Ohio,17.0,18.0,18.7,27.0
35,Oklahoma,14.0,5.0,13.7,4.0
36,Oregon,18.4,28.0,19.6,35.0
37,Pennsylvania,18.6,31.0,18.0,19.0
38,Rhode Island,18.6,31.0,20.1,38.0
39,South Carolina,16.7,16.0,20.1,38.0
40,South Dakota,23.2,48.0,22.6,47.0
41,Tennessee,15.7,8.0,15.8,11.0
42,Texas,18.7,33.0,19.3,33.0
43,Utah,11.3,1.0,12.0,1.0
44,Vermont,18.5,30.0,21.0,41.0
45,Virginia,16.9,17.0,16.6,15.0
46,Washington,16.5,14.0,15.7,10.0
47,West Virginia,12.6,2.0,13.2,2.0
48,Wisconsin,25.0,50.0,23.6,50.0
49,Wyoming,19.0,35.0,19.0,31.0
50,District of Columbia,26.3,,27.2,
51,United States,18.2,,18.6,
