,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
20795,2019,2019 Annual,Excessive Drinking,Alabama,3.0,13.8,-1.53,15.1,12.5,"CDC, Behavioral Risk Factor Surveillance System",2018
20796,2019,2019 Annual,Excessive Drinking,Alaska,24.0,17.7,-0.17,20.0,15.5,"CDC, Behavioral Risk Factor Surveillance System",2018
20797,2019,2019 Annual,Excessive Drinking,Arizona,21.0,17.2,-0.35,18.7,15.8,"CDC, Behavioral Risk Factor Surveillance System",2018
20798,2019,2019 Annual,Excessive Drinking,Arkansas,10.0,15.8,-0.83,17.6,14.1,"CDC, Behavioral Risk Factor Surveillance System",2018
20799,2019,2019 Annual,Excessive Drinking,California,23.0,17.6,-0.21,18.5,16.7,"CDC, Behavioral Risk Factor Surveillance System",2018
20800,2019,2019 Annual,Excessive Drinking,Colorado,42.0,20.8,0.9,22.0,19.7,"CDC, Behavioral Risk Factor Surveillance System",2018
20801,2019,2019 Annual,Excessive Drinking,Connecticut,35.0,19.0,0.28,20.2,17.8,"CDC, Behavioral Risk Factor Surveillance System",2018
20802,2019,2019 Annual,Excessive Drinking,Delaware,25.0,18.1,-0.03,19.7,16.6,"CDC, Behavioral Risk Factor Surveillance System",2018
20803,2019,2019 Annual,Excessive Drinking,Florida,26.0,18.2,0.0,19.5,16.9,"CDC, Behavioral Risk Factor Surveillance System",2018
20804,2019,2019 Annual,Excessive Drinking,Georgia,12.0,16.1,-0.73,17.1,15.1,"CDC, Behavioral Risk Factor Surveillance System",2018
20805,2019,2019 Annual,Excessive Drinking,Hawaii,43.0,21.3,1.08,22.6,20.0,"CDC, Behavioral Risk Factor Surveillance System",2018
20806,2019,2019 Annual,Excessive Drinking,Idaho,14.0,16.5,-0.59,18.2,14.8,"CDC, Behavioral Risk Factor Surveillance System",2018
20807,2019,2019 Annual,Excessive Drinking,Illinois,41.0,20.4,0.77,21.8,19.0,"CDC, Behavioral Risk Factor Surveillance System",2018
20808,2019,2019 Annual,Excessive Drinking,Indiana,22.0,17.5,-0.24,18.8,16.3,"CDC, Behavioral Risk Factor Surveillance System",2018
20809,2019,2019 Annual,Excessive Drinking,Iowa,49.0,23.7,1.91,24.7,22.6,"CDC, Behavioral Risk Factor Surveillance System",2018
20810,2019,2019 Annual,Excessive Drinking,Kansas,20.0,17.1,-0.38,18.1,16.1,"CDC, Behavioral Risk Factor Surveillance System",2018
20811,2019,2019 Annual,Excessive Drinking,Kentucky,11.0,15.9,-0.8,17.3,14.5,"CDC, Behavioral Risk Factor Surveillance System",2018
20812,2019,2019 Annual,Excessive Drinking,Louisiana,34.0,18.8,0.21,20.3,17.3,"CDC, Behavioral Risk Factor Surveillance System",2018
20813,2019,2019 Annual,Excessive Drinking,Maine,38.0,19.4,0.42,20.8,18.0,"CDC, Behavioral Risk Factor Surveillance System",2018
20814,2019,2019 Annual,Excessive Drinking,Maryland,6.0,14.6,-1.25,15.5,13.7,"CDC, Behavioral Risk Factor Surveillance System",2018
20815,2019,2019 Annual,Excessive Drinking,Massachusetts,46.0,22.4,1.46,23.9,21.0,"CDC, Behavioral Risk Factor Surveillance System",2018
20816,2019,2019 Annual,Excessive Drinking,Michigan,39.0,19.5,0.45,20.5,18.4,"CDC, Behavioral Risk Factor Surveillance System",2018
20817,2019,2019 Annual,Excessive Drinking,Minnesota,44.0,21.8,1.25,22.5,21.0,"CDC, Behavioral Risk Factor Surveillance System",2018
20818,2019,2019 Annual,Excessive Drinking,Mississippi,3.0,13.8,-1.53,15.2,12.5,"CDC, Behavioral Risk Factor Surveillance System",2018
20819,2019,2019 Annual,Excessive Drinking,Missouri,37.0,19.2,0.35,20.7,17.7,"CDC, Behavioral Risk Factor Surveillance System",2018
20820,2019,2019 Annual,Excessive Drinking,Montana,40.0,20.1,0.66,21.7,18.6,"CDC, Behavioral Risk Factor Surveillance System",2018
20821,2019,2019 Annual,Excessive Drinking,Nebraska,45.0,22.3,1.43,23.4,21.2,"CDC, Behavioral Risk Factor Surveillance System",2018
