,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
18720,2020,2020 Annual,Excessive Drinking,Alabama,3.0,13.6,-1.8,14.7,12.5,AHR data,
18721,2020,2020 Annual,Excessive Drinking,Alaska,22.0,18.2,-0.14,20.5,15.9,AHR data,
18722,2020,2020 Annual,Excessive Drinking,Arizona,13.0,16.5,-0.76,17.9,15.0,AHR data,
18723,2020,2020 Annual,Excessive Drinking,Arkansas,6.0,14.9,-1.33,16.5,13.3,AHR data,
18724,2020,2020 Annual,Excessive Drinking,California,24.0,18.3,-0.11,19.3,17.3,AHR data,
18725,2020,2020 Annual,Excessive Drinking,Colorado,35.0,19.6,0.36,20.7,18.6,AHR data,
18726,2020,2020 Annual,Excessive Drinking,Connecticut,18.0,17.7,-0.32,19.0,16.5,AHR data,
18727,2020,2020 Annual,Excessive Drinking,Delaware,30.0,18.9,0.11,20.8,16.9,AHR data,
18728,2020,2020 Annual,Excessive Drinking,Florida,19.0,18.0,-0.22,19.3,16.8,AHR data,
18729,2020,2020 Annual,Excessive Drinking,Georgia,17.0,17.1,-0.54,18.6,15.6,AHR data,
18730,2020,2020 Annual,Excessive Drinking,Hawaii,33.0,19.3,0.25,20.6,18.1,AHR data,
18731,2020,2020 Annual,Excessive Drinking,Idaho,27.0,18.7,0.04,20.6,16.9,AHR data,
18732,2020,2020 Annual,Excessive Drinking,Illinois,43.0,21.6,1.08,23.0,20.3,AHR data,
18733,2020,2020 Annual,Excessive Drinking,Indiana,13.0,16.5,-0.76,17.6,15.5,AHR data,
18734,2020,2020 Annual,Excessive Drinking,Iowa,46.0,22.5,1.4,23.6,21.5,AHR data,
18735,2020,2020 Annual,Excessive Drinking,Kansas,27.0,18.7,0.04,19.7,17.7,AHR data,
18736,2020,2020 Annual,Excessive Drinking,Kentucky,16.0,16.8,-0.65,18.3,15.4,AHR data,
18737,2020,2020 Annual,Excessive Drinking,Louisiana,40.0,20.8,0.79,22.4,19.2,AHR data,
18738,2020,2020 Annual,Excessive Drinking,Maine,37.0,19.9,0.47,21.3,18.5,AHR data,
18739,2020,2020 Annual,Excessive Drinking,Maryland,7.0,15.1,-1.26,15.9,14.2,AHR data,
18740,2020,2020 Annual,Excessive Drinking,Massachusetts,42.0,21.3,0.97,22.5,20.1,AHR data,
18741,2020,2020 Annual,Excessive Drinking,Michigan,32.0,19.1,0.18,20.1,18.0,AHR data,
18742,2020,2020 Annual,Excessive Drinking,Minnesota,45.0,22.0,1.22,22.8,21.2,AHR data,
18743,2020,2020 Annual,Excessive Drinking,Mississippi,5.0,14.6,-1.44,16.1,13.1,AHR data,
18744,2020,2020 Annual,Excessive Drinking,Missouri,21.0,18.1,-0.18,19.5,16.8,AHR data,
