,Unnamed: 0,State,Value_2019,Rank_2019,Value_2020,Rank_2020
0,0,Alabama,16.1,48.0,17.6,45.0
1,1,Alaska,24.2,3.0,25.6,9.0
2,2,Arizona,22.1,13.0,25.5,10.0
3,3,Arkansas,16.5,47.0,19.3,44.0
4,4,California,23.9,4.0,22.6,27.0
5,5,Colorado,26.0,1.0,27.4,3.0
6,6,Connecticut,22.8,10.0,26.1,6.0
7,7,Delaware,19.0,32.0,23.8,22.0
8,8,Florida,20.5,24.0,27.0,4.0
9,9,Georgia,20.3,25.0,24.1,18.0
10,10,Hawaii,24.6,2.0,24.8,14.0
11,11,Idaho,23.3,6.0,21.7,33.0
12,12,Illinois,21.6,16.0,23.4,23.0
13,13,Indiana,17.1,41.0,21.1,35.0
14,14,Iowa,19.2,29.0,20.0,41.0
15,15,Kansas,19.0,32.0,20.8,38.0
16,16,Kentucky,16.8,45.0,15.3,50.0
17,17,Louisiana,17.8,40.0,19.7,43.0
18,18,Maine,20.1,26.0,20.2,39.0
19,19,Maryland,21.6,16.0,24.0,21.0
20,20,Massachusetts,21.6,16.0,22.2,28.0
21,21,Michigan,19.1,30.0,23.3,24.0
22,22,Minnesota,20.8,23.0,25.5,10.0
23,23,Mississippi,16.6,46.0,15.7,48.0
24,24,Missouri,18.9,34.0,17.1,46.0
25,25,Montana,21.1,21.0,28.3,2.0
26,26,Nebraska,19.1,30.0,20.9,36.0
27,27,Nevada,19.5,28.0,20.0,41.0
28,28,New Hampshire,21.4,19.0,26.4,5.0
29,29,New Jersey,21.9,14.0,21.9,29.0
30,30,New Mexico,23.2,7.0,25.7,8.0
31,31,New York,19.8,27.0,24.1,18.0
32,32,North Carolina,18.8,36.0,21.6,34.0
33,33,North Dakota,17.1,41.0,20.1,40.0
34,34,Ohio,18.3,39.0,20.9,36.0
35,35,Oklahoma,15.9,49.0,15.6,49.0
36,36,Oregon,22.3,12.0,24.9,12.0
37,37,Pennsylvania,20.9,22.0,21.8,30.0
38,38,Rhode Island,18.9,34.0,24.1,18.0
39,39,South Carolina,18.8,36.0,23.0,25.0
40,40,South Dakota,18.6,38.0,21.8,30.0
41,41,Tennessee,16.9,44.0,21.8,30.0
42,42,Texas,17.0,43.0,24.3,17.0
43,43,Utah,23.0,8.0,24.9,12.0
44,44,Vermont,22.6,11.0,28.5,1.0
45,45,Virginia,21.8,15.0,22.7,26.0
46,46,Washington,23.5,5.0,25.9,7.0
47,47,West Virginia,15.1,50.0,17.1,46.0
48,48,Wisconsin,21.2,20.0,24.7,15.0
49,49,Wyoming,23.0,8.0,24.5,16.0
50,50,District of Columbia,21.1,,27.2,
51,51,United States,20.3,,23.0,
