,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
19864,2020,2020 Annual,Exercise,Alabama,45.0,17.6,-1.66,18.9,16.3,AHR data,
19865,2020,2020 Annual,Exercise,Alaska,9.0,25.6,0.8,28.1,23.1,AHR data,
19866,2020,2020 Annual,Exercise,Arizona,10.0,25.5,0.77,27.2,23.8,AHR data,
19867,2020,2020 Annual,Exercise,Arkansas,44.0,19.3,-1.14,20.9,17.6,AHR data,
19868,2020,2020 Annual,Exercise,California,27.0,22.6,-0.12,23.6,21.5,AHR data,
19869,2020,2020 Annual,Exercise,Colorado,3.0,27.4,1.36,28.5,26.2,AHR data,
19870,2020,2020 Annual,Exercise,Connecticut,6.0,26.1,0.95,27.5,24.8,AHR data,
19871,2020,2020 Annual,Exercise,Delaware,22.0,23.8,0.25,25.8,21.7,AHR data,
19872,2020,2020 Annual,Exercise,Florida,4.0,27.0,1.23,28.5,25.4,AHR data,
19873,2020,2020 Annual,Exercise,Georgia,18.0,24.1,0.34,25.8,22.3,AHR data,
19874,2020,2020 Annual,Exercise,Hawaii,14.0,24.8,0.55,26.1,23.4,AHR data,
19875,2020,2020 Annual,Exercise,Idaho,33.0,21.7,-0.4,23.7,19.8,AHR data,
19876,2020,2020 Annual,Exercise,Illinois,23.0,23.4,0.12,24.8,22.1,AHR data,
19877,2020,2020 Annual,Exercise,Indiana,35.0,21.1,-0.59,22.3,19.9,AHR data,
19878,2020,2020 Annual,Exercise,Iowa,41.0,20.0,-0.92,21.0,19.1,AHR data,
19879,2020,2020 Annual,Exercise,Kansas,38.0,20.8,-0.68,21.8,19.8,AHR data,
19880,2020,2020 Annual,Exercise,Kentucky,50.0,15.3,-2.0,16.9,13.7,AHR data,
19881,2020,2020 Annual,Exercise,Louisiana,43.0,19.7,-1.02,21.3,18.1,AHR data,
19882,2020,2020 Annual,Exercise,Maine,39.0,20.2,-0.86,21.5,18.8,AHR data,
19883,2020,2020 Annual,Exercise,Maryland,21.0,24.0,0.31,25.0,22.9,AHR data,
19884,2020,2020 Annual,Exercise,Massachusetts,28.0,22.2,-0.25,23.4,20.9,AHR data,
19885,2020,2020 Annual,Exercise,Michigan,24.0,23.3,0.09,24.5,22.2,AHR data,
19886,2020,2020 Annual,Exercise,Minnesota,10.0,25.5,0.77,26.3,24.6,AHR data,
19887,2020,2020 Annual,Exercise,Mississippi,48.0,15.7,-2.0,17.2,14.2,AHR data,
19888,2020,2020 Annual,Exercise,Missouri,46.0,17.1,-1.82,18.4,15.8,AHR data,
19889,2020,2020 Annual,Exercise,Montana,2.0,28.3,1.63,29.8,26.9,AHR data,
19890,2020,2020 Annual,Exercise,Nebraska,36.0,20.9,-0.65,21.9,19.9,AHR data,
19891,2020,2020 Annual,Exercise,Nevada,41.0,20.0,-0.92,22.1,18.0,AHR data,
19892,2020,2020 Annual,Exercise,New Hampshire,5.0,26.4,1.05,28.2,24.6,AHR data,
19893,2020,2020 Annual,Exercise,New Jersey,29.0,21.9,-0.34,23.3,20.4,AHR data,
19894,2020,2020 Annual,Exercise,New Mexico,8.0,25.7,0.83,27.3,24.0,AHR data,
19895,2020,2020 Annual,Exercise,New York,18.0,24.1,0.34,25.2,23.0,AHR data,
19896,2020,2020 Annual,Exercise,North Carolina,34.0,21.6,-0.43,23.1,20.1,AHR data,
19897,2020,2020 Annual,Exercise,North Dakota,40.0,20.1,-0.89,21.8,18.4,AHR data,
19898,2020,2020 Annual,Exercise,Ohio,36.0,20.9,-0.65,22.1,19.7,AHR data,
19899,2020,2020 Annual,Exercise,Oklahoma,49.0,15.6,-2.0,16.9,14.3,AHR data,
19900,2020,2020 Annual,Exercise,Oregon,12.0,24.9,0.59,26.3,23.4,AHR data,
19901,2020,2020 Annual,Exercise,Pennsylvania,30.0,21.8,-0.37,23.2,20.4,AHR data,
19902,2020,2020 Annual,Exercise,Rhode Island,18.0,24.1,0.34,25.8,22.4,AHR data,
19903,2020,2020 Annual,Exercise,South Carolina,25.0,23.0,0.0,24.4,21.6,AHR data,
19904,2020,2020 Annual,Exercise,South Dakota,30.0,21.8,-0.37,24.0,19.6,AHR data,
19905,2020,2020 Annual,Exercise,Tennessee,30.0,21.8,-0.37,23.4,20.2,AHR data,
19906,2020,2020 Annual,Exercise,Texas,17.0,24.3,0.4,26.0,22.7,AHR data,
19907,2020,2020 Annual,Exercise,Utah,12.0,24.9,0.59,25.9,23.9,AHR data,
19908,2020,2020 Annual,Exercise,Vermont,1.0,28.5,1.69,30.4,26.7,AHR data,
19909,2020,2020 Annual,Exercise,Virginia,26.0,22.7,-0.09,23.9,21.4,AHR data,
19910,2020,2020 Annual,Exercise,Washington,7.0,25.9,0.89,27.0,24.9,AHR data,
19911,2020,2020 Annual,Exercise,West Virginia,46.0,17.1,-1.82,18.6,15.7,AHR data,
19912,2020,2020 Annual,Exercise,Wisconsin,15.0,24.7,0.52,26.4,23.0,AHR data,
19913,2020,2020 Annual,Exercise,Wyoming,16.0,24.5,0.46,26.4,22.6,AHR data,
19914,2020,2020 Annual,Exercise,District of Columbia,,27.2,,29.6,24.8,AHR data,
19915,2020,2020 Annual,Exercise,United States,,23.0,,,,AHR data,
