,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
38844,2020,2020 Annual,Nutrition and Physical Activity,Alaska,10.0,0.663,0.663,,,AHR data,
38845,2020,2020 Annual,Nutrition and Physical Activity,Alabama,46.0,-1.367,-1.367,,,AHR data,
38846,2020,2020 Annual,Nutrition and Physical Activity,Arkansas,42.0,-0.763,-0.763,,,AHR data,
38847,2020,2020 Annual,Nutrition and Physical Activity,Arizona,8.0,0.86,0.86,,,AHR data,
38848,2020,2020 Annual,Nutrition and Physical Activity,California,15.0,0.413,0.413,,,AHR data,
38849,2020,2020 Annual,Nutrition and Physical Activity,Colorado,2.0,1.26,1.26,,,AHR data,
38850,2020,2020 Annual,Nutrition and Physical Activity,Connecticut,3.0,1.183,1.183,,,AHR data,
38851,2020,2020 Annual,Nutrition and Physical Activity,Delaware,21.0,0.143,0.143,,,AHR data,
38852,2020,2020 Annual,Nutrition and Physical Activity,Florida,19.0,0.23,0.23,,,AHR data,
38853,2020,2020 Annual,Nutrition and Physical Activity,Georgia,26.0,-0.083,-0.083,,,AHR data,
38854,2020,2020 Annual,Nutrition and Physical Activity,Hawaii,14.0,0.553,0.553,,,AHR data,
38855,2020,2020 Annual,Nutrition and Physical Activity,Iowa,38.0,-0.487,-0.487,,,AHR data,
38856,2020,2020 Annual,Nutrition and Physical Activity,Idaho,22.0,0.133,0.133,,,AHR data,
38857,2020,2020 Annual,Nutrition and Physical Activity,Illinois,28.0,-0.107,-0.107,,,AHR data,
38858,2020,2020 Annual,Nutrition and Physical Activity,Indiana,34.0,-0.347,-0.347,,,AHR data,
38859,2020,2020 Annual,Nutrition and Physical Activity,Kansas,30.0,-0.17,-0.17,,,AHR data,
38860,2020,2020 Annual,Nutrition and Physical Activity,Kentucky,49.0,-1.813,-1.813,,,AHR data,
38861,2020,2020 Annual,Nutrition and Physical Activity,Louisiana,44.0,-0.99,-0.99,,,AHR data,
38862,2020,2020 Annual,Nutrition and Physical Activity,Massachusetts,25.0,0.07,0.07,,,AHR data,
38863,2020,2020 Annual,Nutrition and Physical Activity,Maryland,17.0,0.343,0.343,,,AHR data,
38864,2020,2020 Annual,Nutrition and Physical Activity,Maine,36.0,-0.353,-0.353,,,AHR data,
38865,2020,2020 Annual,Nutrition and Physical Activity,Michigan,31.0,-0.177,-0.177,,,AHR data,
38866,2020,2020 Annual,Nutrition and Physical Activity,Minnesota,7.0,0.873,0.873,,,AHR data,
38867,2020,2020 Annual,Nutrition and Physical Activity,Missouri,45.0,-1.307,-1.307,,,AHR data,
38868,2020,2020 Annual,Nutrition and Physical Activity,Mississippi,48.0,-1.66,-1.66,,,AHR data,
38869,2020,2020 Annual,Nutrition and Physical Activity,Montana,5.0,0.983,0.983,,,AHR data,
38870,2020,2020 Annual,Nutrition and Physical Activity,North Carolina,27.0,-0.1,-0.1,,,AHR data,
38871,2020,2020 Annual,Nutrition and Physical Activity,North Dakota,43.0,-0.843,-0.843,,,AHR data,
38872,2020,2020 Annual,Nutrition and Physical Activity,Nebraska,37.0,-0.39,-0.39,,,AHR data,
38873,2020,2020 Annual,Nutrition and Physical Activity,New Hampshire,6.0,0.937,0.937,,,AHR data,
38874,2020,2020 Annual,Nutrition and Physical Activity,New Jersey,29.0,-0.11,-0.11,,,AHR data,
38875,2020,2020 Annual,Nutrition and Physical Activity,New Mexico,23.0,0.09,0.09,,,AHR data,
38876,2020,2020 Annual,Nutrition and Physical Activity,Nevada,41.0,-0.757,-0.757,,,AHR data,
38877,2020,2020 Annual,Nutrition and Physical Activity,New York,11.0,0.623,0.623,,,AHR data,
38878,2020,2020 Annual,Nutrition and Physical Activity,Ohio,40.0,-0.697,-0.697,,,AHR data,
38879,2020,2020 Annual,Nutrition and Physical Activity,Oklahoma,50.0,-1.833,-1.833,,,AHR data,
38880,2020,2020 Annual,Nutrition and Physical Activity,Oregon,12.0,0.587,0.587,,,AHR data,
38881,2020,2020 Annual,Nutrition and Physical Activity,Pennsylvania,32.0,-0.25,-0.25,,,AHR data,
38882,2020,2020 Annual,Nutrition and Physical Activity,Rhode Island,13.0,0.567,0.567,,,AHR data,
38883,2020,2020 Annual,Nutrition and Physical Activity,South Carolina,34.0,-0.347,-0.347,,,AHR data,
38884,2020,2020 Annual,Nutrition and Physical Activity,South Dakota,39.0,-0.663,-0.663,,,AHR data,
38885,2020,2020 Annual,Nutrition and Physical Activity,Tennessee,33.0,-0.307,-0.307,,,AHR data,
38886,2020,2020 Annual,Nutrition and Physical Activity,Texas,16.0,0.377,0.377,,,AHR data,
38887,2020,2020 Annual,Nutrition and Physical Activity,Utah,9.0,0.717,0.717,,,AHR data,
38888,2020,2020 Annual,Nutrition and Physical Activity,Virginia,20.0,0.21,0.21,,,AHR data,
38889,2020,2020 Annual,Nutrition and Physical Activity,Vermont,1.0,1.743,1.743,,,AHR data,
38890,2020,2020 Annual,Nutrition and Physical Activity,Washington,4.0,1.007,1.007,,,AHR data,
38891,2020,2020 Annual,Nutrition and Physical Activity,Wisconsin,18.0,0.333,0.333,,,AHR data,
38892,2020,2020 Annual,Nutrition and Physical Activity,West Virginia,47.0,-1.527,-1.527,,,AHR data,
38893,2020,2020 Annual,Nutrition and Physical Activity,Wyoming,24.0,0.087,0.087,,,AHR data,
38894,2020,2020 Annual,Nutrition and Physical Activity,United States,,,,,,AHR data,
38895,2020,2020 Annual,Nutrition and Physical Activity,District of Columbia,,,,,,AHR data,
