,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,19.2,40.0,20.2,44.0
1,Alaska,19.1,38.0,17.4,33.0
2,Arizona,14.0,11.0,14.9,19.0
3,Arkansas,22.7,48.0,20.2,44.0
4,California,11.2,2.0,10.0,2.0
5,Colorado,14.5,13.0,13.5,11.0
6,Connecticut,12.2,4.0,12.1,4.0
7,Delaware,16.5,27.0,15.9,24.0
8,Florida,14.5,13.0,14.8,18.0
9,Georgia,16.1,25.0,16.3,28.0
10,Hawaii,13.4,8.0,12.3,5.0
11,Idaho,14.7,16.0,15.3,21.0
12,Illinois,15.5,20.0,14.5,13.0
13,Indiana,21.1,47.0,19.2,41.0
14,Iowa,16.6,28.0,16.4,29.0
15,Kansas,17.2,30.0,16.2,27.0
16,Kentucky,23.4,49.0,23.6,49.0
17,Louisiana,20.5,43.0,21.9,48.0
18,Maine,17.8,32.0,17.6,35.0
19,Maryland,12.5,5.0,12.7,7.0
20,Massachusetts,13.4,8.0,12.0,3.0
21,Michigan,18.9,36.0,18.7,39.0
22,Minnesota,15.1,18.0,14.6,15.0
23,Mississippi,20.5,43.0,20.4,46.0
24,Missouri,19.4,41.0,19.6,42.0
25,Montana,18.0,33.0,16.6,30.0
26,Nebraska,16.0,24.0,14.7,16.0
27,Nevada,15.7,23.0,15.7,23.0
28,New Hampshire,15.6,21.0,15.9,24.0
29,New Jersey,13.1,7.0,13.1,9.0
30,New Mexico,15.2,19.0,16.0,26.0
31,New York,12.8,6.0,12.7,7.0
32,North Carolina,17.4,31.0,18.5,38.0
33,North Dakota,19.1,38.0,17.0,31.0
34,Ohio,20.5,43.0,20.8,47.0
35,Oklahoma,19.7,42.0,18.9,40.0
36,Oregon,15.6,21.0,14.5,13.0
37,Pennsylvania,17.0,29.0,17.3,32.0
38,Rhode Island,14.6,15.0,13.3,10.0
39,South Carolina,18.0,33.0,17.5,34.0
40,South Dakota,19.0,37.0,18.3,36.0
41,Tennessee,20.7,46.0,19.9,43.0
42,Texas,14.4,12.0,14.7,16.0
43,Utah,9.0,1.0,7.9,1.0
44,Vermont,13.7,10.0,15.1,20.0
45,Virginia,14.9,17.0,14.0,12.0
46,Washington,12.0,3.0,12.6,6.0
47,West Virginia,25.2,50.0,23.8,50.0
48,Wisconsin,16.4,26.0,15.4,22.0
49,Wyoming,18.8,35.0,18.4,37.0
50,District of Columbia,13.8,,12.7,
51,United States,16.1,,15.9,
