,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
43316,2020,2020 Annual,Smoking,Alabama,44.0,20.2,1.31,21.6,18.9,AHR data,
43317,2020,2020 Annual,Smoking,Alaska,33.0,17.4,0.46,19.7,15.1,AHR data,
43318,2020,2020 Annual,Smoking,Arizona,19.0,14.9,-0.3,16.3,13.5,AHR data,
43319,2020,2020 Annual,Smoking,Arkansas,44.0,20.2,1.31,21.9,18.5,AHR data,
43320,2020,2020 Annual,Smoking,California,2.0,10.0,-1.8,10.8,9.3,AHR data,
43321,2020,2020 Annual,Smoking,Colorado,11.0,13.5,-0.73,14.4,12.6,AHR data,
43322,2020,2020 Annual,Smoking,Connecticut,4.0,12.1,-1.16,13.1,11.1,AHR data,
43323,2020,2020 Annual,Smoking,Delaware,24.0,15.9,0.0,17.7,14.2,AHR data,
43324,2020,2020 Annual,Smoking,Florida,18.0,14.8,-0.33,15.9,13.7,AHR data,
43325,2020,2020 Annual,Smoking,Georgia,28.0,16.3,0.12,17.7,15.0,AHR data,
43326,2020,2020 Annual,Smoking,Hawaii,5.0,12.3,-1.1,13.2,11.3,AHR data,
43327,2020,2020 Annual,Smoking,Idaho,21.0,15.3,-0.18,16.9,13.7,AHR data,
43328,2020,2020 Annual,Smoking,Illinois,13.0,14.5,-0.43,15.7,13.3,AHR data,
43329,2020,2020 Annual,Smoking,Indiana,41.0,19.2,1.0,20.3,18.0,AHR data,
43330,2020,2020 Annual,Smoking,Iowa,29.0,16.4,0.15,17.3,15.5,AHR data,
43331,2020,2020 Annual,Smoking,Kansas,27.0,16.2,0.09,17.1,15.2,AHR data,
43332,2020,2020 Annual,Smoking,Kentucky,49.0,23.6,2.0,25.2,22.0,AHR data,
43333,2020,2020 Annual,Smoking,Louisiana,48.0,21.9,1.83,23.5,20.3,AHR data,
43334,2020,2020 Annual,Smoking,Maine,35.0,17.6,0.52,18.8,16.3,AHR data,
43335,2020,2020 Annual,Smoking,Maryland,7.0,12.7,-0.97,13.5,11.9,AHR data,
43336,2020,2020 Annual,Smoking,Massachusetts,3.0,12.0,-1.19,13.0,11.1,AHR data,
43337,2020,2020 Annual,Smoking,Michigan,39.0,18.7,0.85,19.8,17.6,AHR data,
43338,2020,2020 Annual,Smoking,Minnesota,15.0,14.6,-0.4,15.3,13.9,AHR data,
43339,2020,2020 Annual,Smoking,Mississippi,46.0,20.4,1.37,22.0,18.8,AHR data,
43340,2020,2020 Annual,Smoking,Missouri,42.0,19.6,1.13,21.0,18.3,AHR data,
43341,2020,2020 Annual,Smoking,Montana,30.0,16.6,0.21,17.8,15.4,AHR data,
43342,2020,2020 Annual,Smoking,Nebraska,16.0,14.7,-0.37,15.5,13.8,AHR data,
43343,2020,2020 Annual,Smoking,Nevada,23.0,15.7,-0.06,17.5,13.8,AHR data,
43344,2020,2020 Annual,Smoking,New Hampshire,24.0,15.9,0.0,17.3,14.4,AHR data,
43345,2020,2020 Annual,Smoking,New Jersey,9.0,13.1,-0.85,15.1,11.0,AHR data,
43346,2020,2020 Annual,Smoking,New Mexico,26.0,16.0,0.03,17.4,14.6,AHR data,
43347,2020,2020 Annual,Smoking,New York,7.0,12.7,-0.97,13.5,11.8,AHR data,
43348,2020,2020 Annual,Smoking,North Carolina,38.0,18.5,0.79,19.9,17.0,AHR data,
43349,2020,2020 Annual,Smoking,North Dakota,31.0,17.0,0.33,18.6,15.5,AHR data,
43350,2020,2020 Annual,Smoking,Ohio,47.0,20.8,1.49,21.9,19.6,AHR data,
43351,2020,2020 Annual,Smoking,Oklahoma,40.0,18.9,0.91,20.2,17.6,AHR data,
43352,2020,2020 Annual,Smoking,Oregon,13.0,14.5,-0.43,15.6,13.4,AHR data,
43353,2020,2020 Annual,Smoking,Pennsylvania,32.0,17.3,0.43,18.5,16.1,AHR data,
43354,2020,2020 Annual,Smoking,Rhode Island,10.0,13.3,-0.79,14.6,12.0,AHR data,
43355,2020,2020 Annual,Smoking,South Carolina,34.0,17.5,0.49,18.8,16.3,AHR data,
43356,2020,2020 Annual,Smoking,South Dakota,36.0,18.3,0.73,20.4,16.2,AHR data,
43357,2020,2020 Annual,Smoking,Tennessee,43.0,19.9,1.22,21.3,18.4,AHR data,
43358,2020,2020 Annual,Smoking,Texas,16.0,14.7,-0.37,16.0,13.4,AHR data,
43359,2020,2020 Annual,Smoking,Utah,1.0,7.9,-2.0,8.5,7.2,AHR data,
43360,2020,2020 Annual,Smoking,Vermont,20.0,15.1,-0.24,16.6,13.7,AHR data,
43361,2020,2020 Annual,Smoking,Virginia,12.0,14.0,-0.58,15.0,13.1,AHR data,
43362,2020,2020 Annual,Smoking,Washington,6.0,12.6,-1.0,13.4,11.9,AHR data,
43363,2020,2020 Annual,Smoking,West Virginia,50.0,23.8,2.0,25.3,22.2,AHR data,
43364,2020,2020 Annual,Smoking,Wisconsin,22.0,15.4,-0.15,16.8,13.9,AHR data,
43365,2020,2020 Annual,Smoking,Wyoming,37.0,18.4,0.76,20.2,16.7,AHR data,
43366,2020,2020 Annual,Smoking,District of Columbia,,12.7,,14.6,10.9,AHR data,
43367,2020,2020 Annual,Smoking,United States,,15.9,,,,AHR data,
