,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,71.9,37.0,66.6,49.0
1,Alabama,81.3,7.0,81.0,10.0
2,United States,75.0,,75.8,
3,Arkansas,78.6,15.0,75.7,30.0
4,Arizona,70.7,43.0,70.3,46.0
5,California,72.2,36.0,72.4,41.0
6,Colorado,80.0,9.0,75.7,30.0
7,Connecticut,85.2,4.0,83.2,5.0
8,District of Columbia,73.3,,75.3,
9,Delaware,77.4,19.0,82.0,8.0
10,Florida,70.8,42.0,78.6,18.0
11,Georgia,76.5,23.0,79.5,14.0
12,Hawaii,74.3,32.0,77.9,21.0
13,Iowa,81.9,5.0,79.3,17.0
14,Idaho,75.9,26.0,74.0,36.0
15,Illinois,79.1,12.0,79.4,16.0
16,Indiana,67.3,49.0,71.2,44.0
17,Kansas,75.7,28.0,75.2,33.0
18,Kentucky,79.3,11.0,71.9,43.0
19,Louisiana,74.7,31.0,73.9,37.0
20,Massachusetts,85.9,1.0,79.7,13.0
21,Maryland,76.6,22.0,77.4,23.0
22,Maine,77.3,20.0,86.6,1.0
23,Michigan,73.2,33.0,78.4,20.0
24,Minnesota,68.9,47.0,82.8,6.0
25,Missouri,70.4,44.0,69.1,47.0
26,Mississippi,70.2,45.0,80.0,11.0
27,Montana,64.0,50.0,69.1,47.0
28,North Carolina,80.8,8.0,82.4,7.0
29,North Dakota,85.6,2.0,76.9,26.0
30,Nebraska,85.5,3.0,84.7,2.0
31,New Hampshire,79.8,10.0,84.2,4.0
32,New Jersey,78.4,17.0,75.7,30.0
33,New Mexico,78.8,14.0,76.5,29.0
34,Nevada,71.3,38.0,75.2,33.0
35,New York,70.9,41.0,70.8,45.0
36,Ohio,73.2,33.0,72.7,40.0
37,Oklahoma,71.2,39.0,77.9,21.0
38,Oregon,71.1,40.0,65.0,50.0
39,Pennsylvania,81.5,6.0,84.3,3.0
40,Rhode Island,75.1,30.0,79.5,14.0
41,South Carolina,70.1,46.0,76.8,27.0
42,South Dakota,76.8,21.0,74.7,35.0
43,Tennessee,76.1,25.0,73.9,37.0
44,Texas,75.7,28.0,72.1,42.0
45,Utah,75.9,26.0,79.8,12.0
46,Virginia,76.4,24.0,78.6,18.0
47,Vermont,79.0,13.0,81.8,9.0
48,Washington,68.6,48.0,77.3,24.0
49,Wisconsin,78.0,18.0,76.8,27.0
50,West Virginia,78.6,15.0,77.0,25.0
51,Wyoming,72.6,35.0,73.9,37.0
