,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
7225,2019,2019 Annual,Childhood Immunizations,Alaska,37.0,71.9,-0.62,77.8,65.7,AHR data,
7226,2019,2019 Annual,Childhood Immunizations,Alabama,7.0,81.3,1.27,87.7,74.0,AHR data,
7227,2019,2019 Annual,Childhood Immunizations,United States,,75.0,,76.4,73.5,AHR data,
7228,2019,2019 Annual,Childhood Immunizations,Arkansas,15.0,78.6,0.72,85.1,71.2,AHR data,
7229,2019,2019 Annual,Childhood Immunizations,Arizona,43.0,70.7,-0.86,77.4,63.7,AHR data,
7230,2019,2019 Annual,Childhood Immunizations,California,36.0,72.2,-0.56,81.8,61.7,AHR data,
7231,2019,2019 Annual,Childhood Immunizations,Colorado,9.0,80.0,1.0,86.0,73.3,AHR data,
7232,2019,2019 Annual,Childhood Immunizations,Connecticut,4.0,85.2,2.0,91.3,77.6,AHR data,
7233,2019,2019 Annual,Childhood Immunizations,District of Columbia,,73.3,,79.3,67.0,AHR data,
7234,2019,2019 Annual,Childhood Immunizations,Delaware,19.0,77.4,0.48,85.2,68.5,AHR data,
7235,2019,2019 Annual,Childhood Immunizations,Florida,42.0,70.8,-0.84,77.5,63.8,AHR data,
7236,2019,2019 Annual,Childhood Immunizations,Georgia,23.0,76.5,0.3,82.7,69.7,AHR data,
7237,2019,2019 Annual,Childhood Immunizations,Hawaii,32.0,74.3,-0.14,79.9,68.3,AHR data,
7238,2019,2019 Annual,Childhood Immunizations,Iowa,5.0,81.9,1.39,87.9,75.0,AHR data,
7239,2019,2019 Annual,Childhood Immunizations,Idaho,26.0,75.9,0.18,82.4,68.9,AHR data,
7240,2019,2019 Annual,Childhood Immunizations,Illinois,12.0,79.1,0.82,83.9,73.8,AHR data,
7241,2019,2019 Annual,Childhood Immunizations,Indiana,49.0,67.3,-1.55,74.4,60.1,AHR data,
7242,2019,2019 Annual,Childhood Immunizations,Kansas,28.0,75.7,0.14,82.8,67.9,AHR data,
7243,2019,2019 Annual,Childhood Immunizations,Kentucky,11.0,79.3,0.86,85.2,72.7,AHR data,
7244,2019,2019 Annual,Childhood Immunizations,Louisiana,31.0,74.7,-0.06,81.0,67.8,AHR data,
7245,2019,2019 Annual,Childhood Immunizations,Massachusetts,1.0,85.9,2.0,90.4,80.6,AHR data,
7246,2019,2019 Annual,Childhood Immunizations,Maryland,22.0,76.6,0.32,82.4,70.2,AHR data,
7247,2019,2019 Annual,Childhood Immunizations,Maine,20.0,77.3,0.46,82.8,71.4,AHR data,
7248,2019,2019 Annual,Childhood Immunizations,Michigan,33.0,73.2,-0.36,78.8,67.2,AHR data,
7249,2019,2019 Annual,Childhood Immunizations,Minnesota,47.0,68.9,-1.23,77.2,60.2,AHR data,
7250,2019,2019 Annual,Childhood Immunizations,Missouri,44.0,70.4,-0.92,79.4,60.9,AHR data,
7251,2019,2019 Annual,Childhood Immunizations,Mississippi,45.0,70.2,-0.96,75.9,64.2,AHR data,
7252,2019,2019 Annual,Childhood Immunizations,Montana,50.0,64.0,-2.0,70.4,57.4,AHR data,
7253,2019,2019 Annual,Childhood Immunizations,North Carolina,8.0,80.8,1.16,85.9,75.0,AHR data,
7254,2019,2019 Annual,Childhood Immunizations,North Dakota,2.0,85.6,2.0,90.5,79.7,AHR data,
7255,2019,2019 Annual,Childhood Immunizations,Nebraska,3.0,85.5,2.0,91.2,78.4,AHR data,
7256,2019,2019 Annual,Childhood Immunizations,New Hampshire,10.0,79.8,0.96,85.6,73.3,AHR data,
7257,2019,2019 Annual,Childhood Immunizations,New Jersey,17.0,78.4,0.68,84.6,71.5,AHR data,
7258,2019,2019 Annual,Childhood Immunizations,New Mexico,14.0,78.8,0.76,84.9,72.1,AHR data,
7259,2019,2019 Annual,Childhood Immunizations,Nevada,38.0,71.3,-0.74,77.7,64.6,AHR data,
7260,2019,2019 Annual,Childhood Immunizations,New York,41.0,70.9,-0.82,76.3,65.3,AHR data,
7261,2019,2019 Annual,Childhood Immunizations,Ohio,33.0,73.2,-0.36,79.2,66.7,AHR data,
7262,2019,2019 Annual,Childhood Immunizations,Oklahoma,39.0,71.2,-0.76,76.7,65.4,AHR data,
7263,2019,2019 Annual,Childhood Immunizations,Oregon,40.0,71.1,-0.78,78.4,63.4,AHR data,
7264,2019,2019 Annual,Childhood Immunizations,Pennsylvania,6.0,81.5,1.31,87.1,75.1,AHR data,
7265,2019,2019 Annual,Childhood Immunizations,Rhode Island,30.0,75.1,0.02,80.8,68.9,AHR data,
7266,2019,2019 Annual,Childhood Immunizations,South Carolina,46.0,70.1,-0.98,76.5,63.5,AHR data,
7267,2019,2019 Annual,Childhood Immunizations,South Dakota,21.0,76.8,0.36,83.5,69.5,AHR data,
7268,2019,2019 Annual,Childhood Immunizations,Tennessee,25.0,76.1,0.22,82.7,69.0,AHR data,
7269,2019,2019 Annual,Childhood Immunizations,Texas,28.0,75.7,0.14,79.4,71.8,AHR data,
7270,2019,2019 Annual,Childhood Immunizations,Utah,26.0,75.9,0.18,82.4,68.9,AHR data,
