,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
6136,2020,2020 Annual,Childhood Immunizations,Alaska,49.0,66.6,-1.93,72.9,60.2,AHR data,
6137,2020,2020 Annual,Childhood Immunizations,Alabama,10.0,81.0,1.09,87.1,74.1,AHR data,
6138,2020,2020 Annual,Childhood Immunizations,United States,,75.8,,77.2,74.3,AHR data,
6139,2020,2020 Annual,Childhood Immunizations,Arkansas,30.0,75.7,-0.02,82.1,68.8,AHR data,
6140,2020,2020 Annual,Childhood Immunizations,Arizona,46.0,70.3,-1.15,76.6,63.8,AHR data,
6141,2020,2020 Annual,Childhood Immunizations,California,41.0,72.4,-0.71,81.0,63.1,AHR data,
6142,2020,2020 Annual,Childhood Immunizations,Colorado,30.0,75.7,-0.02,83.2,67.4,AHR data,
6143,2020,2020 Annual,Childhood Immunizations,Connecticut,5.0,83.2,1.55,90.1,74.7,AHR data,
6144,2020,2020 Annual,Childhood Immunizations,District of Columbia,,75.3,,81.5,68.5,AHR data,
6145,2020,2020 Annual,Childhood Immunizations,Delaware,8.0,82.0,1.3,87.7,75.6,AHR data,
6146,2020,2020 Annual,Childhood Immunizations,Florida,18.0,78.6,0.59,84.3,72.2,AHR data,
6147,2020,2020 Annual,Childhood Immunizations,Georgia,14.0,79.5,0.78,86.0,72.1,AHR data,
6148,2020,2020 Annual,Childhood Immunizations,Hawaii,21.0,77.9,0.44,84.5,70.5,AHR data,
6149,2020,2020 Annual,Childhood Immunizations,Iowa,17.0,79.3,0.73,85.8,72.1,AHR data,
6150,2020,2020 Annual,Childhood Immunizations,Idaho,36.0,74.0,-0.38,80.5,67.0,AHR data,
6151,2020,2020 Annual,Childhood Immunizations,Illinois,16.0,79.4,0.75,83.8,74.6,AHR data,
6152,2020,2020 Annual,Childhood Immunizations,Indiana,44.0,71.2,-0.96,76.8,65.3,AHR data,
6153,2020,2020 Annual,Childhood Immunizations,Kansas,33.0,75.2,-0.13,80.4,69.6,AHR data,
6154,2020,2020 Annual,Childhood Immunizations,Kentucky,43.0,71.9,-0.82,79.5,63.7,AHR data,
6155,2020,2020 Annual,Childhood Immunizations,Louisiana,37.0,73.9,-0.4,81.0,66.3,AHR data,
6156,2020,2020 Annual,Childhood Immunizations,Massachusetts,13.0,79.7,0.82,85.5,73.2,AHR data,
6157,2020,2020 Annual,Childhood Immunizations,Maryland,23.0,77.4,0.34,82.0,72.6,AHR data,
6158,2020,2020 Annual,Childhood Immunizations,Maine,1.0,86.6,2.0,94.1,76.1,AHR data,
6159,2020,2020 Annual,Childhood Immunizations,Michigan,20.0,78.4,0.55,83.7,72.6,AHR data,
6160,2020,2020 Annual,Childhood Immunizations,Minnesota,6.0,82.8,1.47,88.9,75.6,AHR data,
6161,2020,2020 Annual,Childhood Immunizations,Missouri,47.0,69.1,-1.4,75.3,62.6,AHR data,
6162,2020,2020 Annual,Childhood Immunizations,Mississippi,11.0,80.0,0.88,85.6,73.8,AHR data,
6163,2020,2020 Annual,Childhood Immunizations,Montana,47.0,69.1,-1.4,75.7,62.3,AHR data,
6164,2020,2020 Annual,Childhood Immunizations,North Carolina,7.0,82.4,1.38,87.0,77.2,AHR data,
6165,2020,2020 Annual,Childhood Immunizations,North Dakota,26.0,76.9,0.23,83.7,69.5,AHR data,
6166,2020,2020 Annual,Childhood Immunizations,Nebraska,2.0,84.7,1.87,89.8,78.6,AHR data,
6167,2020,2020 Annual,Childhood Immunizations,New Hampshire,4.0,84.2,1.76,91.3,75.1,AHR data,
6168,2020,2020 Annual,Childhood Immunizations,New Jersey,30.0,75.7,-0.02,82.9,67.7,AHR data,
6169,2020,2020 Annual,Childhood Immunizations,New Mexico,29.0,76.5,0.15,82.5,70.0,AHR data,
6170,2020,2020 Annual,Childhood Immunizations,Nevada,33.0,75.2,-0.13,81.7,68.0,AHR data,
6171,2020,2020 Annual,Childhood Immunizations,New York,45.0,70.8,-1.05,75.9,65.5,AHR data,
6172,2020,2020 Annual,Childhood Immunizations,Ohio,40.0,72.7,-0.65,79.3,65.6,AHR data,
6173,2020,2020 Annual,Childhood Immunizations,Oklahoma,21.0,77.9,0.44,82.8,72.7,AHR data,
6174,2020,2020 Annual,Childhood Immunizations,Oregon,50.0,65.0,-2.0,73.3,56.5,AHR data,
6175,2020,2020 Annual,Childhood Immunizations,Pennsylvania,3.0,84.3,1.78,89.0,78.7,AHR data,
6176,2020,2020 Annual,Childhood Immunizations,Rhode Island,14.0,79.5,0.78,85.2,73.1,AHR data,
6177,2020,2020 Annual,Childhood Immunizations,South Carolina,27.0,76.8,0.21,83.9,68.8,AHR data,
6178,2020,2020 Annual,Childhood Immunizations,South Dakota,35.0,74.7,-0.23,80.8,68.1,AHR data,
6179,2020,2020 Annual,Childhood Immunizations,Tennessee,37.0,73.9,-0.4,84.9,61.4,AHR data,
6180,2020,2020 Annual,Childhood Immunizations,Texas,42.0,72.1,-0.78,75.0,69.1,AHR data,
6181,2020,2020 Annual,Childhood Immunizations,Utah,12.0,79.8,0.84,84.9,74.2,AHR data,
6182,2020,2020 Annual,Childhood Immunizations,Virginia,18.0,78.6,0.59,84.1,72.6,AHR data,
6183,2020,2020 Annual,Childhood Immunizations,Vermont,9.0,81.8,1.26,86.4,76.6,AHR data,
6184,2020,2020 Annual,Childhood Immunizations,Washington,24.0,77.3,0.31,82.7,71.3,AHR data,
6185,2020,2020 Annual,Childhood Immunizations,Wisconsin,27.0,76.8,0.21,82.3,70.8,AHR data,
6186,2020,2020 Annual,Childhood Immunizations,West Virginia,25.0,77.0,0.25,82.7,70.9,AHR data,
6187,2020,2020 Annual,Childhood Immunizations,Wyoming,37.0,73.9,-0.4,79.3,68.2,AHR data,
