,Unnamed: 0,State,Value_2019,Rank_2019,Value_2020,Rank_2020
0,0,Alabama,10.3,48.0,10.7,48.0
1,1,Alaska,6.2,1.0,5.9,1.0
2,2,Arizona,7.5,15.0,7.6,16.0
3,3,Arkansas,9.3,42.0,9.4,42.0
4,4,California,6.9,8.0,7.0,9.0
5,5,Colorado,9.1,39.0,9.4,42.0
6,6,Connecticut,8.1,22.0,7.6,16.0
7,7,Delaware,9.0,38.0,8.9,37.0
8,8,Florida,8.8,34.0,8.7,33.0
9,9,Georgia,9.9,47.0,10.1,47.0
10,10,Hawaii,8.5,29.0,8.3,26.0
11,11,Idaho,7.0,11.0,7.3,13.0
12,12,Illinois,8.5,29.0,8.5,29.0
13,13,Indiana,8.3,25.0,8.1,23.0
14,14,Iowa,6.6,2.0,6.9,7.0
15,15,Kansas,7.4,14.0,7.4,14.0
16,16,Kentucky,8.8,34.0,8.9,37.0
17,17,Louisiana,10.7,49.0,10.8,49.0
18,18,Maine,7.1,12.0,7.2,11.0
19,19,Maryland,8.9,37.0,8.8,36.0
20,20,Massachusetts,7.5,15.0,7.6,16.0
21,21,Michigan,8.8,34.0,8.5,29.0
22,22,Minnesota,6.7,4.0,6.9,7.0
23,23,Mississippi,11.6,50.0,12.1,50.0
24,24,Missouri,8.7,31.0,8.7,33.0
25,25,Montana,8.0,21.0,7.4,14.0
26,26,Nebraska,7.5,15.0,7.6,16.0
27,27,Nevada,9.1,39.0,8.7,33.0
28,28,New Hampshire,6.9,8.0,6.8,6.0
29,29,New Jersey,7.9,20.0,7.9,22.0
30,30,New Mexico,9.5,44.0,9.0,39.0
31,31,New York,8.1,22.0,8.1,23.0
32,32,North Carolina,9.4,43.0,9.2,40.0
33,33,North Dakota,6.7,4.0,6.6,2.0
34,34,Ohio,8.7,31.0,8.5,29.0
35,35,Oklahoma,8.1,22.0,8.3,26.0
36,36,Oregon,6.8,7.0,6.7,5.0
37,37,Pennsylvania,8.4,26.0,8.3,26.0
38,38,Rhode Island,7.5,15.0,7.6,16.0
39,39,South Carolina,9.7,46.0,9.6,46.0
40,40,South Dakota,6.9,8.0,6.6,2.0
41,41,Tennessee,9.2,41.0,9.3,41.0
42,42,Texas,8.4,26.0,8.5,29.0
43,43,Utah,7.2,13.0,7.2,11.0
44,44,Vermont,6.7,4.0,7.0,9.0
45,45,Virginia,8.4,26.0,8.2,25.0
46,46,Washington,6.6,2.0,6.6,2.0
47,47,West Virginia,9.5,44.0,9.4,42.0
48,48,Wisconsin,7.7,19.0,7.7,21.0
49,49,Wyoming,8.7,31.0,9.4,42.0
50,50,United States,8.3,,8.3,
51,51,District of Columbia,10.5,,10.0,
