,Unnamed: 0,State,Value_2019,Rank_2019,Value_2020,Rank_2020
0,0,Alabama,16.0,49.0,14.5,47.0
1,1,Alaska,8.5,8.0,6.4,1.0
2,2,Arizona,10.4,27.0,9.8,28.0
3,3,Arkansas,14.7,46.0,14.2,46.0
4,4,California,7.5,4.0,6.9,4.0
5,5,Colorado,6.6,1.0,6.4,1.0
6,6,Connecticut,8.9,13.0,7.7,7.0
7,7,Delaware,10.1,26.0,12.0,39.0
8,8,Florida,10.8,30.0,10.2,32.0
9,9,Georgia,10.8,30.0,9.5,22.0
10,10,Hawaii,7.2,2.0,6.5,3.0
11,11,Idaho,10.0,24.0,9.6,26.0
12,12,Illinois,9.2,17.0,8.9,15.0
13,13,Indiana,12.7,39.0,11.7,36.0
14,14,Iowa,8.6,10.0,8.5,14.0
15,15,Kansas,10.6,29.0,9.6,26.0
16,16,Kentucky,15.8,48.0,15.1,49.0
17,17,Louisiana,13.5,44.0,12.3,41.0
18,18,Maine,12.7,39.0,13.2,44.0
19,19,Maryland,9.2,17.0,8.2,10.0
20,20,Massachusetts,8.2,6.0,8.9,15.0
21,21,Michigan,13.3,43.0,12.1,40.0
22,22,Minnesota,7.3,3.0,7.6,6.0
23,23,Mississippi,13.6,45.0,13.2,44.0
24,24,Missouri,12.8,41.0,11.2,35.0
25,25,Montana,9.9,23.0,10.8,33.0
26,26,Nebraska,9.2,17.0,8.2,10.0
27,27,Nevada,9.1,16.0,9.0,18.0
28,28,New Hampshire,11.3,33.0,9.3,19.0
29,29,New Jersey,8.2,6.0,8.2,10.0
30,30,New Mexico,10.4,27.0,9.5,22.0
31,31,New York,8.5,8.0,8.3,13.0
32,32,North Carolina,11.4,34.0,11.9,37.0
33,33,North Dakota,8.7,11.0,8.0,8.0
34,34,Ohio,11.6,35.0,12.7,42.0
35,35,Oklahoma,12.8,41.0,12.8,43.0
36,36,Oregon,12.4,37.0,10.0,30.0
37,37,Pennsylvania,11.6,35.0,11.1,34.0
38,38,Rhode Island,11.0,32.0,10.1,31.0
39,39,South Carolina,12.4,37.0,11.9,37.0
40,40,South Dakota,8.9,13.0,9.3,19.0
41,41,Tennessee,15.1,47.0,14.6,48.0
42,42,Texas,9.6,21.0,8.1,9.0
43,43,Utah,7.5,4.0,7.4,5.0
44,44,Vermont,10.0,24.0,9.8,28.0
45,45,Virginia,9.7,22.0,9.4,21.0
46,46,Washington,9.4,20.0,9.5,22.0
47,47,West Virginia,20.4,50.0,20.0,50.0
48,48,Wisconsin,9.0,15.0,9.5,22.0
49,49,Wyoming,8.8,12.0,8.9,15.0
50,50,District of Columbia,7.8,,7.1,
51,51,United States,10.3,,9.5,
