,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
34060,2020,2020 Annual,Multiple Chronic Conditions,Alabama,47.0,14.5,1.9,15.5,13.5,AHR data,
34061,2020,2020 Annual,Multiple Chronic Conditions,Alaska,1.0,6.4,-1.18,7.4,5.3,AHR data,
34062,2020,2020 Annual,Multiple Chronic Conditions,Arizona,28.0,9.8,0.11,10.8,8.9,AHR data,
34063,2020,2020 Annual,Multiple Chronic Conditions,Arkansas,46.0,14.2,1.78,15.4,13.1,AHR data,
34064,2020,2020 Annual,Multiple Chronic Conditions,California,4.0,6.9,-0.99,7.5,6.4,AHR data,
34065,2020,2020 Annual,Multiple Chronic Conditions,Colorado,1.0,6.4,-1.18,6.9,5.9,AHR data,
34066,2020,2020 Annual,Multiple Chronic Conditions,Connecticut,7.0,7.7,-0.68,8.3,7.1,AHR data,
34067,2020,2020 Annual,Multiple Chronic Conditions,Delaware,39.0,12.0,0.95,13.3,10.6,AHR data,
34068,2020,2020 Annual,Multiple Chronic Conditions,Florida,32.0,10.2,0.27,11.0,9.4,AHR data,
34069,2020,2020 Annual,Multiple Chronic Conditions,Georgia,22.0,9.5,0.0,10.4,8.7,AHR data,
34070,2020,2020 Annual,Multiple Chronic Conditions,Hawaii,3.0,6.5,-1.14,7.2,5.9,AHR data,
34071,2020,2020 Annual,Multiple Chronic Conditions,Idaho,26.0,9.6,0.04,10.7,8.5,AHR data,
34072,2020,2020 Annual,Multiple Chronic Conditions,Illinois,15.0,8.9,-0.23,9.7,8.1,AHR data,
34073,2020,2020 Annual,Multiple Chronic Conditions,Indiana,36.0,11.7,0.84,12.4,11.0,AHR data,
34074,2020,2020 Annual,Multiple Chronic Conditions,Iowa,14.0,8.5,-0.38,9.1,7.9,AHR data,
34075,2020,2020 Annual,Multiple Chronic Conditions,Kansas,26.0,9.6,0.04,10.3,9.0,AHR data,
34076,2020,2020 Annual,Multiple Chronic Conditions,Kentucky,49.0,15.1,2.0,16.3,14.0,AHR data,
34077,2020,2020 Annual,Multiple Chronic Conditions,Louisiana,41.0,12.3,1.06,13.4,11.2,AHR data,
34078,2020,2020 Annual,Multiple Chronic Conditions,Maine,44.0,13.2,1.4,14.1,12.3,AHR data,
34079,2020,2020 Annual,Multiple Chronic Conditions,Maryland,10.0,8.2,-0.49,8.7,7.7,AHR data,
34080,2020,2020 Annual,Multiple Chronic Conditions,Massachusetts,15.0,8.9,-0.23,9.6,8.1,AHR data,
34081,2020,2020 Annual,Multiple Chronic Conditions,Michigan,40.0,12.1,0.99,12.9,11.3,AHR data,
34082,2020,2020 Annual,Multiple Chronic Conditions,Minnesota,6.0,7.6,-0.72,8.1,7.2,AHR data,
34083,2020,2020 Annual,Multiple Chronic Conditions,Mississippi,44.0,13.2,1.4,14.3,12.1,AHR data,
34084,2020,2020 Annual,Multiple Chronic Conditions,Missouri,35.0,11.2,0.65,12.1,10.4,AHR data,
34085,2020,2020 Annual,Multiple Chronic Conditions,Montana,33.0,10.8,0.49,11.7,9.9,AHR data,
34086,2020,2020 Annual,Multiple Chronic Conditions,Nebraska,10.0,8.2,-0.49,8.7,7.6,AHR data,
34087,2020,2020 Annual,Multiple Chronic Conditions,Nevada,18.0,9.0,-0.19,10.4,7.6,AHR data,
34088,2020,2020 Annual,Multiple Chronic Conditions,New Hampshire,19.0,9.3,-0.08,10.2,8.4,AHR data,
34089,2020,2020 Annual,Multiple Chronic Conditions,New Jersey,10.0,8.2,-0.49,9.6,6.8,AHR data,
34090,2020,2020 Annual,Multiple Chronic Conditions,New Mexico,22.0,9.5,0.0,10.4,8.5,AHR data,
34091,2020,2020 Annual,Multiple Chronic Conditions,New York,13.0,8.3,-0.46,8.9,7.7,AHR data,
34092,2020,2020 Annual,Multiple Chronic Conditions,North Carolina,37.0,11.9,0.91,13.0,10.9,AHR data,
34093,2020,2020 Annual,Multiple Chronic Conditions,North Dakota,8.0,8.0,-0.57,8.8,7.1,AHR data,
34094,2020,2020 Annual,Multiple Chronic Conditions,Ohio,42.0,12.7,1.21,13.5,12.0,AHR data,
34095,2020,2020 Annual,Multiple Chronic Conditions,Oklahoma,43.0,12.8,1.25,13.7,11.9,AHR data,
34096,2020,2020 Annual,Multiple Chronic Conditions,Oregon,30.0,10.0,0.19,10.9,9.2,AHR data,
34097,2020,2020 Annual,Multiple Chronic Conditions,Pennsylvania,34.0,11.1,0.61,12.1,10.2,AHR data,
