,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
40555,2019,2019 Annual,Multiple Chronic Conditions,Alabama,49.0,16.0,2.0,17.0,14.9,"CDC, Behavioral Risk Factor Surveillance System",2018
40556,2019,2019 Annual,Multiple Chronic Conditions,Alaska,8.0,8.5,-0.67,9.9,7.1,"CDC, Behavioral Risk Factor Surveillance System",2018
40557,2019,2019 Annual,Multiple Chronic Conditions,Arizona,27.0,10.4,0.04,11.3,9.4,"CDC, Behavioral Risk Factor Surveillance System",2018
40558,2019,2019 Annual,Multiple Chronic Conditions,Arkansas,46.0,14.7,1.64,15.9,13.4,"CDC, Behavioral Risk Factor Surveillance System",2018
40559,2019,2019 Annual,Multiple Chronic Conditions,California,4.0,7.5,-1.05,8.1,6.9,"CDC, Behavioral Risk Factor Surveillance System",2018
40560,2019,2019 Annual,Multiple Chronic Conditions,Colorado,1.0,6.6,-1.38,7.2,6.1,"CDC, Behavioral Risk Factor Surveillance System",2018
40561,2019,2019 Annual,Multiple Chronic Conditions,Connecticut,13.0,8.9,-0.52,9.6,8.2,"CDC, Behavioral Risk Factor Surveillance System",2018
40562,2019,2019 Annual,Multiple Chronic Conditions,Delaware,26.0,10.1,-0.07,11.0,9.1,"CDC, Behavioral Risk Factor Surveillance System",2018
40563,2019,2019 Annual,Multiple Chronic Conditions,Florida,30.0,10.8,0.19,11.7,9.9,"CDC, Behavioral Risk Factor Surveillance System",2018
40564,2019,2019 Annual,Multiple Chronic Conditions,Georgia,30.0,10.8,0.19,11.5,10.0,"CDC, Behavioral Risk Factor Surveillance System",2018
40565,2019,2019 Annual,Multiple Chronic Conditions,Hawaii,2.0,7.2,-1.16,7.9,6.5,"CDC, Behavioral Risk Factor Surveillance System",2018
40566,2019,2019 Annual,Multiple Chronic Conditions,Idaho,24.0,10.0,-0.11,11.1,8.8,"CDC, Behavioral Risk Factor Surveillance System",2018
40567,2019,2019 Annual,Multiple Chronic Conditions,Illinois,17.0,9.2,-0.41,10.0,8.3,"CDC, Behavioral Risk Factor Surveillance System",2018
40568,2019,2019 Annual,Multiple Chronic Conditions,Indiana,39.0,12.7,0.9,13.6,11.9,"CDC, Behavioral Risk Factor Surveillance System",2018
40569,2019,2019 Annual,Multiple Chronic Conditions,Iowa,10.0,8.6,-0.63,9.2,8.0,"CDC, Behavioral Risk Factor Surveillance System",2018
40570,2019,2019 Annual,Multiple Chronic Conditions,Kansas,29.0,10.6,0.11,11.2,9.9,"CDC, Behavioral Risk Factor Surveillance System",2018
40571,2019,2019 Annual,Multiple Chronic Conditions,Kentucky,48.0,15.8,2.0,16.9,14.6,"CDC, Behavioral Risk Factor Surveillance System",2018
40572,2019,2019 Annual,Multiple Chronic Conditions,Louisiana,44.0,13.5,1.19,14.7,12.3,"CDC, Behavioral Risk Factor Surveillance System",2018
40573,2019,2019 Annual,Multiple Chronic Conditions,Maine,39.0,12.7,0.9,13.6,11.8,"CDC, Behavioral Risk Factor Surveillance System",2018
40574,2019,2019 Annual,Multiple Chronic Conditions,Maryland,17.0,9.2,-0.41,9.8,8.6,"CDC, Behavioral Risk Factor Surveillance System",2018
40575,2019,2019 Annual,Multiple Chronic Conditions,Massachusetts,6.0,8.2,-0.78,9.0,7.4,"CDC, Behavioral Risk Factor Surveillance System",2018
