,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,13.2,47.0,12.2,44.0
1,Alaska,13.2,47.0,12.2,44.0
2,Alaska,12.6,46.0,12.2,44.0
3,Alaska,12.6,46.0,12.2,44.0
4,Alabama,9.7,37.0,9.7,33.0
5,Alabama,9.7,37.0,9.7,33.0
6,Alabama,10.0,37.0,9.7,33.0
7,Alabama,10.0,37.0,9.7,33.0
8,United States,8.8,,9.2,
9,United States,8.8,,9.2,
10,United States,8.9,,9.2,
11,United States,8.9,,9.2,
12,Arkansas,8.1,25.0,9.1,31.0
13,Arkansas,8.1,25.0,9.1,31.0
14,Arkansas,8.2,27.0,9.1,31.0
15,Arkansas,8.2,27.0,9.1,31.0
16,Arizona,10.4,39.0,11.3,41.0
17,Arizona,10.4,39.0,11.3,41.0
18,Arizona,10.6,41.0,11.3,41.0
19,Arizona,10.6,41.0,11.3,41.0
20,California,7.2,21.0,7.7,22.0
21,California,7.2,21.0,7.7,22.0
22,California,7.2,21.0,7.7,22.0
23,California,7.2,21.0,7.7,22.0
24,Colorado,7.5,23.0,8.0,25.0
25,Colorado,7.5,23.0,8.0,25.0
26,Colorado,7.5,24.0,8.0,25.0
27,Colorado,7.5,24.0,8.0,25.0
28,Connecticut,5.4,8.0,5.9,11.0
29,Connecticut,5.4,8.0,5.9,11.0
30,Connecticut,5.3,7.0,5.9,11.0
31,Connecticut,5.3,7.0,5.9,11.0
32,District of Columbia,3.5,,3.5,
33,District of Columbia,3.5,,3.5,
34,District of Columbia,3.2,,3.5,
35,District of Columbia,3.2,,3.5,
36,Delaware,5.7,13.0,6.6,15.0
37,Delaware,5.7,13.0,6.6,15.0
38,Delaware,5.7,13.0,6.6,15.0
39,Delaware,5.7,13.0,6.6,15.0
40,Florida,13.0,46.0,13.2,47.0
41,Florida,13.0,46.0,13.2,47.0
42,Florida,13.0,47.0,13.2,47.0
43,Florida,13.0,47.0,13.2,47.0
44,Georgia,13.6,48.0,13.4,48.0
45,Georgia,13.6,48.0,13.4,48.0
46,Georgia,13.7,48.0,13.4,48.0
47,Georgia,13.7,48.0,13.4,48.0
48,Hawaii,4.0,2.0,4.2,3.0
49,Hawaii,4.0,2.0,4.2,3.0
50,Hawaii,4.1,3.0,4.2,3.0
51,Hawaii,4.1,3.0,4.2,3.0
52,Iowa,4.7,6.0,5.0,6.0
53,Iowa,4.7,6.0,5.0,6.0
54,Iowa,4.7,6.0,5.0,6.0
55,Iowa,4.7,6.0,5.0,6.0
56,Idaho,10.6,40.0,10.8,39.0
57,Idaho,10.6,40.0,10.8,39.0
58,Idaho,11.1,43.0,10.8,39.0
59,Idaho,11.1,43.0,10.8,39.0
60,Illinois,6.9,19.0,7.4,21.0
61,Illinois,6.9,19.0,7.4,21.0
62,Illinois,7.0,19.0,7.4,21.0
63,Illinois,7.0,19.0,7.4,21.0
64,Indiana,8.3,28.0,8.7,29.0
65,Indiana,8.3,28.0,8.7,29.0
66,Indiana,8.3,29.0,8.7,29.0
67,Indiana,8.3,29.0,8.7,29.0
68,Kansas,8.8,31.0,9.2,32.0
69,Kansas,8.8,31.0,9.2,32.0
70,Kansas,8.8,31.0,9.2,32.0
71,Kansas,8.8,31.0,9.2,32.0
72,Kentucky,5.5,9.0,6.4,14.0
73,Kentucky,5.5,9.0,6.4,14.0
74,Kentucky,5.6,12.0,6.4,14.0
75,Kentucky,5.6,12.0,6.4,14.0
76,Louisiana,8.2,27.0,8.9,30.0
77,Louisiana,8.2,27.0,8.9,30.0
78,Louisiana,8.0,25.0,8.9,30.0
79,Louisiana,8.0,25.0,8.9,30.0
80,Massachusetts,2.8,1.0,3.0,1.0
81,Massachusetts,2.8,1.0,3.0,1.0
82,Massachusetts,2.8,1.0,3.0,1.0
83,Massachusetts,2.8,1.0,3.0,1.0
84,Maryland,6.1,15.0,6.0,12.0
85,Maryland,6.1,15.0,6.0,12.0
86,Maryland,6.0,15.0,6.0,12.0
87,Maryland,6.0,15.0,6.0,12.0
88,Maine,8.1,25.0,8.0,25.0
89,Maine,8.1,25.0,8.0,25.0
90,Maine,8.0,25.0,8.0,25.0
91,Maine,8.0,25.0,8.0,25.0
92,Michigan,5.3,7.0,5.8,9.0
93,Michigan,5.3,7.0,5.8,9.0
94,Michigan,5.4,8.0,5.8,9.0
95,Michigan,5.4,8.0,5.8,9.0
96,Minnesota,4.4,4.0,4.9,5.0
97,Minnesota,4.4,4.0,4.9,5.0
98,Minnesota,4.4,5.0,4.9,5.0
99,Minnesota,4.4,5.0,4.9,5.0
100,Missouri,9.3,33.0,10.0,35.0
101,Missouri,9.3,33.0,10.0,35.0
102,Missouri,9.4,33.0,10.0,35.0
103,Missouri,9.4,33.0,10.0,35.0
104,Mississippi,12.1,45.0,13.0,46.0
105,Mississippi,12.1,45.0,13.0,46.0
106,Mississippi,12.1,45.0,13.0,46.0
107,Mississippi,12.1,45.0,13.0,46.0
108,Montana,8.4,30.0,8.3,27.0
109,Montana,8.4,30.0,8.3,27.0
110,Montana,8.2,27.0,8.3,27.0
111,Montana,8.2,27.0,8.3,27.0
112,North Carolina,10.7,41.0,11.3,41.0
113,North Carolina,10.7,41.0,11.3,41.0
114,North Carolina,10.7,42.0,11.3,41.0
115,North Carolina,10.7,42.0,11.3,41.0
116,North Dakota,7.4,22.0,6.9,19.0
117,North Dakota,7.4,22.0,6.9,19.0
118,North Dakota,7.3,22.0,6.9,19.0
119,North Dakota,7.3,22.0,6.9,19.0
120,Nebraska,8.3,28.0,8.3,27.0
121,Nebraska,8.3,28.0,8.3,27.0
122,Nebraska,8.3,29.0,8.3,27.0
123,Nebraska,8.3,29.0,8.3,27.0
124,New Hampshire,5.8,14.0,6.3,13.0
125,New Hampshire,5.8,14.0,6.3,13.0
126,New Hampshire,5.7,13.0,6.3,13.0
127,New Hampshire,5.7,13.0,6.3,13.0
128,New Jersey,7.6,24.0,7.9,23.0
129,New Jersey,7.6,24.0,7.9,23.0
130,New Jersey,7.4,23.0,7.9,23.0
131,New Jersey,7.4,23.0,7.9,23.0
132,New Mexico,9.3,33.0,10.0,35.0
133,New Mexico,9.3,33.0,10.0,35.0
134,New Mexico,9.5,35.0,10.0,35.0
135,New Mexico,9.5,35.0,10.0,35.0
136,Nevada,11.2,43.0,11.4,43.0
137,Nevada,11.2,43.0,11.4,43.0
138,Nevada,11.2,44.0,11.4,43.0
139,Nevada,11.2,44.0,11.4,43.0
140,New York,5.6,12.0,5.2,7.0
141,New York,5.6,12.0,5.2,7.0
142,New York,5.4,8.0,5.2,7.0
143,New York,5.4,8.0,5.2,7.0
144,Ohio,6.3,16.0,6.6,15.0
145,Ohio,6.3,16.0,6.6,15.0
146,Ohio,6.5,18.0,6.6,15.0
147,Ohio,6.5,18.0,6.6,15.0
148,Oklahoma,14.2,49.0,14.3,49.0
149,Oklahoma,14.2,49.0,14.3,49.0
150,Oklahoma,14.2,49.0,14.3,49.0
