,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
57505,2019,2019 Annual,Uninsured,Alaska,47.0,13.2,1.45,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57506,2019,2019 Annual,Uninsured,Alabama,37.0,9.7,0.3,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57507,2019,2019 Annual,Uninsured,United States,,8.8,,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57508,2019,2019 Annual,Uninsured,Arkansas,25.0,8.1,-0.23,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57509,2019,2019 Annual,Uninsured,Arizona,39.0,10.4,0.53,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57510,2019,2019 Annual,Uninsured,California,21.0,7.2,-0.53,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57511,2019,2019 Annual,Uninsured,Colorado,23.0,7.5,-0.43,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57512,2019,2019 Annual,Uninsured,Connecticut,8.0,5.4,-1.12,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57513,2019,2019 Annual,Uninsured,District of Columbia,,3.5,,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57514,2019,2019 Annual,Uninsured,Delaware,13.0,5.7,-1.02,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57515,2019,2019 Annual,Uninsured,Florida,46.0,13.0,1.39,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57516,2019,2019 Annual,Uninsured,Georgia,48.0,13.6,1.58,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57517,2019,2019 Annual,Uninsured,Hawaii,2.0,4.0,-1.58,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57518,2019,2019 Annual,Uninsured,Iowa,6.0,4.7,-1.35,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57519,2019,2019 Annual,Uninsured,Idaho,40.0,10.6,0.59,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57520,2019,2019 Annual,Uninsured,Illinois,19.0,6.9,-0.63,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57521,2019,2019 Annual,Uninsured,Indiana,28.0,8.3,-0.17,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57522,2019,2019 Annual,Uninsured,Kansas,31.0,8.8,0.0,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57523,2019,2019 Annual,Uninsured,Kentucky,9.0,5.5,-1.09,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57524,2019,2019 Annual,Uninsured,Louisiana,27.0,8.2,-0.2,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57525,2019,2019 Annual,Uninsured,Massachusetts,1.0,2.8,-1.98,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57526,2019,2019 Annual,Uninsured,Maryland,15.0,6.1,-0.89,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57527,2019,2019 Annual,Uninsured,Maine,25.0,8.1,-0.23,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57528,2019,2019 Annual,Uninsured,Michigan,7.0,5.3,-1.16,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57529,2019,2019 Annual,Uninsured,Minnesota,4.0,4.4,-1.45,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57530,2019,2019 Annual,Uninsured,Missouri,33.0,9.3,0.17,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57531,2019,2019 Annual,Uninsured,Mississippi,45.0,12.1,1.09,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57532,2019,2019 Annual,Uninsured,Montana,30.0,8.4,-0.13,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57533,2019,2019 Annual,Uninsured,North Carolina,41.0,10.7,0.63,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57534,2019,2019 Annual,Uninsured,North Dakota,22.0,7.4,-0.46,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57535,2019,2019 Annual,Uninsured,Nebraska,28.0,8.3,-0.17,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57536,2019,2019 Annual,Uninsured,New Hampshire,14.0,5.8,-0.99,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57537,2019,2019 Annual,Uninsured,New Jersey,24.0,7.6,-0.4,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57538,2019,2019 Annual,Uninsured,New Mexico,33.0,9.3,0.17,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57539,2019,2019 Annual,Uninsured,Nevada,43.0,11.2,0.79,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57540,2019,2019 Annual,Uninsured,New York,12.0,5.6,-1.06,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
57541,2019,2019 Annual,Uninsured,Ohio,16.0,6.3,-0.83,,,"U.S. Census Bureau, Health Insurance Coverage in the United States",2017-2018
