State,Value_2018,Value_2017
Alaska,952.71,930.36
Alabama,1026.80,993.84
Arkansas,970.35,949.62
Arizona,923.55,906.66
California,563.91,564.11
Colorado,963.16,909.27
Connecticut,969.43,910.94
Delaware,815.11,831.65
Florida,935.68,907.28
Georgia,1057.64,1016.29
Hawaii,340.28,363.50
Iowa,959.31,899.58
Idaho,917.26,883.33
Illinois,908.20,880.22
Indiana,1063.33,1026.15
Kansas,970.52,939.08
Kentucky,1061.22,1025.79
Louisiana,1039.40,1017.50
Massachusetts,912.54,867.24
Maryland,749.72,719.15
Maine,1056.88,996.15
Michigan,920.87,878.90
Minnesota,996.69,917.80
Missouri,952.83,906.73
Mississippi,1035.27,1017.41
Montana,927.19,879.27
North Carolina,988.34,957.01
North Dakota,1112.43,1003.17
Nebraska,1078.66,1012.20
New Hampshire,1082.31,1007.64
New Jersey,888.25,866.41
New Mexico,941.18,883.65
Nevada,844.92,836.43
New York,885.64,854.31
Ohio,1043.47,981.13
Oklahoma,1044.40,1015.81
Oregon,854.13,824.15
Pennsylvania,815.57,776.14
Rhode Island,730.64,719.40
South Carolina,1089.96,1061.42
South Dakota,1069.67,1021.02
Tennessee,1034.20,1008.69
Texas,1077.88,1032.58
Utah,847.43,819.27
Virginia,873.22,836.24
Vermont,954.04,965.07
Washington,813.12,777.18
Wisconsin,1095.73,1021.22
West Virginia,1072.41,1022.37
Wyoming,1110.76,1037.49
