,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,36.0,7.0,2408.0,4.0
1,Alaska,2597.0,4.0,2408.0,4.0
2,Alabama,62.0,46.0,5451.0,45.0
3,Alabama,5772.0,45.0,5451.0,45.0
4,United States,49.4,,4237.0,
5,United States,4475.0,,4237.0,
6,Arkansas,61.8,45.0,4747.0,37.0
7,Arkansas,5080.0,39.0,4747.0,37.0
8,Arizona,36.1,8.0,2755.0,7.0
9,Arizona,2884.0,7.0,2755.0,7.0
10,California,36.2,9.0,3330.0,13.0
11,California,3566.0,13.0,3330.0,13.0
12,Colorado,31.2,3.0,2434.0,5.0
13,Colorado,2637.0,5.0,2434.0,5.0
14,Connecticut,46.2,19.0,4365.0,28.0
15,Connecticut,4418.0,25.0,4365.0,28.0
16,District of Columbia,38.3,,5176.0,
17,District of Columbia,5685.0,,5176.0,
18,Delaware,47.2,23.0,4745.0,36.0
19,Delaware,4905.0,36.0,4745.0,36.0
20,Florida,53.6,35.0,4779.0,38.0
21,Florida,5182.0,42.0,4779.0,38.0
22,Georgia,50.2,30.0,4741.0,35.0
23,Georgia,4823.0,32.0,4741.0,35.0
24,Hawaii,23.3,1.0,1971.0,1.0
25,Hawaii,2077.0,1.0,1971.0,1.0
26,Iowa,48.9,25.0,3632.0,16.0
27,Iowa,3927.0,17.0,3632.0,16.0
28,Idaho,32.3,4.0,2390.0,3.0
29,Idaho,2578.0,3.0,2390.0,3.0
30,Illinois,54.8,38.0,4954.0,44.0
31,Illinois,5129.0,40.0,4954.0,44.0
32,Indiana,56.8,41.0,4810.0,40.0
33,Indiana,5027.0,37.0,4810.0,40.0
34,Kansas,51.3,32.0,4014.0,21.0
35,Kansas,4092.0,20.0,4014.0,21.0
36,Kentucky,76.6,50.0,5509.0,46.0
37,Kentucky,5826.0,46.0,5509.0,46.0
38,Louisiana,65.8,47.0,5561.0,47.0
39,Louisiana,5860.0,47.0,5561.0,47.0
40,Massachusetts,54.3,37.0,4883.0,43.0
41,Massachusetts,5046.0,38.0,4883.0,43.0
42,Maryland,46.7,20.0,4107.0,23.0
43,Maryland,4500.0,26.0,4107.0,23.0
44,Maine,49.4,28.0,3556.0,15.0
45,Maine,3766.0,15.0,3556.0,15.0
46,Michigan,55.4,39.0,4820.0,41.0
47,Michigan,5253.0,44.0,4820.0,41.0
48,Minnesota,36.6,10.0,5721.0,50.0
49,Minnesota,5974.0,49.0,5721.0,50.0
50,Missouri,56.6,40.0,4662.0,33.0
51,Missouri,4824.0,33.0,4662.0,33.0
52,Mississippi,70.2,48.0,5628.0,49.0
53,Mississippi,5988.0,50.0,5628.0,49.0
54,Montana,41.1,13.0,2932.0,10.0
55,Montana,3088.0,10.0,2932.0,10.0
56,North Carolina,49.0,26.0,4498.0,31.0
57,North Carolina,4709.0,30.0,4498.0,31.0
58,North Dakota,49.1,27.0,4128.0,24.0
59,North Dakota,4702.0,29.0,4128.0,24.0
60,Nebraska,48.3,24.0,3517.0,14.0
61,Nebraska,3653.0,14.0,3517.0,14.0
62,New Hampshire,47.1,22.0,3837.0,18.0
63,New Hampshire,4009.0,18.0,3837.0,18.0
64,New Jersey,49.6,29.0,4482.0,30.0
65,New Jersey,4677.0,27.0,4482.0,30.0
66,New Mexico,39.5,12.0,2788.0,8.0
67,New Mexico,2973.0,9.0,2788.0,8.0
68,Nevada,42.2,14.0,3936.0,19.0
69,Nevada,4025.0,19.0,3936.0,19.0
70,New York,46.8,21.0,4234.0,27.0
71,New York,4388.0,24.0,4234.0,27.0
72,Ohio,57.0,42.0,4866.0,42.0
73,Ohio,5151.0,41.0,4866.0,42.0
74,Oklahoma,59.9,44.0,4723.0,34.0
75,Oklahoma,4850.0,34.0,4723.0,34.0
76,Oregon,33.9,6.0,2650.0,6.0
77,Oregon,2793.0,6.0,2650.0,6.0
78,Pennsylvania,51.7,33.0,4461.0,29.0
79,Pennsylvania,4677.0,27.0,4461.0,29.0
80,Rhode Island,54.0,36.0,3964.0,20.0
81,Rhode Island,4375.0,23.0,3964.0,20.0
82,South Carolina,45.6,18.0,4141.0,25.0
83,South Carolina,4324.0,21.0,4141.0,25.0
84,South Dakota,50.5,31.0,4087.0,22.0
85,South Dakota,4733.0,31.0,4087.0,22.0
86,Tennessee,59.3,43.0,4792.0,39.0
87,Tennessee,5190.0,43.0,4792.0,39.0
88,Texas,53.2,34.0,4656.0,32.0
89,Texas,4876.0,35.0,4656.0,32.0
90,Utah,27.9,2.0,2287.0,2.0
91,Utah,2377.0,2.0,2287.0,2.0
92,Virginia,42.8,15.0,4200.0,26.0
93,Virginia,4362.0,22.0,4200.0,26.0
94,Vermont,39.4,11.0,3248.0,11.0
95,Vermont,3444.0,12.0,3248.0,11.0
96,Washington,32.7,5.0,2804.0,9.0
97,Washington,2914.0,8.0,2804.0,9.0
98,Wisconsin,45.0,17.0,3702.0,17.0
99,Wisconsin,3916.0,16.0,3702.0,17.0
100,West Virginia,75.0,49.0,5593.0,48.0
101,West Virginia,5957.0,48.0,5593.0,48.0
102,Wyoming,43.1,16.0,3300.0,12.0
103,Wyoming,3248.0,11.0,3300.0,12.0
