Category,"Hospital admissions among adults ages 18–64 with employer-sponsored insurance for ambulatory care–sensitive conditions, per 1,000 enrollees",Group
South Carolina,0,No Data
Washington,5.6,Top Performing States
Colorado,5.8,Top Performing States
California,5.9,Top Performing States
Massachusetts,6.1,Top Performing States
Oregon,6.1,Top Performing States
Connecticut,6.2,Top Performing States
Minnesota,6.2,Top Performing States
Montana,6.2,Top Performing States
New York,6.2,Top Performing States
New Hampshire,6.3,Top Performing States
New Jersey,6.3,Top Performing States
Utah,6.3,Top Performing States
Vermont,6.3,Top Performing States
Arizona,6.4,Top Performing States
Idaho,6.4,Top Performing States
Maine,6.4,Top Performing States
Alaska,6.5,Middle Performing States
Hawaii,6.5,Middle Performing States
Iowa,6.5,Middle Performing States
North Carolina,6.5,Middle Performing States
North Dakota,6.5,Middle Performing States
New Mexico,6.6,Middle Performing States
Rhode Island,6.6,Middle Performing States
Pennsylvania,6.7,Middle Performing States
Virginia,6.7,Middle Performing States
Wisconsin,6.7,Middle Performing States
South Dakota,6.8,Middle Performing States
Louisiana,6.9,Middle Performing States
Nebraska,6.9,Middle Performing States
Wyoming,6.9,Middle Performing States
Illinois,7,Middle Performing States
Delaware,7.1,Middle Performing States
Maryland,7.1,Middle Performing States
Michigan,7.1,Middle Performing States
Nevada,7.1,Middle Performing States
Georgia,7.2,Bottom Performing States
Indiana,7.2,Bottom Performing States
Kansas,7.2,Bottom Performing States
Texas,7.2,Bottom Performing States
Arkansas,7.3,Bottom Performing States
Missouri,7.3,Bottom Performing States
Ohio,7.3,Bottom Performing States
Oklahoma,7.3,Bottom Performing States
Tennessee,7.3,Bottom Performing States
Mississippi,7.4,Bottom Performing States
Kentucky,7.6,Bottom Performing States
Florida,7.8,Bottom Performing States
Alabama,7.9,Bottom Performing States
West Virginia,7.9,Bottom Performing States
