,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,10435.0,48.0,10421.0,48.0
1,Alabama,10435.0,48.0,10525.0,48.0
2,Alabama,10491.0,48.0,10421.0,48.0
3,Alabama,10491.0,48.0,10525.0,48.0
4,Alaska,8513.0,37.0,7978.0,33.0
5,Alaska,8513.0,37.0,8387.0,37.0
6,Alaska,8506.0,37.0,7978.0,33.0
7,Alaska,8506.0,37.0,8387.0,37.0
8,Arizona,7467.0,24.0,7527.0,26.0
9,Arizona,7467.0,24.0,7499.0,24.0
10,Arizona,7406.0,24.0,7527.0,26.0
11,Arizona,7406.0,24.0,7499.0,24.0
12,Arkansas,10210.0,46.0,9890.0,44.0
13,Arkansas,10210.0,46.0,10066.0,45.0
14,Arkansas,10094.0,45.0,9890.0,44.0
15,Arkansas,10094.0,45.0,10066.0,45.0
16,California,5665.0,1.0,5650.0,2.0
17,California,5665.0,1.0,5683.0,2.0
18,California,5682.0,2.0,5650.0,2.0
19,California,5682.0,2.0,5683.0,2.0
20,Colorado,6288.0,8.0,6261.0,10.0
21,Colorado,6288.0,8.0,6300.0,8.0
22,Colorado,6252.0,9.0,6261.0,10.0
23,Colorado,6252.0,9.0,6300.0,8.0
24,Connecticut,6091.0,4.0,6035.0,5.0
25,Connecticut,6091.0,4.0,6016.0,4.0
26,Connecticut,5928.0,4.0,6035.0,5.0
27,Connecticut,5928.0,4.0,6016.0,4.0
28,Delaware,8268.0,35.0,8289.0,37.0
29,Delaware,8268.0,35.0,8172.0,34.0
30,Delaware,8026.0,34.0,8289.0,37.0
31,Delaware,8026.0,34.0,8172.0,34.0
32,Florida,7739.0,29.0,7557.0,28.0
33,Florida,7739.0,29.0,7694.0,30.0
34,Florida,7649.0,27.0,7557.0,28.0
35,Florida,7649.0,27.0,7694.0,30.0
36,Georgia,8243.0,34.0,8151.0,36.0
37,Georgia,8243.0,34.0,8261.0,36.0
38,Georgia,8273.0,36.0,8151.0,36.0
39,Georgia,8273.0,36.0,8261.0,36.0
40,Hawaii,6245.0,7.0,6129.0,7.0
41,Hawaii,6245.0,7.0,6160.0,7.0
42,Hawaii,6125.0,7.0,6129.0,7.0
43,Hawaii,6125.0,7.0,6160.0,7.0
44,Idaho,6669.0,15.0,6788.0,16.0
45,Idaho,6669.0,15.0,6728.0,16.0
46,Idaho,6663.0,16.0,6788.0,16.0
47,Idaho,6663.0,16.0,6728.0,16.0
48,Illinois,7158.0,21.0,7178.0,22.0
49,Illinois,7158.0,21.0,7154.0,21.0
50,Illinois,7036.0,20.0,7178.0,22.0
51,Illinois,7036.0,20.0,7154.0,21.0
52,Indiana,8995.0,39.0,8693.0,38.0
53,Indiana,8995.0,39.0,8820.0,38.0
54,Indiana,8747.0,39.0,8693.0,38.0
55,Indiana,8747.0,39.0,8820.0,38.0
56,Iowa,6733.0,16.0,6610.0,13.0
57,Iowa,6733.0,16.0,6718.0,15.0
58,Iowa,6627.0,15.0,6610.0,13.0
59,Iowa,6627.0,15.0,6718.0,15.0
60,Kansas,7608.0,26.0,7668.0,30.0
61,Kansas,7608.0,26.0,7542.0,26.0
62,Kansas,7446.0,25.0,7668.0,30.0
63,Kansas,7446.0,25.0,7542.0,26.0
64,Kentucky,10400.0,47.0,10082.0,47.0
65,Kentucky,10400.0,47.0,10320.0,47.0
66,Kentucky,10307.0,47.0,10082.0,47.0
67,Kentucky,10307.0,47.0,10320.0,47.0
68,Louisiana,10169.0,45.0,10028.0,46.0
69,Louisiana,10169.0,45.0,10107.0,46.0
70,Louisiana,10099.0,46.0,10028.0,46.0
71,Louisiana,10099.0,46.0,10107.0,46.0
72,Maine,7575.0,25.0,7205.0,23.0
73,Maine,7575.0,25.0,7415.0,23.0
74,Maine,7395.0,23.0,7205.0,23.0
75,Maine,7395.0,23.0,7415.0,23.0
76,Maryland,7689.0,28.0,7541.0,27.0
77,Maryland,7689.0,28.0,7628.0,29.0
78,Maryland,7485.0,26.0,7541.0,27.0
79,Maryland,7485.0,26.0,7628.0,29.0
80,Massachusetts,6130.0,6.0,5973.0,4.0
81,Massachusetts,6130.0,6.0,6067.0,6.0
82,Massachusetts,6065.0,6.0,5973.0,4.0
83,Massachusetts,6065.0,6.0,6067.0,6.0
84,Michigan,8111.0,32.0,8071.0,34.0
85,Michigan,8111.0,32.0,8094.0,33.0
86,Michigan,8022.0,33.0,8071.0,34.0
87,Michigan,8022.0,33.0,8094.0,33.0
88,Minnesota,5683.0,2.0,5648.0,1.0
89,Minnesota,5683.0,2.0,5661.0,1.0
90,Minnesota,5630.0,1.0,5648.0,1.0
91,Minnesota,5630.0,1.0,5661.0,1.0
92,Mississippi,11043.0,49.0,11011.0,49.0
93,Mississippi,11043.0,49.0,11045.0,49.0
94,Mississippi,11025.0,50.0,11011.0,49.0
95,Mississippi,11025.0,50.0,11045.0,49.0
96,Missouri,8828.0,38.0,9112.0,40.0
97,Missouri,8828.0,38.0,8886.0,39.0
98,Missouri,8701.0,38.0,9112.0,40.0
99,Missouri,8701.0,38.0,8886.0,39.0
100,Montana,7660.0,27.0,7372.0,24.0
101,Montana,7660.0,27.0,7621.0,28.0
102,Montana,7908.0,31.0,7372.0,24.0
103,Montana,7908.0,31.0,7621.0,28.0
104,Nebraska,6555.0,11.0,6675.0,14.0
105,Nebraska,6555.0,11.0,6544.0,13.0
106,Nebraska,6517.0,12.0,6675.0,14.0
107,Nebraska,6517.0,12.0,6544.0,13.0
