,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
49341,2019,2019 Annual,Premature Death,Alabama,48.0,10435.0,1.98,10559.0,10311.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49342,2019,2019 Annual,Premature Death,Alaska,37.0,8513.0,0.71,8830.0,8196.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49343,2019,2019 Annual,Premature Death,Arizona,24.0,7467.0,0.01,7556.0,7377.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49344,2019,2019 Annual,Premature Death,Arkansas,46.0,10210.0,1.83,10367.0,10053.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49345,2019,2019 Annual,Premature Death,California,1.0,5665.0,-1.18,5697.0,5632.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49346,2019,2019 Annual,Premature Death,Colorado,8.0,6288.0,-0.77,6381.0,6195.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49347,2019,2019 Annual,Premature Death,Connecticut,4.0,6091.0,-0.9,6201.0,5982.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49348,2019,2019 Annual,Premature Death,Delaware,35.0,8268.0,0.54,8514.0,8022.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49349,2019,2019 Annual,Premature Death,Florida,29.0,7739.0,0.19,7790.0,7688.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49350,2019,2019 Annual,Premature Death,Georgia,34.0,8243.0,0.53,8320.0,8166.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
49351,2019,2019 Annual,Premature Death,Hawaii,7.0,6245.0,-0.8,6422.0,6067.0,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2017
