State,Rank_2020,Value_2020,Rank_2019,Rank_2020
Minnesota,1,5648.00,2,5683.00
California,2,5650.00,1,5665.00
New York,3,5800.00,3,5830.00
Massachusetts,4,5973.00,6,6130.00
Connecticut,5,6035.00,4,6091.00
Washington,6,6086.00,5,6094.00
Hawaii,7,6129.00,7,6245.00
Rhode Island,8,6174.00,13,6602.00
Utah,9,6205.00,10,6391.00
Colorado,10,6261.00,8,6288.00
Oregon,11,6262.00,12,6561.00
New Jersey,12,6375.00,9,6329.00
Iowa,13,6610.00,16,6733.00
Nebraska,14,6675.00,11,6555.00
Wisconsin,15,6676.00,18,6800.00
Idaho,16,6788.00,15,6669.00
New Hampshire,17,6819.00,17,6770.00
Vermont,18,6844.00,14,6646.00
Virginia,19,6863.00,19,6914.00
North Dakota,20,6899.00,19,6914.00
Texas,21,7126.00,22,7240.00
Illinois,22,7178.00,21,7158.00
Maine,23,7205.00,25,7575.00
Montana,24,7372.00,27,7660.00
South Dakota,25,7400.00,31,7838.00
Arizona,26,7527.00,24,7467.00
Maryland,27,7541.00,28,7689.00
Florida,28,7557.00,29,7739.00
Wyoming,29,7570.00,23,7412.00
Kansas,30,7668.00,26,7608.00
Nevada,31,7722.00,30,7785.00
Pennsylvania,32,7807.00,33,8186.00
Alaska,33,7978.00,37,8513.00
Michigan,34,8071.00,32,8111.00
North Carolina,35,8072.00,36,8276.00
Georgia,36,8151.00,34,8243.00
Delaware,37,8289.00,35,8268.00
Indiana,38,8693.00,39,8995.00
Ohio,39,8857.00,42,9399.00
Missouri,40,9112.00,38,8828.00
New Mexico,41,9292.00,40,9135.00
South Carolina,42,9319.00,41,9255.00
Oklahoma,43,9708.00,44,9945.00
Arkansas,44,9890.00,46,10210.00
Tennessee,45,9981.00,43,9931.00
Louisiana,46,10028.00,45,10169.00
Kentucky,47,10082.00,47,10400.00
Alabama,48,10421.00,48,10435.00
Mississippi,49,11011.00,49,11043.00
West Virginia,50,11338.00,50,11448.00
