State,Value_2019,Value_2018
Alabama,1950,1350
Alaska,1500,1200
Arizona,2140,1900
Arkansas,1800,1800
California,1100,1000
Colorado,2400,2400
Connecticut,2944,2800
Delaware,2350,2000
Dist. of Columbia,1658,1400
Florida,1125,1200
Georgia,1860,1500
Hawaii,1114,1200
Idaho,3200,2284
Illinois,2500,2600
Indiana,2760,2335
Iowa,2340,2520
Kansas,2600,2690
Kentucky,1280,1150
Louisiana,1300,1000
Maine,2460,2000
Maryland,2650,2600
Massachusetts,3000,2850
Michigan,2000,2100
Minnesota,3500,3580
Mississippi,1023,1200
Missouri,2500,2400
Montana,2780,2240
Nebraska,3330,3200
Nevada,1842,1300
New Hampshire,3775,3200
New Jersey,2700,2400
New Mexico,1200,800
New York,1000,800
North Carolina,2000,1800
North Dakota,2500,3000
Ohio,2410,2570
Oklahoma,2148,1500
Oregon,2500,2260
Pennsylvania,2040,2200
Rhode Island,2070,2300
South Carolina,2200,2350
South Dakota,3900,3200
Tennessee,2000,1772
Texas,1900,1700
Utah,3500,2800
Vermont,2760,2790
Virginia,2430,2160
Washington,2500,2000
West Virginia,2000,1540
Wisconsin,3100,3200
Wyoming,2876,2750
United States,2000,1800
